index,mixture_row_present,loss_row_present,join_status
278,yes,yes,matched_unique
279,yes,yes,matched_unique
280,yes,yes,matched_unique
281,yes,yes,matched_unique
282,yes,yes,matched_unique
283,yes,yes,matched_unique
284,yes,yes,matched_unique
285,yes,yes,matched_unique
286,yes,yes,matched_unique
287,yes,yes,matched_unique
288,yes,yes,matched_unique
289,yes,yes,matched_unique
290,yes,yes,matched_unique
291,yes,yes,matched_unique
292,yes,yes,matched_unique
293,yes,yes,matched_unique
294,yes,yes,matched_unique
295,yes,yes,matched_unique
296,yes,yes,matched_unique
297,yes,yes,matched_unique
298,yes,yes,matched_unique
299,yes,yes,matched_unique
300,yes,yes,matched_unique
301,yes,yes,matched_unique
302,yes,yes,matched_unique
303,yes,yes,matched_unique
304,yes,yes,matched_unique
305,yes,yes,matched_unique
306,yes,yes,matched_unique
307,yes,yes,matched_unique
308,yes,yes,matched_unique
309,yes,yes,matched_unique
310,yes,yes,matched_unique
311,yes,yes,matched_unique
312,yes,yes,matched_unique
313,yes,yes,matched_unique
314,yes,yes,matched_unique
315,yes,yes,matched_unique
316,yes,yes,matched_unique
317,yes,yes,matched_unique
318,yes,yes,matched_unique
319,yes,yes,matched_unique
320,yes,yes,matched_unique
321,yes,yes,matched_unique
322,yes,yes,matched_unique
323,yes,yes,matched_unique
324,yes,yes,matched_unique
325,yes,yes,matched_unique
326,yes,yes,matched_unique
327,yes,yes,matched_unique
328,yes,yes,matched_unique
329,yes,yes,matched_unique
330,yes,yes,matched_unique
331,yes,yes,matched_unique
332,yes,yes,matched_unique
333,yes,yes,matched_unique
334,yes,yes,matched_unique
335,yes,yes,matched_unique
336,yes,yes,matched_unique
337,yes,yes,matched_unique
338,yes,yes,matched_unique
339,yes,yes,matched_unique
340,yes,yes,matched_unique
341,yes,yes,matched_unique
342,yes,yes,matched_unique
343,yes,yes,matched_unique
344,yes,yes,matched_unique
345,yes,yes,matched_unique
346,yes,yes,matched_unique
347,yes,yes,matched_unique
348,yes,yes,matched_unique
349,yes,yes,matched_unique
350,yes,yes,matched_unique
351,yes,yes,matched_unique
352,yes,yes,matched_unique
353,yes,yes,matched_unique
354,yes,yes,matched_unique
355,yes,yes,matched_unique
356,yes,yes,matched_unique
357,yes,yes,matched_unique
358,yes,yes,matched_unique
359,yes,yes,matched_unique
360,yes,yes,matched_unique
361,yes,yes,matched_unique
362,yes,yes,matched_unique
363,yes,yes,matched_unique
364,yes,yes,matched_unique
365,yes,yes,matched_unique
366,yes,yes,matched_unique
367,yes,yes,matched_unique
368,yes,yes,matched_unique
369,yes,yes,matched_unique
370,yes,yes,matched_unique
371,yes,yes,matched_unique
372,yes,yes,matched_unique
373,yes,yes,matched_unique
374,yes,yes,matched_unique
375,yes,yes,matched_unique
376,yes,yes,matched_unique
377,yes,yes,matched_unique
378,yes,yes,matched_unique
379,yes,yes,matched_unique
380,yes,yes,matched_unique
381,yes,yes,matched_unique
382,yes,yes,matched_unique
383,yes,yes,matched_unique
384,yes,yes,matched_unique
385,yes,yes,matched_unique
386,yes,yes,matched_unique
387,yes,yes,matched_unique
388,yes,yes,matched_unique
389,yes,yes,matched_unique
390,yes,yes,matched_unique
391,yes,yes,matched_unique
392,yes,yes,matched_unique
393,yes,yes,matched_unique
394,yes,yes,matched_unique
395,yes,yes,matched_unique
396,yes,yes,matched_unique
397,yes,yes,matched_unique
398,yes,yes,matched_unique
399,yes,yes,matched_unique
400,yes,yes,matched_unique
401,yes,yes,matched_unique
402,yes,yes,matched_unique
403,yes,yes,matched_unique
404,yes,yes,matched_unique
405,yes,yes,matched_unique
406,yes,yes,matched_unique
407,yes,yes,matched_unique
408,yes,yes,matched_unique
409,yes,yes,matched_unique
410,yes,yes,matched_unique
411,yes,yes,matched_unique
412,yes,yes,matched_unique
413,yes,yes,matched_unique
414,yes,yes,matched_unique
415,yes,yes,matched_unique
416,yes,yes,matched_unique
417,yes,yes,matched_unique
418,yes,yes,matched_unique
419,yes,yes,matched_unique
420,yes,yes,matched_unique
421,yes,yes,matched_unique
422,yes,yes,matched_unique
423,yes,yes,matched_unique
424,yes,yes,matched_unique
425,yes,yes,matched_unique
426,yes,yes,matched_unique
427,yes,yes,matched_unique
428,yes,yes,matched_unique
429,yes,yes,matched_unique
430,yes,yes,matched_unique
431,yes,yes,matched_unique
432,yes,yes,matched_unique
433,yes,yes,matched_unique
434,yes,yes,matched_unique
435,yes,yes,matched_unique
436,yes,yes,matched_unique
437,yes,yes,matched_unique
438,yes,yes,matched_unique
439,yes,yes,matched_unique
440,yes,yes,matched_unique
441,yes,yes,matched_unique
442,yes,yes,matched_unique
443,yes,yes,matched_unique
444,yes,yes,matched_unique
445,yes,yes,matched_unique
446,yes,yes,matched_unique
447,yes,yes,matched_unique
448,yes,yes,matched_unique
449,yes,yes,matched_unique
450,yes,yes,matched_unique
451,yes,yes,matched_unique
452,yes,yes,matched_unique
453,yes,yes,matched_unique
454,yes,yes,matched_unique
455,yes,yes,matched_unique
456,yes,yes,matched_unique
457,yes,yes,matched_unique
458,yes,yes,matched_unique
459,yes,yes,matched_unique
460,yes,yes,matched_unique
461,yes,yes,matched_unique
462,yes,yes,matched_unique
463,yes,yes,matched_unique
464,yes,yes,matched_unique
465,yes,yes,matched_unique
466,yes,yes,matched_unique
467,yes,yes,matched_unique
468,yes,yes,matched_unique
469,yes,yes,matched_unique
470,yes,yes,matched_unique
471,yes,yes,matched_unique
472,yes,yes,matched_unique
473,yes,yes,matched_unique
474,yes,yes,matched_unique
475,yes,yes,matched_unique
476,yes,yes,matched_unique
477,yes,yes,matched_unique
478,yes,yes,matched_unique
479,yes,yes,matched_unique
480,yes,yes,matched_unique
481,yes,yes,matched_unique
482,yes,yes,matched_unique
483,yes,yes,matched_unique
484,yes,yes,matched_unique
485,yes,yes,matched_unique
486,yes,yes,matched_unique
487,yes,yes,matched_unique
488,yes,yes,matched_unique
489,yes,yes,matched_unique
490,yes,yes,matched_unique
491,yes,yes,matched_unique
492,yes,yes,matched_unique
493,yes,yes,matched_unique
494,yes,yes,matched_unique
495,yes,yes,matched_unique
496,yes,yes,matched_unique
497,yes,yes,matched_unique
498,yes,yes,matched_unique
499,yes,yes,matched_unique
500,yes,yes,matched_unique
501,yes,yes,matched_unique
502,yes,yes,matched_unique
503,yes,yes,matched_unique
504,yes,yes,matched_unique
505,yes,yes,matched_unique
506,yes,yes,matched_unique
507,yes,yes,matched_unique
508,yes,yes,matched_unique
509,yes,yes,matched_unique
510,yes,yes,matched_unique
511,yes,yes,matched_unique
512,yes,yes,matched_unique
