sample_id,run_id,N_params_B,D_tokens_B,observed_val_loss,m0_predicted_val_loss
66,66,0.070542,115.343,2.8904,2.890138723118608
67,67,0.070542,117.441,2.8885,2.8884860366543688
68,68,0.070542,119.538,2.8871,2.8868714731843936
69,69,0.070542,121.635,2.8854,2.8852927594515196
70,70,0.070542,123.732,2.8836,2.8837485016647135
71,71,0.070542,125.829,2.8823,2.882237382684181
72,72,0.070542,127.926,2.8811,2.8807581566113365
73,73,0.070542,130.023,2.8793,2.879309643842188
74,74,0.070542,132.121,2.8782,2.877890056785291
75,75,0.070542,134.218,2.876,2.876499688080937
76,76,0.070542,136.315,2.8753,2.8751368477142476
77,77,0.070542,138.412,2.8738,2.873800579565911
78,78,0.070542,140.509,2.8724,2.872489974574226
79,79,0.070542,142.606,2.8712,2.8712041677575573
80,80,0.070542,144.703,2.8696,2.8699423354658293
81,81,0.070542,146.801,2.8687,2.868703107578202
82,82,0.070542,148.898,2.8676,2.8674869167302175
83,83,0.070542,150.995,2.8666,2.8662924526450384
84,84,0.070542,153.092,2.865,2.8651190334295866
85,85,0.070542,155.189,2.8638,2.8639660075611952
86,86,0.070542,157.286,2.8628,2.86283275214618
87,87,0.070542,159.384,2.8619,2.8617181445086906
88,88,0.070542,161.481,2.8607,2.8606226765871714
89,89,0.070542,163.578,2.8595,2.8595452663071277
90,90,0.070542,165.675,2.8586,2.858485390174311
91,91,0.070542,167.772,2.8575,2.857442546253318
92,92,0.070542,169.869,2.8566,2.8564162530233976
93,93,0.070542,171.966,2.8553,2.8554060483082635
94,94,0.070542,174.064,2.8544,2.854411017660248
95,95,0.070542,176.161,2.8534,2.853431683035922
96,96,0.070542,178.258,2.8522,2.852467156565969
97,97,0.070542,180.355,2.8516,2.8515170440504143
98,98,0.070542,182.452,2.8506,2.8505809662117385
99,99,0.070542,184.549,2.8497,2.8496585579661597
100,100,0.070542,186.647,2.8487,2.8487490373415376
101,101,0.070542,188.744,2.8476,2.847852932530225
102,102,0.070542,190.841,2.8469,2.8469694804161936
103,103,0.070542,192.938,2.8461,2.8460983662328547
104,104,0.070542,195.035,2.8451,2.8452392863573364
105,105,0.070542,197.132,2.8444,2.844391947801167
106,106,0.070542,199.229,2.8436,2.8435560677293776
107,107,0.070542,201.327,2.8431,2.842730982358481
108,108,0.070542,203.424,2.842,2.841917214264231
109,109,0.070542,205.521,2.8412,2.841114112529897
110,110,0.070542,207.618,2.8403,2.8403214306353055
111,111,0.070542,209.715,2.8392,2.8395389301746916
112,112,0.070542,211.812,2.8388,2.838766380511637
113,113,0.070542,213.91,2.838,2.8380031969695296
114,114,0.070542,216.007,2.8377,2.8372498909361865
115,115,0.070542,218.104,2.8365,2.8365058871207443
116,116,0.070542,220.201,2.8358,2.835770982859073
117,117,0.070542,222.298,2.8351,2.835044981778992
118,118,0.070542,224.395,2.8341,2.8343276935477606
119,119,0.070542,226.492,2.8338,2.833618933631955
120,120,0.070542,228.59,2.8331,2.83291819102693
121,121,0.070542,230.687,2.8324,2.832225960065885
122,122,0.070542,232.784,2.8314,2.8315417363065807
123,123,0.070542,234.881,2.8311,2.8308653562375543
124,124,0.070542,236.978,2.83,2.830196661108266
125,125,0.070542,239.075,2.8297,2.8295354967498016
126,126,0.070542,241.172,2.8293,2.828881713403836
127,127,0.070542,243.27,2.8281,2.828234858942388
128,128,0.070542,245.367,2.8275,2.827595408529896
129,129,0.070542,247.464,2.827,2.82696291465806
130,130,0.070542,249.561,2.8263,2.826337243652321
131,131,0.070542,251.658,2.8255,2.8257182655025566
132,132,0.070542,253.755,2.8251,2.8251058537330844
133,133,0.070542,255.853,2.8243,2.8244995978269585
134,134,0.070542,257.95,2.824,2.82389995589983
135,135,0.070542,260.047,2.8232,2.8233065208606942
136,136,0.070542,262.144,2.823,2.822719179181733
137,137,0.070542,264.241,2.822,2.8221378202986487
138,138,0.070542,266.338,2.8215,2.821562336510516
139,139,0.070542,268.435,2.8212,2.820992622883777
140,140,0.070542,270.533,2.8202,2.8204283095188387
141,141,0.070542,272.63,2.8199,2.8198698346590527
142,142,0.070542,274.727,2.8196,2.8193168308163354
143,143,0.070542,276.824,2.8185,2.8187692032436713
144,144,0.070542,278.921,2.8183,2.8182268595367836
145,145,0.070542,281.018,2.8178,2.817689709559114
146,146,0.070542,283.116,2.8173,2.81715741285716
147,147,0.070542,285.213,2.8164,2.8166303910152584
148,148,0.070542,287.31,2.8159,2.8161083053528255
149,149,0.070542,289.407,2.8157,2.815591074111712
150,150,0.070542,291.504,2.8152,2.815078617467849
151,151,0.070542,293.601,2.8146,2.814570857471977
152,152,0.070542,295.698,2.8142,2.814067717992592
153,153,0.070542,297.796,2.8135,2.8135688879688208
154,154,0.070542,299.893,2.8131,2.813074770242556
162,162,0.162405,0.134,4.5235,4.523354577423474
163,163,0.162405,0.268,4.1397,4.139486188141648
164,164,0.162405,0.537,3.8226,3.822538701518331
165,165,0.162405,1.074,3.5629,3.5622517682540935
166,166,0.162405,2.097,3.3548,3.354620976948321
167,167,0.162405,4.194,3.1771,3.1768463777891194
168,168,0.162405,6.291,3.0883,3.0877660039358146
169,169,0.162405,8.389,3.0304,3.030397627156985
170,170,0.162405,10.486,2.9888,2.988995769149324
171,171,0.162405,12.583,2.9568,2.9570348715439363
172,172,0.162405,14.68,2.9311,2.9312555507834293
173,173,0.162405,16.777,2.9098,2.90980577840351
174,174,0.162405,18.874,2.8916,2.8915396265703057
175,175,0.162405,20.972,2.8757,2.8756953023407554
176,176,0.162405,23.069,2.8619,2.8617662906675605
177,177,0.162405,25.166,2.8494,2.8493703704683098
178,178,0.162405,27.263,2.8385,2.838230660563231
179,179,0.162405,29.36,2.8281,2.8281369598452026
180,180,0.162405,31.457,2.8195,2.8189262209086
181,181,0.162405,33.554,2.8106,2.810469627608399
182,182,0.162405,35.652,2.8025,2.802660198240152
183,183,0.162405,37.749,2.7952,2.7954211895847263
184,184,0.162405,39.846,2.7888,2.788679399302158
185,185,0.162405,41.943,2.7823,2.7823770812734954
186,186,0.162405,44.04,2.7766,2.7764656711715205
187,187,0.162405,46.137,2.771,2.7709039692643267
188,188,0.162405,48.234,2.7656,2.7656567473372293
189,189,0.162405,50.332,2.7605,2.7606913636741144
190,190,0.162405,52.429,2.7557,2.7559862437106553
191,191,0.162405,54.526,2.7514,2.751516023608553
192,192,0.162405,56.623,2.7474,2.747260595962271
193,193,0.162405,58.72,2.7432,2.7432022400902154
194,194,0.162405,60.817,2.7391,2.7393252652433313
195,195,0.162405,62.915,2.7356,2.7356139863211766
196,196,0.162405,65.012,2.7321,2.7320594766483306
197,197,0.162405,67.109,2.7285,2.728648760903228
198,198,0.162405,69.206,2.7254,2.72537179398485
199,199,0.162405,71.303,2.7222,2.72221951034931
200,200,0.162405,73.4,2.719,2.7191837029565624
201,201,0.162405,75.497,2.7163,2.7162569201551103
202,202,0.162405,77.595,2.7135,2.7134310538670814
203,203,0.162405,79.692,2.7109,2.7107026023774914
204,204,0.162405,81.789,2.7082,2.70806452764113
205,205,0.162405,83.886,2.7053,2.7055116313731267
206,206,0.162405,85.983,2.7029,2.703039134858764
207,207,0.162405,88.08,2.7007,2.7006426358234417
208,208,0.162405,90.178,2.6984,2.6983169786751873
209,209,0.162405,92.275,2.6961,2.6960606208235247
210,210,0.162405,94.372,2.6945,2.693868955002147
211,211,0.162405,96.469,2.6918,2.6917387495359435
212,212,0.162405,98.566,2.6898,2.6896670000236798
213,213,0.162405,100.663,2.6878,2.6876509089186036
214,214,0.162405,102.76,2.6858,2.6856878673258033
215,215,0.162405,104.858,2.6837,2.683774538458019
216,216,0.162405,106.955,2.682,2.681910466705923
217,217,0.162405,109.052,2.68,2.6800925943181637
218,218,0.162405,111.149,2.6783,2.678318920362799
219,219,0.162405,113.246,2.6765,2.676587566259827
220,220,0.162405,115.343,2.6749,2.6748967661971252
221,221,0.162405,117.441,2.6736,2.673244079732886
222,222,0.162405,119.538,2.6713,2.671629516262911
223,223,0.162405,121.635,2.6702,2.670050802530037
224,224,0.162405,123.732,2.6683,2.668506544743231
225,225,0.162405,125.829,2.6669,2.6669954257626984
226,226,0.162405,127.926,2.6657,2.6655161996898538
227,227,0.162405,130.023,2.6641,2.6640676869207054
228,228,0.162405,132.121,2.6625,2.662648099863808
229,229,0.162405,134.218,2.6611,2.661257731159454
230,230,0.162405,136.315,2.66,2.6598948907927653
231,231,0.162405,138.412,2.6584,2.658558622644428
232,232,0.162405,140.509,2.6573,2.6572480176527433
233,233,0.162405,142.606,2.656,2.6559622108360745
234,234,0.162405,144.703,2.6546,2.654700378544346
235,235,0.162405,146.801,2.6538,2.653461150656719
236,236,0.162405,148.898,2.6523,2.6522449598087348
237,237,0.162405,150.995,2.6507,2.6510504957235557
238,238,0.162405,153.092,2.6499,2.649877076508104
239,239,0.162405,155.189,2.6486,2.6487240506397125
240,240,0.162405,157.286,2.6477,2.6475907952246973
241,241,0.162405,159.384,2.6464,2.646476187587208
242,242,0.162405,161.481,2.6454,2.6453807196656887
243,243,0.162405,163.578,2.6444,2.644303309385645
244,244,0.162405,165.675,2.6434,2.6432434332528283
245,245,0.162405,167.772,2.642,2.642200589331835
246,246,0.162405,169.869,2.6411,2.641174296101915
247,247,0.162405,171.966,2.6401,2.6401640913867808
248,248,0.162405,174.064,2.6391,2.6391690607387654
249,249,0.162405,176.161,2.6385,2.6381897261144394
250,250,0.162405,178.258,2.6373,2.637225199644486
251,251,0.162405,180.355,2.6361,2.6362750871289315
252,252,0.162405,182.452,2.6355,2.6353390092902558
253,253,0.162405,184.549,2.6347,2.634416601044677
254,254,0.162405,186.647,2.6337,2.633507080420055
255,255,0.162405,188.744,2.6324,2.6326109756087424
256,256,0.162405,190.841,2.6317,2.631727523494711
257,257,0.162405,192.938,2.6311,2.630856409311372
258,258,0.162405,195.035,2.6299,2.6299973294358536
259,259,0.162405,197.132,2.6292,2.6291499908796845
260,260,0.162405,199.229,2.6284,2.628314110807895
261,261,0.162405,201.327,2.6274,2.6274890254369985
262,262,0.162405,203.424,2.6267,2.6266752573427485
263,263,0.162405,205.521,2.6254,2.6258721556084144
264,264,0.162405,207.618,2.6249,2.6250794737138223
265,265,0.162405,209.715,2.6243,2.624296973253209
266,266,0.162405,211.812,2.6234,2.6235244235901547
267,267,0.162405,213.91,2.623,2.622761240048047
268,268,0.162405,216.007,2.6218,2.622007934014704
269,269,0.162405,218.104,2.6212,2.6212639301992615
270,270,0.162405,220.201,2.6206,2.62052902593759
271,271,0.162405,222.298,2.62,2.619803024857509
272,272,0.162405,224.395,2.6189,2.619085736626278
273,273,0.162405,226.492,2.6186,2.618376976710472
274,274,0.162405,228.59,2.6177,2.6176762341054474
275,275,0.162405,230.687,2.6169,2.616984003144402
276,276,0.162405,232.784,2.6164,2.616299779385098
277,277,0.162405,234.881,2.6157,2.615623399316072
278,278,0.162405,236.978,2.6149,2.614954704186783
279,279,0.162405,239.075,2.6143,2.614293539828319
280,280,0.162405,241.172,2.6136,2.6136397564823532
281,281,0.162405,243.27,2.613,2.6129929020209053
282,282,0.162405,245.367,2.6125,2.6123534516084135
283,283,0.162405,247.464,2.612,2.611720957736577
284,284,0.162405,249.561,2.6109,2.611095286730838
285,285,0.162405,251.658,2.6108,2.610476308581074
286,286,0.162405,253.755,2.6096,2.6098638968116017
287,287,0.162405,255.853,2.6092,2.6092576409054757
288,288,0.162405,257.95,2.6088,2.608657998978347
289,289,0.162405,260.047,2.6081,2.6080645639392115
290,290,0.162405,262.144,2.6074,2.6074772222602505
291,291,0.162405,264.241,2.6069,2.606895863377166
292,292,0.162405,266.338,2.6063,2.6063203795890333
293,293,0.162405,268.435,2.6057,2.605750665962294
294,294,0.162405,270.533,2.6053,2.6051863525973555
295,295,0.162405,272.63,2.6047,2.60462787773757
296,296,0.162405,274.727,2.604,2.604074873894853
297,297,0.162405,276.824,2.6037,2.6035272463221886
298,298,0.162405,278.921,2.603,2.602984902615301
299,299,0.162405,281.018,2.6026,2.602447752637631
300,300,0.162405,283.116,2.602,2.6019154559356776
301,301,0.162405,285.213,2.6013,2.6013884340937756
302,302,0.162405,287.31,2.6008,2.600866348431343
303,303,0.162405,289.407,2.6005,2.6003491171902287
304,304,0.162405,291.504,2.5999,2.5998366605463663
305,305,0.162405,293.601,2.5993,2.5993289005504945
306,306,0.162405,295.698,2.5989,2.5988257610711094
307,307,0.162405,297.796,2.5985,2.598326931047338
308,308,0.162405,299.893,2.5978,2.597832813321073
316,316,0.409009,0.134,4.3461,4.346382266302745
317,317,0.409009,0.268,3.9625,3.9625138770209203
318,318,0.409009,0.537,3.6458,3.6455663903976037
319,319,0.409009,1.074,3.3856,3.385279457133366
320,320,0.409009,2.097,3.1777,3.1776486658275935
321,321,0.409009,4.194,2.9999,2.999874066668392
322,322,0.409009,6.291,2.9109,2.910793692815087
323,323,0.409009,8.389,2.8533,2.8534253160362573
324,324,0.409009,10.486,2.8125,2.8120234580285963
325,325,0.409009,12.583,2.7799,2.7800625604232088
326,326,0.409009,14.68,2.754,2.7542832396627017
327,327,0.409009,16.777,2.733,2.7328334672827825
328,328,0.409009,18.874,2.7147,2.714567315449578
329,329,0.409009,20.972,2.6988,2.698722991220028
330,330,0.409009,23.069,2.6849,2.684793979546833
331,331,0.409009,25.166,2.6724,2.6723980593475822
332,332,0.409009,27.263,2.6611,2.6612583494425035
333,333,0.409009,29.36,2.6512,2.651164648724475
334,334,0.409009,31.457,2.6418,2.6419539097878726
335,335,0.409009,33.554,2.6336,2.6334973164876714
336,336,0.409009,35.652,2.6256,2.6256878871194242
337,337,0.409009,37.749,2.6183,2.6184488784639988
338,338,0.409009,39.846,2.6116,2.6117070881814306
339,339,0.409009,41.943,2.6055,2.605404770152768
340,340,0.409009,44.04,2.5994,2.599493360050793
341,341,0.409009,46.137,2.5938,2.593931658143599
342,342,0.409009,48.234,2.5887,2.588684436216502
343,343,0.409009,50.332,2.5837,2.583719052553387
344,344,0.409009,52.429,2.5789,2.5790139325899277
345,345,0.409009,54.526,2.5745,2.5745437124878254
346,346,0.409009,56.623,2.5703,2.5702882848415434
347,347,0.409009,58.72,2.566,2.566229928969488
348,348,0.409009,60.817,2.5621,2.5623529541226038
349,349,0.409009,62.915,2.5585,2.558641675200449
350,350,0.409009,65.012,2.555,2.555087165527603
351,351,0.409009,67.109,2.5517,2.5516764497825006
352,352,0.409009,69.206,2.5486,2.5483994828641223
353,353,0.409009,71.303,2.5454,2.5452471992285823
354,354,0.409009,73.4,2.5422,2.542211391835835
355,355,0.409009,75.497,2.5393,2.539284609034383
356,356,0.409009,77.595,2.5363,2.536458742746354
357,357,0.409009,79.692,2.5337,2.533730291256764
358,358,0.409009,81.789,2.531,2.5310922165204026
359,359,0.409009,83.886,2.5286,2.528539320252399
360,360,0.409009,85.983,2.5259,2.5260668237380366
361,361,0.409009,88.08,2.5237,2.523670324702714
362,362,0.409009,90.178,2.5215,2.5213446675544597
363,363,0.409009,92.275,2.5191,2.519088309702797
364,364,0.409009,94.372,2.5169,2.5168966438814193
365,365,0.409009,96.469,2.5148,2.514766438415216
366,366,0.409009,98.566,2.5126,2.5126946889029522
367,367,0.409009,100.663,2.5107,2.510678597797876
368,368,0.409009,102.76,2.5087,2.508715556205076
369,369,0.409009,104.858,2.5068,2.5068022273372916
370,370,0.409009,106.955,2.5048,2.5049381555851955
371,371,0.409009,109.052,2.5031,2.503120283197436
372,372,0.409009,111.149,2.5014,2.5013466092420713
373,373,0.409009,113.246,2.4998,2.4996152551390995
374,374,0.409009,115.343,2.498,2.4979244550763977
375,375,0.409009,117.441,2.4965,2.4962717686121585
376,376,0.409009,119.538,2.4946,2.4946572051421834
377,377,0.409009,121.635,2.4932,2.4930784914093094
378,378,0.409009,123.732,2.4916,2.4915342336225033
379,379,0.409009,125.829,2.4903,2.490023114641971
380,380,0.409009,127.926,2.4884,2.4885438885691262
381,381,0.409009,130.023,2.487,2.487095375799978
382,382,0.409009,132.121,2.4856,2.4856757887430803
383,383,0.409009,134.218,2.484,2.4842854200387263
384,384,0.409009,136.315,2.4829,2.4829225796720378
385,385,0.409009,138.412,2.4815,2.4815863115237007
386,386,0.409009,140.509,2.4803,2.480275706532016
387,387,0.409009,142.606,2.479,2.478989899715347
388,388,0.409009,144.703,2.478,2.4777280674236186
389,389,0.409009,146.801,2.4766,2.4764888395359916
390,390,0.409009,148.898,2.4752,2.4752726486880072
391,391,0.409009,150.995,2.474,2.474078184602828
392,392,0.409009,153.092,2.473,2.4729047653873764
393,393,0.409009,155.189,2.4716,2.471751739518985
394,394,0.409009,157.286,2.4708,2.47061848410397
395,395,0.409009,159.384,2.4696,2.4695038764664803
396,396,0.409009,161.481,2.4683,2.468408408544961
397,397,0.409009,163.578,2.4671,2.4673309982649174
398,398,0.409009,165.675,2.4664,2.4662711221321008
399,399,0.409009,167.772,2.4652,2.4652282782111077
400,400,0.409009,169.869,2.4644,2.4642019849811874
401,401,0.409009,171.966,2.463,2.4631917802660532
402,402,0.409009,174.064,2.4621,2.462196749618038
403,403,0.409009,176.161,2.4612,2.461217414993712
404,404,0.409009,178.258,2.4603,2.4602528885237587
405,405,0.409009,180.355,2.4592,2.459302776008204
406,406,0.409009,182.452,2.4584,2.4583666981695282
407,407,0.409009,184.549,2.4573,2.4574442899239495
408,408,0.409009,186.647,2.4565,2.4565347692993273
409,409,0.409009,188.744,2.4557,2.455638664488015
410,410,0.409009,190.841,2.4548,2.4547552123739833
411,411,0.409009,192.938,2.454,2.4538840981906445
412,412,0.409009,195.035,2.4529,2.453025018315126
413,413,0.409009,197.132,2.452,2.452177679758957
414,414,0.409009,199.229,2.4515,2.4513417996871674
415,415,0.409009,201.327,2.4506,2.450516714316271
416,416,0.409009,203.424,2.4496,2.449702946222021
417,417,0.409009,205.521,2.4491,2.448899844487687
418,418,0.409009,207.618,2.4481,2.448107162593095
419,419,0.409009,209.715,2.4475,2.4473246621324813
420,420,0.409009,211.812,2.4466,2.446552112469427
421,421,0.409009,213.91,2.446,2.4457889289273194
422,422,0.409009,216.007,2.4452,2.4450356228939762
423,423,0.409009,218.104,2.4443,2.444291619078534
424,424,0.409009,220.201,2.4437,2.4435567148168627
425,425,0.409009,222.298,2.4429,2.4428307137367815
426,426,0.409009,224.395,2.4423,2.4421134255055503
427,427,0.409009,226.492,2.4413,2.4414046655897446
428,428,0.409009,228.59,2.4408,2.44070392298472
429,429,0.409009,230.687,2.4401,2.4400116920236745
430,430,0.409009,232.784,2.4391,2.4393274682643704
431,431,0.409009,234.881,2.4385,2.4386510881953445
432,432,0.409009,236.978,2.4377,2.4379823930660556
433,433,0.409009,239.075,2.4373,2.4373212287075914
434,434,0.409009,241.172,2.4368,2.4366674453616257
435,435,0.409009,243.27,2.4362,2.4360205909001778
436,436,0.409009,245.367,2.4354,2.435381140487686
437,437,0.409009,247.464,2.4349,2.4347486466158497
438,438,0.409009,249.561,2.434,2.4341229756101104
439,439,0.409009,251.658,2.4333,2.4335039974603463
440,440,0.409009,253.755,2.4329,2.432891585690874
441,441,0.409009,255.853,2.4323,2.432285329784748
442,442,0.409009,257.95,2.4317,2.4316856878576196
443,443,0.409009,260.047,2.4309,2.431092252818484
444,444,0.409009,262.144,2.4305,2.430504911139523
445,445,0.409009,264.241,2.4298,2.4299235522564384
446,446,0.409009,266.338,2.4294,2.4293480684683058
447,447,0.409009,268.435,2.4288,2.4287783548415667
448,448,0.409009,270.533,2.4281,2.428214041476628
449,449,0.409009,272.63,2.4276,2.4276555666168425
450,450,0.409009,274.727,2.427,2.4271025627741256
451,451,0.409009,276.824,2.4266,2.426554935201461
452,452,0.409009,278.921,2.4261,2.4260125914945734
453,453,0.409009,281.018,2.4254,2.4254754415169035
454,454,0.409009,283.116,2.425,2.42494314481495
455,455,0.409009,285.213,2.4244,2.424416122973048
456,456,0.409009,287.31,2.4238,2.4238940373106153
457,457,0.409009,289.407,2.4234,2.423376806069501
458,458,0.409009,291.504,2.4228,2.4228643494256388
459,459,0.409009,293.601,2.4223,2.422356589429767
460,460,0.409009,295.698,2.4217,2.421853449950382
461,461,0.409009,297.796,2.4216,2.4213546199266105
462,462,0.409009,299.893,2.4209,2.4208605022003455
470,470,1.040867,0.134,4.2153,4.215862659148774
471,471,1.040867,0.268,3.8315,3.831994269866949
472,472,1.040867,0.537,3.5146,3.5150467832436325
473,473,1.040867,1.074,3.2545,3.254759849979395
474,474,1.040867,2.097,3.0476,3.0471290586736224
475,475,1.040867,4.194,2.8697,2.8693544595144207
476,476,1.040867,6.291,2.7802,2.780274085661116
477,477,1.040867,8.389,2.723,2.722905708882286
478,478,1.040867,10.486,2.6816,2.681503850874625
479,479,1.040867,12.583,2.6501,2.6495429532692376
480,480,1.040867,14.68,2.6239,2.6237636325087306
481,481,1.040867,16.777,2.6023,2.6023138601288114
482,482,1.040867,18.874,2.5839,2.584047708295607
483,483,1.040867,20.972,2.5679,2.5682033840660567
484,484,1.040867,23.069,2.5543,2.554274372392862
485,485,1.040867,25.166,2.5417,2.541878452193611
486,486,1.040867,27.263,2.5305,2.5307387422885324
487,487,1.040867,29.36,2.5205,2.520645041570504
488,488,1.040867,31.457,2.5113,2.5114343026339014
489,489,1.040867,33.554,2.5032,2.5029777093337002
490,490,1.040867,35.652,2.4953,2.495168279965453
491,491,1.040867,37.749,2.4879,2.4879292713100276
492,492,1.040867,39.846,2.4814,2.4811874810274595
493,493,1.040867,41.943,2.4749,2.4748851629987967
494,494,1.040867,44.04,2.4688,2.468973752896822
495,495,1.040867,46.137,2.4636,2.463412050989628
496,496,1.040867,48.234,2.4582,2.4581648290625306
497,497,1.040867,50.332,2.453,2.4531994453994157
498,498,1.040867,52.429,2.4485,2.4484943254359566
499,499,1.040867,54.526,2.4439,2.4440241053338543
500,500,1.040867,56.623,2.4396,2.439768677687572
501,501,1.040867,58.72,2.4358,2.4357103218155167
502,502,1.040867,60.817,2.4321,2.4318333469686326
503,503,1.040867,62.915,2.4279,2.428122068046478
504,504,1.040867,65.012,2.4246,2.424567558373632
505,505,1.040867,67.109,2.4211,2.4211568426285295
506,506,1.040867,69.206,2.4178,2.417879875710151
507,507,1.040867,71.303,2.4146,2.414727592074611
508,508,1.040867,73.4,2.4116,2.4116917846818637
509,509,1.040867,75.497,2.4088,2.4087650018804116
510,510,1.040867,77.595,2.4058,2.4059391355923827
511,511,1.040867,79.692,2.4032,2.4032106841027927
512,512,1.040867,81.789,2.4006,2.4005726093664315
513,513,1.040867,83.886,2.398,2.398019713098428
514,514,1.040867,85.983,2.3954,2.3955472165840654
515,515,1.040867,88.08,2.3931,2.393150717548743
516,516,1.040867,90.178,2.3909,2.3908250604004886
517,517,1.040867,92.275,2.3886,2.388568702548826
518,518,1.040867,94.372,2.3863,2.386377036727448
519,519,1.040867,96.469,2.3842,2.384246831261245
520,520,1.040867,98.566,2.3822,2.382175081748981
521,521,1.040867,100.663,2.38,2.380158990643905
522,522,1.040867,102.76,2.3782,2.3781959490511047
523,523,1.040867,104.858,2.3762,2.3762826201833205
524,524,1.040867,106.955,2.3745,2.3744185484312244
525,525,1.040867,109.052,2.3725,2.372600676043465
526,526,1.040867,111.149,2.3706,2.3708270020881
527,527,1.040867,113.246,2.3689,2.3690956479851284
528,528,1.040867,115.343,2.3674,2.3674048479224266
529,529,1.040867,117.441,2.3658,2.3657521614581873
530,530,1.040867,119.538,2.364,2.364137597988212
531,531,1.040867,121.635,2.3626,2.362558884255338
532,532,1.040867,123.732,2.3608,2.361014626468532
533,533,1.040867,125.829,2.3595,2.3595035074879998
534,534,1.040867,127.926,2.3579,2.358024281415155
535,535,1.040867,130.023,2.3565,2.3565757686460067
536,536,1.040867,132.121,2.3552,2.355156181589109
537,537,1.040867,134.218,2.3537,2.353765812884755
538,538,1.040867,136.315,2.3524,2.3524029725180666
539,539,1.040867,138.412,2.3512,2.3510667043697295
540,540,1.040867,140.509,2.3497,2.3497560993780446
541,541,1.040867,142.606,2.3485,2.348470292561376
542,542,1.040867,144.703,2.3471,2.3472084602696475
543,543,1.040867,146.801,2.346,2.3459692323820205
544,544,1.040867,148.898,2.3449,2.344753041534036
545,545,1.040867,150.995,2.3433,2.343558577448857
546,546,1.040867,153.092,2.3423,2.342385158233405
547,547,1.040867,155.189,2.3413,2.341232132365014
548,548,1.040867,157.286,2.3401,2.3400988769499986
549,549,1.040867,159.384,2.339,2.338984269312509
550,550,1.040867,161.481,2.3378,2.33788880139099
551,551,1.040867,163.578,2.3368,2.3368113911109463
552,552,1.040867,165.675,2.3357,2.3357515149781296
553,553,1.040867,167.772,2.3348,2.3347086710571365
554,554,1.040867,169.869,2.3337,2.333682377827216
