g_function,Q0_q_huber,Q_target,g_Q_flops_per_token,g_Q0_flops_per_token,incremental_flops_per_token,D_B1_min_tokens,C_Q_at_D_B1_min_flops,D_B1_median_tokens,C_Q_at_D_B1_median_flops,D_B1_max_tokens,C_Q_at_D_B1_max_flops
power4,0.49847810484764643,0.5,312500000.0,308712598.1327492,3787401.8672508,134000000,507511850211607.2,146801000000,5.5599438151428474e+17,299893000000,1.1358153081754442e+18
power4,0.49847810484764643,0.55,457531250.0000001,308712598.1327492,148818651.86725092,134000000,1.9941699350211624e+16,146801000000,2.18467269127643e+19,299893000000,4.462967196442548e+19
power4,0.49847810484764643,0.6,648000000.0,308712598.1327492,339287401.8672508,134000000,4.546451185021161e+16,146801000000,4.980772988151429e+19,299893000000,1.0174991680817545e+20
power4,0.49847810484764643,0.65,892531250.0000001,308712598.1327492,583818651.8672509,134000000,7.823169935021162e+16,146801000000,8.57051619127643e+19,299893000000,1.750831269644255e+20
power4,0.49847810484764643,0.7,1200499999.9999998,308712598.1327492,891787401.8672506,134000000,1.1949951185021157e+17,146801000000,1.3091528238151424e+20,299893000000,2.6744079930817538e+20
power4,0.49847810484764643,0.75,1582031250.0,308712598.1327492,1273318651.867251,134000000,1.7062469935021162e+17,146801000000,1.869244514127643e+20,299893000000,3.818593504644255e+20
power4,0.49847810484764643,0.8,2048000000.0000005,308712598.1327492,1739287401.8672514,134000000,2.3306451185021168e+17,146801000000,2.5532912988151438e+20,299893000000,5.2160011680817565e+20
power4,0.49847810484764643,0.85,2610031249.9999995,308712598.1327492,2301318651.8672504,134000000,3.083766993502116e+17,146801000000,3.3783587941276425e+20,299893000000,6.901493544644253e+20
power4,0.49847810484764643,0.9,3280500000.0,308712598.1327492,2971787401.867251,134000000,3.9821951185021165e+17,146801000000,4.362613623815143e+20,299893000000,8.912182393081755e+20
power4,0.49847810484764643,0.95,4072531249.9999995,308712598.1327492,3763818651.8672504,134000000,5.043516993502116e+17,146801000000,5.525323419127642e+20,299893000000,1.1287428669644253e+21
power4,0.49847810484764643,1.0,5000000000.0,308712598.1327492,4691287401.86725,134000000,6.286325118502116e+17,146801000000,6.886856818815142e+20,299893000000,1.4068842528081754e+21
logarithmic,0.49847810484764643,0.49847810484764643,3578439509.923423,3578439509.923423,0.0,134000000,0.0,146801000000,0.0,299893000000,0.0
logarithmic,0.49847810484764643,0.5,3583518938.45611,3578439509.923423,5079428.532687187,134000000,680643423380083.1,146801000000,7.456651880270117e+17,299893000000,1.5232850609531587e+18
logarithmic,0.49847810484764643,0.55,3743604353.8031826,3578439509.923423,165164843.8797598,134000000,2.2132089079887812e+16,146801000000,2.4246364246392615e+19,299893000000,4.95317805256328e+19
logarithmic,0.49847810484764643,0.6,3891820298.1106267,3578439509.923423,313380788.1872039,134000000,4.199302561708532e+16,146801000000,4.600461308666972e+19,299893000000,9.398070471182513e+19
logarithmic,0.49847810484764643,0.65,4029806041.0845294,3578439509.923423,451366531.1611066,134000000,6.048311517558828e+16,146801000000,6.626105814098161e+19,299893000000,1.3536166312949773e+20
logarithmic,0.49847810484764643,0.7,4158883083.3596716,3578439509.923423,580443573.4362488,134000000,7.777943884045734e+16,146801000000,8.520969702401476e+19,299893000000,1.7407096456851695e+20
logarithmic,0.49847810484764643,0.75,4280132326.9925413,3578439509.923423,701692817.0691185,134000000,9.402683748726187e+16,146801000000,1.0300920723856366e+20,299893000000,2.1043276398930916e+20
logarithmic,0.49847810484764643,0.8,4394449154.67244,3578439509.923423,816009644.7490168,134000000,1.0934529239636824e+17,146801000000,1.1979103185880041e+20,299893000000,2.447155803927169e+20
logarithmic,0.49847810484764643,0.85,4502583597.212991,3578439509.923423,924144087.289568,134000000,1.2383530769680211e+17,146801000000,1.3566527615819586e+20,299893000000,2.771443427695304e+20
logarithmic,0.49847810484764643,0.9,4605170185.988091,3578439509.923423,1026730676.0646687,134000000,1.375819105926656e+17,146801000000,1.5072508997696943e+20,299893000000,3.079093426370617e+20
logarithmic,0.49847810484764643,0.95,4702750514.326955,3578439509.923423,1124311004.403532,134000000,1.5065767459007328e+17,146801000000,1.650499797574429e+20,299893000000,3.371730000435884e+20
logarithmic,0.49847810484764643,1.0,4795790545.596742,3578439509.923423,1217351035.6733189,134000000,1.6312503878022474e+17,146801000000,1.787083493878789e+20,299893000000,3.6507505414117864e+20
