核对项,新版论文值,HUAWEI-Cup核对来源,HUAWEI-Cup核对值,结论与说明
Q1 p+Q 1B相对二次模型标准化RMSE变化,+0.045533,Q1/03_结果/Q1.3/pq_extension_v1/paired_comparison.csv,0.0455330702,一致；n=64，正值表示误差变大
Q1二次敏感性模型嵌套OOF标准化RMSE,0.58901,Q1/03_结果/Q1.3/v1/nested_cv_metrics.csv nonlinear_sensitivity_only,0.5890145267,数值一致；优于线性主模型0.63305，需说明事前选模角色
Q2经典模型参数（E、A、alpha、B、beta）,1.689798；0.353980；0.339977；1.240306；0.279878,Q2/03_结果/经典ScalingLaw基线/v1/fit_parameters.json,1.68979756；0.35398032；0.33997658；1.24030558；0.27987813,一致；按论文精度四舍五入
Q2 B1内样本R2及Jacobian条件数,0.99999982；56.378,Q2/03_结果/经典ScalingLaw基线/v1/fit_parameters.json,0.9999998166；56.377759,一致；内样本指标，不是独立验证
Q2中位点弹性N/D,-0.048225；-0.036924,Q2/03_结果/综合收口/v1/q2_m0_effects_distribution_summary.csv,-0.048225；-0.036924,与数字登记表一致
Q3临界上下文长度,30000,Q3/04_结果/C7_context_audit_summary.json,30000,一致；45条架构记录中12条超过该值
Q3 C7五种长度计数,2048:18；4096:8；8192:7；32768:11；131072:1,Q3/04_结果/C7_context_audit_summary.json,2048:18；4096:8；8192:7；32768:11；131072:1,一致；总数45
Q3 1e22预算利用率范围,98.92%-99.64%,Q3/04_结果/M0_ND_reference_frontier.csv,98.916%-99.642%,一致；论文显示精度四舍五入
Q3 1e24预算利用率范围,2.300%-11.560%,Q3/04_结果/M0_ND_reference_frontier.csv,2.300064%-11.560032%,一致；结果受B1网格上界约束
Q3注意力成本份额首末值,6.390%；81.375%,Q3/04_结果/M0_budget_context_cost_shares.csv,6.3904%；81.37479%,一致；按显示精度四舍五入
A 数据原始表仓库内可得性,论文未声称,中文题目/F题/real_attachments 当前文件清单,未发现A_data_value原始表；现有预处理与结果文件,无法从仓库当前文件完成从原始表到结果的端到端复算
