核对项,论文报告值,工作区核对来源,工作区核对值,结论与口径说明
A6/A7 1M 同尺度 MAE,0.3876,"results/q1_3/v1/holdout_metrics.csv；closed、13个目标宏平均",0.3876144,一致；保留论文主模型 closed 口径
A6/A7 1M 同尺度 RMSE,0.4539,"results/q1_3/v1/holdout_metrics.csv；closed、13个目标宏平均",0.4538630,一致；保留论文主模型 closed 口径
A6/A7 1M 同尺度 R2,0.6189,"results/q1_3/v1/holdout_metrics.csv；closed、13个目标宏平均",0.6188879,一致；保留论文主模型 closed 口径
A6/A7 1M 同尺度 Spearman,0.8327,"results/q1_3/v1/holdout_metrics.csv；closed、13个目标宏平均",0.8326617,一致；保留论文主模型 closed 口径
A8/A9 60M 跨尺度 MAE,1.5125,"results/q1_3/v1/holdout_metrics.csv；closed、13个目标宏平均",1.5125359,一致；跨尺度 R2 为负，应强调不能作准确跨尺度预测
A8/A9 60M 跨尺度 RMSE,1.5590,"results/q1_3/v1/holdout_metrics.csv；closed、13个目标宏平均",1.5590162,一致；保留论文主模型 closed 口径
A8/A9 60M 跨尺度 R2,-7.9336,"results/q1_3/v1/holdout_metrics.csv；closed、13个目标宏平均",-7.9335695,一致；负R2代表预测水平误差很差
A8/A9 60M 跨尺度 Spearman,0.8314,"results/q1_3/v1/holdout_metrics.csv；closed、13个目标宏平均",0.8313862,一致；排序相关较高不能替代绝对误差表现
A10/A11 1B 跨尺度 MAE,3.1830,"results/q1_3/v1/holdout_metrics.csv；closed、13个目标宏平均",3.1829563,一致；保留论文主模型 closed 口径
A10/A11 1B 跨尺度 RMSE,3.1970,"results/q1_3/v1/holdout_metrics.csv；closed、13个目标宏平均",3.1969897,一致；保留论文主模型 closed 口径
A10/A11 1B 跨尺度 R2,-810.12,"results/q1_3/v1/holdout_metrics.csv；closed、13个目标宏平均",-810.1196,一致；负R2非常大，解释应谨慎且限定用途
A10/A11 1B 跨尺度 Spearman,0.7268,"results/q1_3/v1/holdout_metrics.csv；closed、13个目标宏平均",0.7268456,一致；排序相关较高不能替代绝对误差表现
A12/A13 10B 一致性检查 MAE,3.5730,"results/q1_3/v1/estimate_consistency_metrics.csv；closed、13目标宏平均",3.57304,一致；估计表一致性检查，不是独立留出验证
A12/A13 10B 一致性检查 RMSE,3.6016,"results/q1_3/v1/estimate_consistency_metrics.csv；closed、13目标宏平均",3.60155,一致；估计表一致性检查，不是独立留出验证
A12/A13 10B 一致性检查 R2,-236.86,"results/q1_3/v1/estimate_consistency_metrics.csv；closed、13目标宏平均",-236.85738,一致；不可包装成外部验证
A12/A13 10B 一致性检查 Spearman,0.4896,"results/q1_3/v1/estimate_consistency_metrics.csv；closed、13目标宏平均",0.48978,一致；四位小数一致
A14/A15 70B 一致性检查 MAE,3.9556,"results/q1_3/v1/estimate_consistency_metrics.csv；closed、13目标宏平均",3.95562,一致；估计表一致性检查，不是独立留出验证
A14/A15 70B 一致性检查 RMSE,3.9848,"results/q1_3/v1/estimate_consistency_metrics.csv；closed、13目标宏平均",3.98477,一致；估计表一致性检查，不是独立留出验证
A14/A15 70B 一致性检查 R2,-385.31,"results/q1_3/v1/estimate_consistency_metrics.csv；closed、13目标宏平均",-385.31283,一致；不可包装成外部验证
A14/A15 70B 一致性检查 Spearman,0.4132,"results/q1_3/v1/estimate_consistency_metrics.csv；closed、13目标宏平均",0.41329,一致；四位小数一致
原始输入可否端到端重算,不可,"工作区题目附件目录未发现 A_data_value 原始表；存在预处理 gzip 与结果 CSV",仅可做处理结果层对账,限制项；恢复原始附件并重跑后才能完成源头核验
冻结清单SHA-256,三个结果文件清单哈希,"results/q1_final/q1_final_freeze.json 对比工作副本",CRLF 转 LF 后三文件均匹配,一致；原始字节哈希因 Windows 换行转换不同
