family,N_params_B,D_tokens_B,val_loss,is_converged,M0_predicted_loss,M0_parameter_bootstrap_p025,M0_parameter_bootstrap_p975,estimated_minus_M0_loss,model_name,FLOPs,publication_date,accessibility
gpt-oss-120b,116.8,7047.3,1.8636,1,1.8638433846124116,1.8637682994720752,1.863920448270093,-0.00024338461241169007,gpt-oss-120b,4.94e+24,2025-08-05,Open weights (unrestricted)
Galactica,120.0,106.0,2.0947,1,2.0955883525771535,2.095520990901323,2.0956477952601746,-0.0008883525771534728,Galactica,3.24e+23,2022-11-16,Open weights (non-commercial)
Mistral Large 2,123.0,28861.8,1.8286,1,1.8287493140473523,1.828671789078035,1.828839846969768,-0.00014931404735230025,Mistral Large 2,2.13e+25,2024-07-24,Open weights (non-commercial)
Step-Audio-Chat 130B,130.0,1668.0,1.9126,1,1.9129421362006198,1.912867621740545,1.9130059838901818,-0.00034213620061973593,Step-Audio-Chat 130B,1.925e+24,2025-02-18,Open weights (unrestricted)
Step-1,130.0,800.0,1.948,1,1.9484436277898776,1.9483657497790472,1.9485017487054823,-0.00044362778987760976,Step-1,6.24e+23,2025-02-18,Unreleased
Step-Omni,130.0,2468.0,1.8965,1,1.8967937967021633,1.8967168793433968,1.8968588731687253,-0.0002937967021632293,Step-Omni,2.549e+24,2025-02-18,Unreleased
BlueLM 130B,130.0,1000.0,1.9364,1,1.9368803838175392,1.9368022823737143,1.9369400305029683,-0.00048038381753934267,BlueLM 130B,7.8e+23,2023-11-02,Unreleased
GLM-130B,130.0,152.0,2.0607,1,2.061454061649048,2.0613864174783187,2.061511152862881,-0.000754061649047788,GLM-130B,3.549e+23,2022-08-04,Open weights (non-commercial)
DBRX,132.0,12000.0,1.8464,1,1.846607047024309,1.8465324411777426,1.846690995756572,-0.0002070470243089595,DBRX,2.6e+24,2024-03-27,Open weights (restricted use)
Pangu Ultra,135.0,13200.0,1.8436,1,1.8437387499520406,1.8436638870377344,1.8438240868154716,-0.0001387499520406621,Pangu Ultra,1.069e+25,2025-04-10,Hosted access (no API)
MEB,135.0,500.0,1.9739,1,1.9744324024478395,1.974359045774843,1.974485957634178,-0.0005324024478394751,MEB,,2021-09-04,Hosted access (no API)
BIG-G 137B,137.0,681.2,1.9555,1,1.9560374277079358,1.9559609530077673,1.956095407145271,-0.0005374277079357448,BIG-G 137B,5.6e+23,2022-06-09,Unreleased
LaMDA,137.0,2080.0,1.9021,1,1.9024308417847968,1.9023543756813137,1.902496801807237,-0.0003308417847969203,LaMDA,3.55e+23,2022-02-10,Unreleased
FLAN 137B,137.0,2490.0,1.8949,1,1.8952525214462936,1.8951749776697966,1.8953180828842142,-0.0003525214462936077,FLAN 137B,2.047e+24,2021-09-03,Unreleased
Mixtral 8x22B,141.0,2766.0,1.8903,1,1.890575635237253,1.8904971694215036,1.890642514661189,-0.0002756352372528248,Mixtral 8x22B,2.34e+24,2024-04-17,Open weights (unrestricted)
dots.llm1,142.0,11328.0,1.8462,1,1.8464120695879966,1.846336282321578,1.846495591286754,-0.00021206958799657727,dots.llm1,1.216e+24,2025-07-06,Open weights (unrestricted)
GPT-3 175B (davinci),174.6,238.0,2.0185,1,2.0191448457942176,2.0190751174958095,2.019202584388294,-0.0006448457942176411,GPT-3 175B (davinci),3.14e+23,2020-05-28,API access
MegaScale (175B),175.0,300.0,2.0016,1,2.0022734272681917,2.0022031007644223,2.0023303761795606,-0.0006734272681918618,MegaScale (175B),2.739e+23,2024-02-23,Unreleased
BlueLM 175B,175.0,1000.0,1.9299,1,1.9303775720903824,1.9302948997948923,1.9304386886419782,-0.00047757209038246096,BlueLM 175B,1.05e+24,2023-11-02,Unreleased
OPT-IML (175B),175.0,2.0,2.77,1,2.7725387118322384,2.7724553426545087,2.7726357542715125,-0.002538711832238416,OPT-IML (175B),4.3e+23,2022-12-22,Open weights (non-commercial)
BlenderBot 3,175.0,1.3,2.9007,1,2.903441278395165,2.903362812158831,2.9035487278324035,-0.0027412783951650255,BlenderBot 3,4.3e+23,2022-08-10,Open weights (non-commercial)
OPT-175B,175.0,180.0,2.0402,1,2.0409006418950337,2.040830046104435,2.040960177023957,-0.0007006418950337157,OPT-175B,4.3e+23,2022-05-02,Open weights (non-commercial)
BLUUMI,176.0,38.0,2.1978,1,2.1989366311765077,2.1988563415580753,2.199010906258949,-0.001136631176507752,BLUUMI,,2023-11-03,Open weights (restricted use)
BLOOMZ-176B,176.0,20.0,2.2857,1,2.2871184962395956,2.2870289327694477,2.2871976728954833,-0.001418496239595779,BLOOMZ-176B,,2022-11-03,Open weights (unrestricted)
XuanYuan 2.0,176.2,366.0,1.9879,1,1.9885263499913146,1.98845383753664,1.988583052079733,-0.000626349991314612,XuanYuan 2.0,,2023-05-19,Open weights (restricted use)
BLOOM-176B,176.2,379.0,1.9856,1,1.9862154718483753,1.9861426022073185,1.986271857569549,-0.000615471848375293,BLOOM-176B,3.657e+23,2022-07-11,Open weights (restricted use)
Jurassic-1-Jumbo,178.0,300.0,2.0013,1,2.0019210722407834,2.001850602368174,2.0019781494479574,-0.000621072240783338,Jurassic-1-Jumbo,3.7e+23,2021-08-11,API access
Falcon-180B,180.0,3500.0,1.8765,1,1.876728488636539,1.8766461328431019,1.8767994361789024,-0.00022848863653890383,Falcon-180B,3.76e+24,2023-09-06,Open weights (restricted use)
SenseChat,180.0,3601.9,1.8754,1,1.875717591461376,1.8756350804338275,1.8757888395913644,-0.0003175914613759989,SenseChat,3.89e+24,2023-04-10,API access
Mi:dm 200B,200.0,1000.0,1.9272,1,1.9276635684093237,1.9275805535650743,1.9277256990064415,-0.00046356840932371135,Mi:dm 200B,1.2e+24,2023-10-31,API access
Amazon Titan,200.0,4000.0,1.8697,1,1.869961988721686,1.8698778390891415,1.8700349753519658,-0.00026198872168614606,Amazon Titan,4.8e+24,2023-09-28,API access
HyperCLOVA 204B,204.0,560.0,1.9584,1,1.958884790991834,1.9588067456504499,1.9589420344584556,-0.00048479099183418306,HyperCLOVA 204B,2e+23,2021-09-10,Hosted access (no API)
PanGu-α,207.0,41.2,2.1845,1,2.1856352738143148,2.185553888654213,2.1857109746606067,-0.0011352738143148855,PanGu-α,5.112e+22,2021-04-25,Unreleased
Qwen3-235B-A22B-Thinking (Jul 2025),235.0,36000.0,1.8108,1,1.8109303634533265,1.810839235898106,1.8110263417777968,-0.00013036345332650967,Qwen3-235B-A22B-Thinking (Jul 2025),4.752e+24,2025-07-25,Open weights (unrestricted)
Qwen3-235B-A22B (Jul 2025),235.0,36000.0,1.8108,1,1.8109303634533265,1.810839235898106,1.8110263417777968,-0.00013036345332650967,Qwen3-235B-A22B (Jul 2025),4.752e+24,2025-07-25,Open weights (unrestricted)
Qwen3-235B-A22B,235.0,36000.0,1.8108,1,1.8109303634533265,1.810839235898106,1.8110263417777968,-0.00013036345332650967,Qwen3-235B-A22B,4.752e+24,2025-04-29,Open weights (unrestricted)
K-EXAONE,236.0,11000.0,1.8366,1,1.8367494898472034,1.8366644099986662,1.836833653816162,-0.00014948984720342118,K-EXAONE,1.52e+24,2025-12-31,API access
DeepSeek-V2.5,236.0,1263.6,1.9127,1,1.9130931767667747,1.9130096074903677,1.9131591962782322,-0.00039317676677463886,DeepSeek-V2.5,1.789e+24,2024-09-06,Open weights (restricted use)
DeepSeek-Coder-V2 236B,236.0,3191.0,1.8744,1,1.8747113998409946,1.87462681685909,1.8747855370537276,-0.00031139984099448625,DeepSeek-Coder-V2 236B,1.285e+24,2024-06-17,Open weights (restricted use)
DeepSeek-V2 (MoE-236B),236.0,8100.0,1.8448,1,1.8449510727350145,1.8448676444132044,1.845032150576914,-0.00015107273501446805,DeepSeek-V2 (MoE-236B),1.02e+24,2024-05-07,Open weights (restricted use)
Yuan 1.0,245.7,180.0,2.0335,1,2.0342378832999346,2.0341636441302366,2.0343015433443696,-0.0007378832999345164,Yuan 1.0,3.538e+23,2021-10-12,API access
Aramco Metabrain AI,250.0,7000.0,1.8478,1,1.8480452899334212,1.8479605912179895,1.84812525502514,-0.00024528993342110006,Aramco Metabrain AI,1.05e+25,2024-03-04,Unreleased
Llama Nemotron Ultra 253B,253.0,603.0,1.95,1,1.950463636781715,1.9503831124293072,1.9505232570165332,-0.00046363678171501554,Llama Nemotron Ultra 253B,3.911e+25,2025-03-18,Open weights (restricted use)
ERNIE 3.0 Titan,260.0,668.0,1.9436,1,1.9441266644413349,1.9440450082730296,1.9441883904550858,-0.0005266644413348676,ERNIE 3.0 Titan,1.042e+24,2021-12-23,Hosted access (no API)
ST-MoE,269.0,1500.0,1.9024,1,1.9028130967801848,1.9027301954268825,1.9028833430251166,-0.0004130967801847518,ST-MoE,2.9e+23,2022-02-17,Unreleased
Gopher (280B),280.0,300.0,1.9926,1,1.993242905321536,1.9931687857173817,1.9933049454423029,-0.0006429053215359914,Gopher (280B),6.31e+23,2021-12-08,Unreleased
"Ling-Plus (""Bailing"")",290.0,9000.0,1.8381,1,1.8383106360664023,1.8382224405453205,1.8383938535979631,-0.00021063606640225885,"Ling-Plus (""Bailing"")",1.555e+24,2025-03-10,Open weights (unrestricted)
ERNIE-4.5-300B-A47B,300.0,1566.7,1.8986,1,1.8989511648138122,1.8988674199615658,1.899022463723877,-0.0003511648138121437,ERNIE-4.5-300B-A47B,2.82e+24,2025-06-29,Open weights (unrestricted)
EXAONE 1.0,300.0,942.0,1.9227,1,1.9231645380748035,1.9230820543023182,1.923229310964819,-0.00046453807480340004,EXAONE 1.0,1.696e+24,2021-12-14,Unreleased
SB-LM,300.0,1800.0,1.8926,1,1.8929211444247238,1.892837625815638,1.8929906959708298,-0.0003211444247237516,SB-LM,1.449e+18,2007-06-22,
MiMo-V2-Flash,309.0,1310.7,1.9062,1,1.906544219043492,1.9064575181895542,1.9066124679276526,-0.0003442190434921333,MiMo-V2-Flash,2.43e+24,2025-12-16,Open weights (unrestricted)
Grok-1,314.0,6200.0,1.8474,1,1.8476022631069695,1.8475144624642936,1.847682351828507,-0.00020226310696958016,Grok-1,2.9e+24,2023-11-04,Open weights (unrestricted)
AMIE (Articulate Medical Intelligence Explorer),340.0,3598.0,1.8637,1,1.8639786897580843,1.8638899793831751,1.8640571013436023,-0.0002786897580844272,AMIE (Articulate Medical Intelligence Explorer),7.34e+24,2025-04-09,Unreleased
Nemotron-4 340B,340.0,9000.0,1.8354,1,1.8355994817732633,1.8355082526464988,1.8356835288798257,-0.0001994817732633436,Nemotron-4 340B,1.8e+25,2024-06-14,Open weights (unrestricted)
PaLM 2,340.0,3600.0,1.8637,1,1.8639591891432088,1.8638704757708657,1.8640375951852406,-0.0002591891432088822,PaLM 2,7.34e+24,2023-05-10,API access
GLM-4.5,355.0,23100.0,1.8123,1,1.8123931352154214,1.8122966840525507,1.81248667674741,-9.313521542142489e-05,GLM-4.5,4.42e+24,2025-08-05,Open weights (unrestricted)
GLM-4.6,357.0,23000.0,1.8123,1,1.81239192539551,1.8122954001847686,1.81248544722007,-9.192539551006185e-05,GLM-4.6,4.42e+24,2025-09-30,Open weights (unrestricted)
GLM-4.7,358.0,2057.7,1.884,1,1.884357249544901,1.8842712638989567,1.884429512638245,-0.00035724954490112815,GLM-4.7,4.42e+24,2025-12-22,Open weights (unrestricted)
Hunyuan-Large,389.0,7000.0,1.8403,1,1.84048579701465,1.8403931640439302,1.8405682364528813,-0.00018579701464993548,Hunyuan-Large,3.492e+24,2024-11-06,Open weights (restricted use)
Arcee Trinity Large,398.0,555.3,1.9471,1,1.947585584538,1.9475024526338085,1.9476492118607194,-0.00048558453799985024,Arcee Trinity Large,1.326e+24,2026-02-19,Open weights (restricted use)
Llama 4 Maverick,400.0,30000.0,1.8051,1,1.8052250776670518,1.805125286060154,1.8053219472938093,-0.00012507766705183165,Llama 4 Maverick,2.244e+24,2025-04-05,Open weights (restricted use)
Hermes 3 405B,405.0,0.3,3.4691,1,3.4730556553225997,3.4729397875852976,3.4732062864860183,-0.0039556553225996716,Hermes 3 405B,,2024-08-14,Open weights (restricted use)
Llama 3.1-405B,405.0,15600.0,1.8188,1,1.8189404832981089,1.818844191986665,1.8190306014321442,-0.00014048329810889548,Llama 3.1-405B,3.8e+25,2024-07-23,Open weights (restricted use)
MiniMax-M1-80k,456.0,7500.0,1.8359,1,1.8360440716615645,1.8359489650765044,1.8361279519627762,-0.00014407166156438223,MiniMax-M1-80k,4.324e+24,2025-06-13,Open weights (unrestricted)
MiniMax-M1-40k,456.0,7500.0,1.8359,1,1.8360440716615645,1.8359489650765044,1.8361279519627762,-0.00014407166156438223,MiniMax-M1-40k,4.186e+24,2025-06-13,Open weights (unrestricted)
MiniMax-Text-01,456.0,7200.0,1.837,1,1.8372171588583854,1.8371222439119863,1.8373005872672037,-0.0002171588583854689,MiniMax-Text-01,3.142e+24,2025-01-14,Open weights (restricted use)
Qwen3-Coder-480B-A35B,480.0,7500.0,1.8351,1,1.8352807251719507,1.8351851746866616,1.8353648026471578,-0.00018072517195077964,Qwen3-Coder-480B-A35B,1.575e+24,2025-07-22,Open weights (unrestricted)
Arctic,480.0,133.1,2.0479,1,2.0487039195267176,2.048622431183849,2.048778713894895,-0.0008039195267177668,Arctic,3.835e+23,2024-04-24,Open weights (unrestricted)
Doubao-pro,500.0,8350.0,1.8315,1,1.831660748130666,1.8315647071198091,1.8317462803556317,-0.0001607481306660219,Doubao-pro,2.505e+25,2024-10-28,API access
Microsoft MAI-1 (2024 unreleased),500.0,5.3,2.5084,1,2.510306166940791,2.510204344395909,2.510402189840637,-0.001906166940790932,Microsoft MAI-1 (2024 unreleased),1.603e+22,2024-05-06,Hosted access (no API)
MegaScale (530B),530.0,300.0,1.9824,1,1.9830786318768465,1.9829986224483358,1.9831460834140735,-0.0006786318768465804,MegaScale (530B),9.691e+23,2024-02-23,Unreleased
MegaScale (Production),530.0,1226.4,1.9008,1,1.9012212444790981,1.901133573745629,1.9012904544830798,-0.0004212444790980818,MegaScale (Production),3.9e+24,2024-02-23,Unreleased
Megatron-Turing NLG 530B,530.0,270.0,1.9899,1,1.9906000976209772,1.9905197142343396,1.9906681641462853,-0.0007000976209772247,Megatron-Turing NLG 530B,8.586e+23,2021-10-11,Unreleased
U-PaLM (540B),540.0,1.3,2.8812,1,2.8839807057739684,2.8838861975301207,2.8840983741177126,-0.0027807057739681618,U-PaLM (540B),2.53e+24,2022-10-20,Unreleased
Flan-PaLM 540B,540.0,1.4,2.8576,1,2.860322803815647,2.860229454031587,2.8604392124615345,-0.0027228038156468237,Flan-PaLM 540B,2.54e+24,2022-10-20,Unreleased
Minerva (540B),540.4,26.0,2.2285,1,2.229797143996589,2.229696592512949,2.2298875078474176,-0.0012971439965889786,Minerva (540B),2.742e+24,2022-06-29,Unreleased
PaLM (540B),540.4,780.0,1.9234,1,1.92382791294147,1.923740091629615,1.9238960920476984,-0.0004279129414699323,PaLM (540B),2.527e+24,2022-04-04,Unreleased
LongCat-Flash,560.0,23000.0,1.8055,1,1.8055814892902147,1.8054797475364268,1.8056767299419623,-8.148929021456475e-05,LongCat-Flash,3.726e+24,2025-09-01,Open weights (unrestricted)
Hunyuan-TurboS,560.0,16000.0,1.8134,1,1.8135574157003336,1.8134571374578508,1.8136491771845122,-0.00015741570033367402,Hunyuan-TurboS,5.4e+24,2025-03-11,API access
SenseChat 5.0,600.0,1835.0,1.8811,1,1.8814142932952074,1.8813217300119591,1.8814893759137736,-0.0003142932952073796,SenseChat 5.0,,2024-04-23,Hosted access (no API)
GShard (600B),600.0,1000.0,1.909,1,1.9094500974768704,1.9093615166883964,1.9095195627508192,-0.0004500974768704147,GShard (600B),1.33e+22,2020-06-30,Unreleased
DeepSeek-V3.2-Exp,671.0,943.7,1.9105,1,1.9108831547008438,1.9107929290363568,1.910954340812456,-0.00038315470084371306,DeepSeek-V3.2-Exp,4.18e+24,2025-09-29,Open weights (unrestricted)
DeepSeek-V3.1-Terminus,671.0,839.0,1.9165,1,1.916985148670412,1.9168957289140547,1.917055072505563,-0.00048514867041182796,DeepSeek-V3.1-Terminus,3.594e+24,2025-09-22,Open weights (unrestricted)
DeepSeek-V3.1,671.0,840.0,1.9165,1,1.9169223272729545,1.916832899346476,1.9169922531703865,-0.00042232727295443695,DeepSeek-V3.1,3.594e+24,2025-08-21,Open weights (unrestricted)
DeepSeek-R1 (May 2025),671.0,14800.0,1.8128,1,1.812923851881118,1.8128223962467527,1.813015735229,-0.00012385188111796452,DeepSeek-R1 (May 2025),4.02e+24,2025-05-28,Open weights (unrestricted)
DeepSeek-V3 (Mar 2025),671.0,14800.0,1.8128,1,1.812923851881118,1.8128223962467527,1.813015735229,-0.00012385188111796452,DeepSeek-V3 (Mar 2025),3.3e+24,2025-03-24,Open weights (restricted use)
DeepSeek-R1,671.0,14800.0,1.8128,1,1.812923851881118,1.8128223962467527,1.813015735229,-0.00012385188111796452,DeepSeek-R1,3.5e+24,2025-01-20,Open weights (unrestricted)
DeepSeek-V3,671.0,14800.0,1.8128,1,1.812923851881118,1.8128223962467527,1.813015735229,-0.00012385188111796452,DeepSeek-V3,3.3e+24,2024-12-24,Open weights (restricted use)
Pangu Ultra MoE,718.0,717.0,1.9241,1,1.924577482248265,1.924487816716854,1.9246456620724142,-0.0004774822482651597,Pangu Ultra MoE,3.089e+24,2025-05-07,Hosted access (no API)
GLM-5,744.0,1532.3,1.886,1,1.886412222518733,1.88631701659487,1.8864862007453604,-0.00041222251873307414,GLM-5,6.84e+24,2026-02-17,Open weights (unrestricted)
Kimi K2 Thinking,1000.0,700.0,1.9214,1,1.9218737708913325,1.921778714862358,1.9219453151580486,-0.0004737708913324923,Kimi K2 Thinking,4.2e+24,2025-11-06,Open weights (restricted use)
Ling-1T,1000.0,20000.0,1.8011,1,1.8011905155761851,1.801084684415127,1.8012868873977341,-9.051557618522388e-05,Ling-1T,6e+24,2025-10-10,Open weights (unrestricted)
Qwen3-Max,1000.0,36000.0,1.7894,1,1.7894220408197574,1.789314033116689,1.7895247233215676,-2.204081975731853e-05,Qwen3-Max,1.512e+25,2025-09-05,API access
Kimi K2,1000.0,15500.0,1.8068,1,1.8069273612760965,1.8068225767353527,1.807022331439421,-0.00012736127609658254,Kimi K2,2.976e+24,2025-07-11,Open weights (restricted use)
DLRM-2021,1000.0,0.1,4.0812,1,4.086298347965265,4.086056026465687,4.086555194252711,-0.005098347965264871,DLRM-2021,3e+20,2020-07-01,Unreleased
M6-T,1002.7,111.8,2.054,1,2.0548717264400165,2.054783656744539,2.0549546554397518,-0.0008717264400166513,M6-T,5.5e+21,2021-03-05,Unreleased
Kimi K2.5,1040.0,929.5,1.9059,1,1.9062989564086275,1.906204359290185,1.9063721949964918,-0.00039895640862752657,Kimi K2.5,5.8e+24,2026-02-02,Open weights (unrestricted)
PanGu-Σ,1085.0,329.0,1.967,1,1.967600989210191,1.9675091450002267,1.96767554937414,-0.0006009892101910275,PanGu-Σ,4.67e+23,2023-03-20,Unreleased
MoE-1.1T,1100.0,112.0,2.0528,1,2.0536590202300062,2.0535702334661448,2.053742854264764,-0.0008590202300062799,MoE-1.1T,2.227e+22,2021-12-20,Open weights (non-commercial)
GLaM,1200.0,600.0,1.9281,1,1.9285827352778422,1.9284853413177385,1.9286547227347925,-0.0004827352778422611,GLaM,3.636e+23,2021-12-13,Unreleased
QMoE: compressed SwitchTransformer,1571.0,576.0,1.9277,1,1.9281802338796001,1.9280788865194984,1.9282545481465996,-0.00048023387960016706,QMoE: compressed SwitchTransformer,,2023-10-25,Open weights (unrestricted)
Switch,1571.0,86.4,2.074,1,2.0748691158607553,2.074775515896183,2.074959653036085,-0.0008691158607554428,Switch,8.22e+22,2021-01-11,Open weights (unrestricted)
Wu Dao 2.0,1750.0,4900.0,1.8325,1,1.832756959308686,1.8326503031403183,1.8328467147349172,-0.00025695930868607775,Wu Dao 2.0,1.544e+24,2021-05-31,API access
GPT-4 (Mar 2023),1800.0,5416.7,1.8291,1,1.829308486564145,1.829200588662757,1.8293998573067194,-0.0002084865641449607,GPT-4 (Mar 2023),2.1e+25,2023-03-15,API access
GPT-4 (Jun 2023),1800.0,5416.7,1.8291,1,1.829308486564145,1.829200588662757,1.8293998573067194,-0.0002084865641449607,GPT-4 (Jun 2023),2.1e+25,2023-03-15,API access
Llama 4 Behemoth (preview),2000.0,30000.0,1.7857,1,1.7857692157776954,1.785657106505182,1.7858713693356203,-6.921577769536391e-05,Llama 4 Behemoth (preview),5.184e+25,2025-04-05,Unreleased
Grok 4,3000.0,27777.8,1.7838,1,1.7838375278655414,1.7837232453085528,1.7839417628963028,-3.7527865541342464e-05,Grok 4,4.9999999999999994e+26,2025-07-09,API access
Grok 3,3000.0,19444.4,1.7912,1,1.7912666503368908,1.7911537206654793,1.7913695429843082,-6.665033689090549e-05,Grok 3,3.5e+26,2025-02-17,API access
DLRM-2022,3000.0,0.1,4.0707,1,4.07576032152127,4.075522214038116,4.076016770335871,-0.005060321521269451,DLRM-2022,1.1e+21,2021-09-15,Unreleased
M6-10T,10000.0,0.1,4.0628,1,4.067943155410819,4.067701914440843,4.0682035742448885,-0.005143155410818778,M6-10T,5.53e+21,2021-10-08,Unreleased
