blind_id,sample_type,diagnostic_category,dataset,source_domain,raw_id,sub_path,q_equal_tertile,broad_unicode_flag,q_equal,q_huber,high_conflict,conflict_intensity,a1_domain_threshold,sampling_seed,content_sha256,displayed_text_sha256,displayed_text_char_count,max_review_text_chars
Q11-0380,representative,,A1,stackexchange,BkiUb8LxK03BfJXwvoPG,,2,0,0.51214515231078195,0.51207702492711804,false,0.25394662008001351,0.35984724430626969,20260925,8c9b79020f6f4a661082f6a292d72bffd1b23a2c4801288a4f2bdda65170ced4,8c9b79020f6f4a661082f6a292d72bffd1b23a2c4801288a4f2bdda65170ced4,4175,8000
Q11-0113,representative,,A1,stackexchange,BkiUfos5qhLB3L4qc-Y7,,2,0,0.50723545553516103,0.50561722947793297,false,0.25376259355812769,0.35984724430626969,20260925,0fe7851cb1961f65fa9133d0411e2086cf7d8c320235309656622e6bec6f0be3,0fe7851cb1961f65fa9133d0411e2086cf7d8c320235309656622e6bec6f0be3,4255,8000
Q11-0378,representative,,A1,stackexchange,BkiUc5825V5hegR8YaKV,,3,0,0.551958485198913,0.55442793905093701,false,0.25512069964633094,0.35984724430626969,20260925,e655e48e590a8c9f076741e8d9ab0edfce4064847c167dd0613ec10c056e220e,e655e48e590a8c9f076741e8d9ab0edfce4064847c167dd0613ec10c056e220e,762,8000
Q11-0396,representative,,A1,wikipedia,BkiUfiw5qg5DVP08TaRk,,1,0,0.37378970976436399,0.35310362781098598,false,0.33041987651568383,0.40787898421243107,20260925,39aa75230b1fd878a8233ca0619c50eba5a695ddb4256a017cf61e81827e16cd,39aa75230b1fd878a8233ca0619c50eba5a695ddb4256a017cf61e81827e16cd,416,8000
Q11-0574,representative,,A1,wikipedia,BkiUe-E5qsFChfNA21Ao,,2,1,0.51512281322609599,0.51305729337287997,false,0.28069715973167597,0.40787898421243107,20260925,7ae0bdc9ce2473c6a2c3bef666b3798caac516ca5143fa3f1aa8d123726d8e2e,ce8d8a946862f7839097389b7e9d7ba19e8b7252d985d5bfb8827676add4032d,2190,8000
Q11-0120,representative,,A1,wikipedia,BkiUct7xaJJQnMsbza-C,,2,0,0.48767299328045999,0.46257859558399,false,0.40596963787553669,0.40787898421243107,20260925,c5551e8bcdbf1b00edeafd38f4fbd48a83b0fca9a75dffc1d96fc53a97b075ef,c5551e8bcdbf1b00edeafd38f4fbd48a83b0fca9a75dffc1d96fc53a97b075ef,240,8000
Q11-0468,representative,,A1,wikipedia,BkiUcv05qdmC61zz3DWZ,,3,0,0.660877752684771,0.66900714039159404,false,0.30072770512888514,0.40787898421243107,20260925,35292f2ba588adaba1394e9af8ab98155d78331abdf9f2af74df8461ce05b3a2,35292f2ba588adaba1394e9af8ab98155d78331abdf9f2af74df8461ce05b3a2,3969,8000
Q11-0089,diagnostic,extreme_low,A1,github,BkiUezk5qhLBgou5wYp8,,1,0,0.23874366407568401,0.22851742521455001,false,0.23291095807136492,0.42943199055474651,20260925,e05b1d307419fb5020812d452d95a868a8bd4cbfcfabacee127d4ee38e829dd6,e05b1d307419fb5020812d452d95a868a8bd4cbfcfabacee127d4ee38e829dd6,1782,8000
Q11-0486,diagnostic,high_conflict,A1,c4,BkiUdjU5qhLBWY0XucTi,,1,1,0.52600818513265002,0.55349145074782602,true,0.4536001960699213,0.41876347706957828,20260925,aee718c3b532ec32906c6f89b7d54476ec76c9b3f496c466b9d98f7f25ac535c,a1e0ebd0b58ce094738b1f8a2c9b3a5045b510cb72321843d337dd8c8a0beff4,253,8000
Q11-0491,diagnostic,high_conflict,A1,wikipedia,BkiUecnxK2li-DeX0qf8,,2,0,0.48125155836251099,0.45228456057498601,true,0.45294623482628971,0.40787898421243107,20260925,b49aac4ff9f4932933ba0b964963366ee854d345187a612c148c1021a9c78bbd,b49aac4ff9f4932933ba0b964963366ee854d345187a612c148c1021a9c78bbd,76,8000
Q11-0553,diagnostic,extreme_high,A1,c4,BkiUav3xK2li-DeXx4AB,,3,0,0.73475924165122997,0.73812668725569497,false,0.22560988628242437,0.41876347706957828,20260925,821deca8f481beaa7390069ea3e8c07a605a917e558c86a9bc0fa310add7333a,821deca8f481beaa7390069ea3e8c07a605a917e558c86a9bc0fa310add7333a,1646,8000
Q11-0648,diagnostic,candidate_disagreement,A1,github,BkiUbe3xK7ICUuXejiMb,,3,0,0.43654850102779702,0.38397001480253401,true,0.43963942025829011,0.42943199055474651,20260925,146a947362e97bf890e6e4a596e4cc52c3eb39abde9aaf9386e1576def25114a,146a947362e97bf890e6e4a596e4cc52c3eb39abde9aaf9386e1576def25114a,130,8000
Q11-0666,diagnostic,candidate_disagreement,A1,github,BkiUb13xK6wB9jjDe0NF,,3,0,0.45908178561769297,0.416299684554994,false,0.41891213607347699,0.42943199055474651,20260925,6bbc6c18ad36336acb42abdd7b7add56681ca96d6a3e82ba884b596539d27502,6bbc6c18ad36336acb42abdd7b7add56681ca96d6a3e82ba884b596539d27502,152,8000
