blind_id,dataset,source_domain,raw_id,sub_path,q_equal_tertile,broad_unicode_flag,N_h,n_h,inclusion_probability,design_weight,content_sha256
Q11-0045,A1,c4,BkiUbV7xK0wg09FXT-QP,,1,0,3310,25,0.0075528700906344415,132.4,9a2cfd43b76bda8c87da01e153a52f91eb24b01f1a57a00800b5d117298fbe19
Q11-0046,A1,wikipedia,BkiUdabxaKPQof3xyFPj,,1,1,13,13,1.0,1.0,a7443c6977695053e565db23d1638e19f10ff7c5af3180582ad15f01cbc1ceff
Q11-0047,A1,c4,BkiUdjTxK7kjXIdG-9Mw,,1,1,24,24,1.0,1.0,5e4c5fd5fddc1dc3b2511848b18c2e308fc086e93364ae86dff08e3109144ba1
Q11-0048,A1,book,BkiUeYc4eIOjRvCHtv-t,,1,1,6,6,1.0,1.0,34a4ac5e7b9ede30e23f06a8df8f080935ae99d6e5d32278692f4284531e5d3c
Q11-0049,A1,book,BkiUdU85qoYAtIo5IVmf,,3,1,8,8,1.0,1.0,bd4a2fedcc86f44e34c41266f0ac20e5d41637a6c2704f54a8cb3a99cd919520
Q11-0050,A1,book,BkiUdpw5qWTD6ix2jcy9,,1,0,51,25,0.49019607843137253,2.04,fb7b18c88e33128976df0add5efcaab4047ac12d2f0e37904180f485c3d7fad0
Q11-0051,A1,commoncrawl,BkiUanrxK7Tt6CA5Em6X,,3,1,59,25,0.423728813559322,2.36,a6e4543bbca17d73692d822efbff8af6bfdadc1f1135fb01e18814696d2b9321
Q11-0052,A1,c4,BkiUfXHxK0fkXPSOrUdL,,1,0,3310,25,0.0075528700906344415,132.4,e9c11aee4b35000bfca3d6160cf714a1b5198ac52e4bfbad2c19cf4d59ef0caf
Q11-0053,A1,arxiv,BkiUdYU25YjgKOpQ6oY3,,2,0,473,25,0.052854122621564484,18.92,2c191fb87f4cedf63c05353f77d2cc734e7ae4e58c71efa436232a76a08342e9
Q11-0054,A1,commoncrawl,BkiUdnM5qdmB6xJ6-p3d,,1,0,3101,25,0.008061915511125443,124.04,5d54830beb3e919e812d1c6584a6aa7ade8822da7cc36ed0a9f83082840cfefd
Q11-0055,A1,commoncrawl,BkiUfOc4uzliCsUqrJbO,,1,0,3101,25,0.008061915511125443,124.04,459f40792ab4a1b1a5f79778c8f8deccc530869bc469fc1af5781069c03a83e4
Q11-0056,A1,stackexchange,BkiUdw84uzlhipPcwE5Z,,1,0,3317,25,0.007536930961712391,132.68,a2563bee2ad722cd511a3d954526a638ab635f2a245b28dd76ab7625429382a0
Q11-0057,A1,stackexchange,BkiUbpY4eIfiUWJpL44X,,3,1,5,5,1.0,1.0,cbe6ba6751e4e9fc6564f4204f34e82292a4cfbbeb28529a16b67ebd11fca8ab
Q11-0058,A1,c4,BkiUb4PxaJiQnuolF1s7,,2,1,28,25,0.8928571428571429,1.12,a4fe3b1559875689461d5d450c730c53bf28b79c1d760ffc067f67c4605fb5fd
Q11-0059,A1,book,BkiUbSo4eILhQLGUTQTP,,2,0,52,25,0.4807692307692308,2.08,ab0e9409d59f7fd1c823f2637227e1d07663fb5bf43f2a7ba401f243e4189a84
Q11-0060,A1,stackexchange,BkiUfyc241xiO5MUMWIo,,2,0,3318,25,0.007534659433393611,132.72,449cabcbb3752d420bfdd21e889e3dbd9fcb766ea69e37d845e0253703ee283b
Q11-0061,A1,commoncrawl,BkiUaNbxK0fkXPSOnV84,,2,1,95,25,0.2631578947368421,3.8,33b826c38151eab142088d74384d1629887bd6e3067bc38fbe910840d88196a4
Q11-0062,A1,commoncrawl,BkiUd5o5qoYA4xX7GStp,,3,0,3154,25,0.007926442612555484,126.16,2a150cd3ac84f9d67cb31b8b53c4b95d6a3f039e8a8b4362765af82b785c02fa
Q11-0063,A1,commoncrawl,BkiUfc7xK4tBVhat6Ft3,,2,0,3118,25,0.008017960230917255,124.72,501895ca6ca49f671c809e909016ddfbd852f4c56e9e096d23bf50631f7112be
Q11-0064,A1,c4,BkiUfKc4uzliBaE72SqW,,1,1,24,24,1.0,1.0,12d71cc48d6e9205470ffc5a03832815c0218b6af31f54354a009ca953347e5e
Q11-0065,A1,wikipedia,BkiUfH_xK7IDPXIhn_dz,,2,0,3308,25,0.007557436517533253,132.32,efda0d212f2a03a9993578555528dbd45914cce22df403b569ab8652f9ba936e
Q11-0066,A1,stackexchange,BkiUcYjxK4tBVhat3Kg-,,2,0,3318,25,0.007534659433393611,132.72,e68bd9c83adfc69733cff21937788979abe589f19a5b1173632a23d7484dd013
Q11-0067,A1,wikipedia,BkiUez7xaKgTq1C9PNVx,,1,0,3321,25,0.007527853056308341,132.84,e0de9be9ec39fc436039050e39c8a5ffebbb5b6a6cbc281f1c2d82d9613ae47c
Q11-0068,A1,wikipedia,BkiUdc04ubng_t84ZU26,,2,0,3308,25,0.007557436517533253,132.32,41d9e6180c619962af7d6d3491ff580e1b40e10d59b348e698bfe32f60662e45
Q11-0069,A1,c4,BkiUfdPxK6nrxl9bPjcv,,3,0,3311,25,0.007550588945937783,132.44,d1622a3836fda9a01edd07bbaf9fcd7d01dcb65069a44cfe55f972792329f63b
Q11-0070,A1,book,BkiUakHxK6EuNCwys1vx,,3,0,49,25,0.5102040816326531,1.96,2516bb7d3c1710b5304be2126c420bea085df67a55e14bb632c2b111d228941c
Q11-0071,A1,commoncrawl,BkiUa8PxK2li-Hhr9xgD,,2,1,95,25,0.2631578947368421,3.8,dd0f8f8598f55c184db9c8bd18c9b08c9c14858f77baf0412487e0fb137af573
Q11-0072,A1,wikipedia,BkiUdojxK7IDOUSbu047,,2,1,25,25,1.0,1.0,00310d380e7be05597da75c81d6be03c9cf12833d85ffc9cfc01861702c4dec0
Q11-0073,A1,c4,BkiUcC425V5hZMvJoBj9,,3,0,3311,25,0.007550588945937783,132.44,e564c05ecea63bf2a2adfa38a1b0290eb8d6cf8e21f80fa133ca9bc9ca9de84e
Q11-0074,A1,arxiv,BkiUalDxK0wg09FXTRy8,,3,0,472,25,0.05296610169491525,18.88,9b64fd9d611fb622932e65d8320f6cc719b6c9b4d60a83bb966e7c65d4537833
Q11-0075,A1,c4,BkiUcizxK7kjXLlzbczE,,3,1,22,22,1.0,1.0,0097c9ae2eb26ec586dd63f2302b46ca672716602c0184e91b4f6b5b37f38065
Q11-0076,A1,c4,BkiUczs25V5im2plUAqW,,3,0,3311,25,0.007550588945937783,132.44,02e26bb17d038dff7c35c35bc5e0dd37f97b82e1722d5b36056f844bff688307
Q11-0077,A1,stackexchange,BkiUcTnxK0wg05VB6c2O,,2,1,15,15,1.0,1.0,f5eed8a2ea36a410ecf2d5055437ac6799f7a9e70426fc8961298a44b52affe7
Q11-0078,A1,book,BkiUdOI5qdmDMTwvPCKs,,2,0,52,25,0.4807692307692308,2.08,d9ed40fc0a0c58da98ed378b3102369567c55e97f6e66af23cb47e81a3d05827
Q11-0079,A1,wikipedia,BkiUfrTxK6wB9k0iN7kU,,2,0,3308,25,0.007557436517533253,132.32,b6c7f52df5842801780f5ae9ce2089907454c730f32550d9e06b9022c9ef0299
Q11-0080,A1,stackexchange,BkiUggk5qhLBxVCRg_hC,,1,1,17,17,1.0,1.0,dc4dcac38908053c62e3825654fcf984d63ea4154e55929d179434f98d0ca956
Q11-0081,A1,stackexchange,BkiUbC3xK6-gDz87N5IZ,,3,0,3328,25,0.007512019230769231,133.12,39a23397accfece970b08d32ee87e258f8b646a0f230909cf01e554244fc8d11
Q11-0082,A1,github,BkiUc2_xK7Dgs_aSUYvE,,1,0,3328,25,0.007512019230769231,133.12,ea314fd48949e24accb9aa054d4f738c62d521c85ea4b5993ee33cea41cb30bb
Q11-0083,A1,github,BkiUa4fxK2li-Hhr9ttO,,3,0,3328,25,0.007512019230769231,133.12,b14a136fdef0ce3f658830be625edd3058323f672e8a6f9fb754a9c6c7f0d97a
Q11-0084,A1,wikipedia,BkiUc6LxK5YsWV5L3m7X,,1,1,13,13,1.0,1.0,6256b6071f82baf44352e6511398d2213ef9a33fcd381b0f6071d8549c9f28de
Q11-0085,A1,commoncrawl,BkiUeNjxK6wB9dbuUwHm,,1,1,113,25,0.22123893805309736,4.52,35e154105ee9962add7044f54a682e3c9d74ebeb27d584468185e1f236f2b1cb
Q11-0086,A1,commoncrawl,BkiUeNo241xiDnlsQcdh,,3,1,59,25,0.423728813559322,2.36,d144c6fcbff2c53a6be794154671090952fede4fde33c8818569d0fd4796558e
Q11-0087,A1,wikipedia,BkiUdfQ25V5jEEL8tGQo,,1,0,3321,25,0.007527853056308341,132.84,c53dd1dfc7a60f4d2f908f30409f9201be390834e56ffbd04bd4eef412edb715
Q11-0088,A1,commoncrawl,BkiUfqPxK7kjXLlzedIx,,3,0,3154,25,0.007926442612555484,126.16,c06400ab0f723b0c496d8aa1d611ddfc9cd1b1bfcfddeb1ec0bc06ff4c3f0cfb
Q11-0089,A1,github,BkiUezk5qhLBgou5wYp8,,1,0,3328,25,0.007512019230769231,133.12,e05b1d307419fb5020812d452d95a868a8bd4cbfcfabacee127d4ee38e829dd6
Q11-0090,A1,wikipedia,BkiUdoI5qX_BnPKL8j42,,2,1,25,25,1.0,1.0,36c61f90aac6263e640ee0e1be3c3b847eb49c5ed212d121daf28cbeefd3317c
Q11-0091,A1,wikipedia,BkiUfcw25V5jS9ZhZRB8,,2,1,25,25,1.0,1.0,4da6f6194d27fefc2132e4e9aba2b743b59fb3f963737b9df67f6d40824914c7
Q11-0092,A1,c4,BkiUe13xK1ThhBMLh3n8,,3,0,3311,25,0.007550588945937783,132.44,37b3811a1fcef499ed93fd031a43ce2007bc081ee24f4a8008debf9707fc6940
Q11-0093,A1,wikipedia,BkiUdJk5qoYAxznJxnrt,,1,0,3321,25,0.007527853056308341,132.84,5a4071a93953da536a894128f23deadf6049e7073152b91a7bc002fcb3bc1caf
Q11-0094,A1,commoncrawl,BkiUfjzxK6mkyCfOEhAZ,,1,1,113,25,0.22123893805309736,4.52,4692960eb67a528cc83dd49cd1068772111c3716715053775cd3a6249a0ef4e0
Q11-0095,A1,wikipedia,BkiUdPI5qhDBTwvxJCzH,,1,0,3321,25,0.007527853056308341,132.84,f7cb88bdc94c58a220f43962ae6e9aaafdbf3aae1763524e223ae372880457bc
Q11-0096,A1,commoncrawl,BkiUctrxK4tBVgEFUmmh,,1,1,113,25,0.22123893805309736,4.52,2bab63c598b0933dcf0cee1865c30faf5e3a4b8c21a1edf53028d81eefb91f82
Q11-0097,A1,commoncrawl,BkiUej7xK7FjYEB4WsdY,,1,0,3101,25,0.008061915511125443,124.04,2c3bb242373554e7d893528f1cdb83e8486c4e0a209846cf6203fa0cc657b879
Q11-0098,A1,c4,BkiUe7rxK7IAFiMOEOEL,,1,0,3310,25,0.0075528700906344415,132.4,6a2d18cd8f7df833c3fa666d128032d2bdcf7a96c9a90845f6dcd854aac2e927
Q11-0099,A1,book,BkiUdRU5qX_BxN0lN3tx,,1,0,51,25,0.49019607843137253,2.04,83327960222d4d45576e2a5bccabfc0ac59db44ad1de8ccd03dd838733c19d5c
Q11-0100,A1,commoncrawl,BkiUdsPxaKgT9kwJNNk_,,2,0,3118,25,0.008017960230917255,124.72,351602f38cea857c69533e6406800051efc2a0feda14da1e5b8e91102d50ddc3
Q11-0101,A1,github,BkiUbo3xK6-gD0Srb1bq,,3,0,3328,25,0.007512019230769231,133.12,e3df827a4b79a36e7bd4292becb93604d5bc25c82b4cbb202eab479414258b8b
Q11-0102,A1,github,BkiUbEg5qhDACqRGQyBu,,3,0,3328,25,0.007512019230769231,133.12,9a5fa246567e87b097df01507a40672513365800d4c673ff4883cc603b7e983a
Q11-0103,A1,c4,BkiUbSA5jDKDx8o5q24g,,1,1,24,24,1.0,1.0,cd73397763510413e0997fb02974396f47e78bd53d9d94a624866c22a13d4706
Q11-0104,A1,arxiv,BkiUdTA4uBhivVgojJ1E,,1,0,471,25,0.05307855626326964,18.84,20d332bc40e17813de0bcfc8dc2e2e8a90de85be1bbd0f9fb22bd668f41ffc4e
Q11-0105,A1,commoncrawl,BkiUgInxK7IDND_hEI5c,,1,0,3101,25,0.008061915511125443,124.04,4eedfe8a42e77205daa7288b650dacf33b303a6c4be89668b806779fb3f1aa5b
Q11-0106,A1,c4,BkiUbRM4c3aisA9EL9VN,,1,1,24,24,1.0,1.0,b37c38c76897ceb900bf0793cd63bb29c5b7198662cc94d6ae70ea9ff8270b63
Q11-0107,A1,c4,BkiUbbQ5jDKDyDF8vygB,,2,1,28,25,0.8928571428571429,1.12,6025532cad4c19c2c597ca8b1a3140da25b30b0dd1b8547340d217383c96015a
Q11-0108,A1,book,BkiUbVY4uzki01MTG05Q,,3,0,49,25,0.5102040816326531,1.96,6e528a54f6284dcd2b7404c390652e419b24ed1accb3796314f9f16064bb4479
Q11-0109,A1,github,BkiUdms5qdmDC8BJoEs-,,1,0,3328,25,0.007512019230769231,133.12,645deea27170a7510d040ee32c2b7d94c64518cee091bd2af79d939a717b26f1
Q11-0110,A1,wikipedia,BkiUdNbxK0wg09lKCVa9,,3,0,3322,25,0.007525586995785672,132.88,eadb24fa2cf5834819a1f4dc150de886a36781e2a42a8fb5d49c1096a70c28e0
Q11-0111,A1,c4,BkiUdn45qYVBQos0Igab,,1,1,24,24,1.0,1.0,1a55105ecd805c38babd96050ecc4e8b4a4529e73887fe12f2f5ccdd42fdf2ae
Q11-0112,A1,stackexchange,BkiUcijxK7ICUt7cPzqH,,1,1,17,17,1.0,1.0,22de8cdc057bfcf91bfbdd104e1b07393a7c61b7ecd85c7c305d1ddd64b3e303
Q11-0113,A1,stackexchange,BkiUfos5qhLB3L4qc-Y7,,2,0,3318,25,0.007534659433393611,132.72,0fe7851cb1961f65fa9133d0411e2086cf7d8c320235309656622e6bec6f0be3
Q11-0114,A1,book,BkiUbUs5qX_AYzDLsEz1,,1,0,51,25,0.49019607843137253,2.04,89b64d36c000db7e8b11a7f894ab844c30cea65e76984192790742215760b466
Q11-0115,A1,commoncrawl,BkiUe_M25V5jWH_DcaWC,,1,0,3101,25,0.008061915511125443,124.04,d16779f41e7689796df37156d7eb85db59a92bb0d46a0f2083f1bdf9c3b5f5a5
Q11-0116,A1,wikipedia,BkiUf0w25V5jgwLP9PFt,,1,0,3321,25,0.007527853056308341,132.84,a03a3f74bcb19e71d9a3c5ff985edaeb0701504715e638aeafaa36a46d4f140c
Q11-0117,A1,commoncrawl,BkiUdZE5qYVBMbjheb9F,,3,1,59,25,0.423728813559322,2.36,bbbe7724dc6c9e2bdc7dc3383de79247fe0f700973e4fd5895aba2f566fbe927
Q11-0118,A1,c4,BkiUdHbxK6EuNBRhIEo5,,1,1,24,24,1.0,1.0,1553200f60f6d8bf0e791fea604f9e8b22128ce7eaba2b578e8e184fa0a76c27
Q11-0119,A1,stackexchange,BkiUdlk4uzlhbeH0aCYx,,1,0,3317,25,0.007536930961712391,132.68,82e14e75662d4a2a6df7bf9c7a37650abaaf2f49f0920cb288109af855f2c801
Q11-0120,A1,wikipedia,BkiUct7xaJJQnMsbza-C,,2,0,3308,25,0.007557436517533253,132.32,c5551e8bcdbf1b00edeafd38f4fbd48a83b0fca9a75dffc1d96fc53a97b075ef
Q11-0121,A1,github,BkiUd-w25V5hegR8ZWRu,,1,0,3328,25,0.007512019230769231,133.12,70067d1dd8117b9f6593143c80d7b3b8b4242ed9fdb6a7e14740e5e75487b4c4
Q11-0122,A1,book,BkiUdqw4dbghfTKFOcIo,,3,0,49,25,0.5102040816326531,1.96,4859602689b7c387a21c6779704f25c57ace37863b259df93507d7bf7f7ebda6
Q11-0123,A1,c4,BkiUbNHxaJJQnMsbycob,,1,1,24,24,1.0,1.0,4d324d18ece691df05975162a3377ea6e3e12de4f3ae853b62b4cfe8a8441e57
Q11-0124,A1,github,BkiUaUTxK6wB9mn48VfM,,1,0,3328,25,0.007512019230769231,133.12,e9cd643fdabea0f448993538a1308d05c869724e11469fe2e26463b5cee39c2f
Q11-0125,A1,stackexchange,BkiUfIfxK03BfL1dWZLD,,1,1,17,17,1.0,1.0,eca2ebef079dea04b394305ad4c895692d1a221d6f161c148838265c75c1bacd
Q11-0126,A1,stackexchange,BkiUgJrxK7Tt522WdUXJ,,2,0,3318,25,0.007534659433393611,132.72,bac5745d35905114c1b31630bbb64f5853dbe36cb73b282de27a493a80c78902
Q11-0127,A1,wikipedia,BkiUcJbxK6nrxrSHeZcK,,1,0,3321,25,0.007527853056308341,132.84,50ff3ea9a326fa56c284fa76143e8933d30b0d471530fe7b689d7e1c0b5f04b0
Q11-0128,A1,book,BkiUbV_xK7Ehm4qsy4mA,,1,0,51,25,0.49019607843137253,2.04,74a18bdcfb55711616dbbf73820da10e57e276f2b9e49e9395717dfa03c0c9cb
Q11-0129,A1,arxiv,BkiUfTHxK0fkXPSOrRn8,,1,0,471,25,0.05307855626326964,18.84,01348f46a7f4c3800dfa3c089b89d5ff7e5250b582d1d848a4e7cc243b528e9e
Q11-0130,A1,c4,BkiUeF3xaJiQn7ar4cXq,,2,0,3305,25,0.007564296520423601,132.2,8ffb14d8d7b63a11c2496d2e31849964fed9720319cd8ea5896eb77be0289401
Q11-0131,A1,c4,BkiUfnPxK1ThhAcYmxjk,,3,1,22,22,1.0,1.0,83402b559ebf64c68c0298f7d6f64a54e6886098943baae17dc395a97125e639
Q11-0132,A1,stackexchange,BkiUc9fxK1yAga6JrrpW,,1,1,17,17,1.0,1.0,72df38ffba9c39452a6cf2a95760f0a301297565b2f31fce93285bb2ac11bae6
Q11-0133,A1,book,BkiUeSHxK4sA-9zSBky5,,3,1,8,8,1.0,1.0,611ce57a11a5edd2023687e68b780728c529b5a900ffcb96c91c2f6b8fee36af
Q11-0134,A1,github,BkiUdoU5qdmB64sMAv2p,,3,0,3328,25,0.007512019230769231,133.12,b15da7276148c3e04c44a62554f219a860c42d7e480dfdea816891e3de41f51e
Q11-0135,A1,c4,BkiUfjI241xiER2ZIiTP,,3,1,22,22,1.0,1.0,15cdb3a5ed6a3ed0e7658d8d28056089b61485d2129bd574c220a13673a8ded8
Q11-0136,A1,c4,BkiUdlg5qhDBcOf_cnne,,1,0,3310,25,0.0075528700906344415,132.4,5ec837ebf07e75a0ef55ffab925dd66f94025054c5dceeefe4af00ecd75c7f45
Q11-0137,A1,stackexchange,BkiUaZnxK2li-DeXxjQp,,2,0,3318,25,0.007534659433393611,132.72,55948dad85177db15e370d7e5493805a16968ffa4df4a8130e31c5a1dfba8b4c
Q11-0138,A1,commoncrawl,BkiUe1bxK7kjXIK5tK1M,,3,0,3154,25,0.007926442612555484,126.16,760ea903843cff42b99bd986262f15f7ca7e281805d3bb502fa3317790b1c244
Q11-0139,A1,commoncrawl,BkiUcj_xK6mkyCKC0P5C,,3,0,3154,25,0.007926442612555484,126.16,8953e13a4bd756bbd96d201b473d476d544f1e3219ceaafded40b391af1a083d
