pair_id,pair_type,transition_axis,left_scenario_id,right_scenario_id,left_budget_flops,right_budget_flops,left_context_length_tokens,right_context_length_tokens,left_selected_grid_id,right_selected_grid_id,left_selected_run_id,right_selected_run_id,left_selected_N_B,right_selected_N_B,delta_selected_N_B,left_selected_D_B,right_selected_D_B,delta_selected_D_B,point_delta_log_N,bootstrap_delta_log_N_p2_5,bootstrap_delta_log_N_median,bootstrap_delta_log_N_p97_5,point_delta_log_D,bootstrap_delta_log_D_p2_5,bootstrap_delta_log_D_median,bootstrap_delta_log_D_p97_5,left_m0_predicted_val_loss,right_m0_predicted_val_loss,delta_m0_predicted_val_loss,left_C_total_flops,right_C_total_flops,delta_C_total_flops,left_budget_utilization,right_budget_utilization,delta_budget_utilization,left_train_cost_share,right_train_cost_share,delta_train_cost_share,left_attention_cost_share,right_attention_cost_share,delta_attention_cost_share,left_feasible_candidate_count,right_feasible_candidate_count,delta_feasible_candidate_count,paired_bootstrap_replicates,configuration_change_frequency,cost_share_change_frequency,cost_share_TV_p05_exact,cost_share_TV_median,robust_ND_allocation_change,robust_cost_mix_change,interpretation
T11,adjacent_context,context_increase,C10000000000000000000_L2048,C10000000000000000000_L4096,10000000000000000000,10000000000000000000,2048,4096,169,169,169,169,0.162405,0.162405,0,8.389,8.389,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.030397627156985,3.030397627156985,0,8.732538677232e+18,9.290584084464e+18,5.58045407232E+17,0.8732538677232,0.9290584084464,0.0558045407232,0.9360958562156765,0.8798686062881277,-0.0562272499275488,0.06390414378432352,0.12013139371187236,0.05622724992754884,39,36,-3,1000,0.0,1.0,0.05622724992754884,0.05622724992754884,False,True,成本构成改变；未达N/D配置稳健切换门槛
T12,adjacent_context,context_increase,C10000000000000000000_L4096,C10000000000000000000_L8192,10000000000000000000,10000000000000000000,4096,8192,169,168,169,168,0.162405,0.162405,0,8.389,6.291,-2.098,0,0.0,0.0,0.0,-0.287801283276,-0.28780128327626486,-0.28780128327626486,-0.28780128327626486,3.030397627156985,3.0877660039358146,0.0573683767788296,9.290584084464e+18,7.804075788432e+18,-1.486508296032E+18,0.9290584084464,0.7804075788432,-0.1486508296032,0.8798686062881277,0.7855048177628823,-0.0943637885252454,0.12013139371187236,0.21449518223711772,0.09436378852524536,36,34,-2,1000,1.0,1.0,0.09436378852524537,0.09436378852524537,True,True,Bootstrap稳健的N/D配置与成本构成改变
T13,adjacent_context,context_increase,C10000000000000000000_L8192,C10000000000000000000_L32768,10000000000000000000,10000000000000000000,8192,32768,168,167,168,167,0.162405,0.162405,0,6.291,4.194,-2.097,0,0.0,0.0,0.0,-0.405465108108,-0.40546510810816444,-0.40546510810816444,-0.40546510810816444,3.0877660039358146,3.1768463777891194,0.0890803738533048,7.804075788432e+18,8.550590509152e+18,7.4651472072E+17,0.7804075788432,0.8550590509152,0.074651472072,0.7855048177628823,0.4779505480499618,-0.3075542697129205,0.21449518223711772,0.5220494519500383,0.30755426971292058,34,27,-7,1000,1.0,1.0,0.3075542697129205,0.3075542697129205,True,True,Bootstrap稳健的N/D配置与成本构成改变
T14,adjacent_context,context_increase,C10000000000000000000_L32768,C10000000000000000000_L131072,10000000000000000000,10000000000000000000,32768,131072,167,13,167,13,0.162405,0.070542,-0.091863,4.194,4.194,0,-0.833884938317,-0.8338849383173123,-0.8338849383173123,-0.8338849383173123,0,0.0,0.0,0.0,3.1768463777891194,3.392088334710602,0.2152419569214826,8.550590509152e+18,9.5307316509312e+18,9.801411417792E+17,0.8550590509152,0.95307316509312,0.09801411417792,0.4779505480499618,0.18625211085725638,-0.29169843719270542,0.5220494519500383,0.8137478891427437,0.2916984371927054,27,16,-11,1000,1.0,1.0,0.2916984371927054,0.2916984371927054,True,True,Bootstrap稳健的N/D配置与成本构成改变
T15,adjacent_context,context_increase,C10000000000000000000000_L2048,C10000000000000000000000_L4096,10000000000000000000000,10000000000000000000000,2048,4096,1043,1036,1043,1036,6.86104,6.86104,0,226.492,211.812,-14.68,0,0.0,0.0,0.0,-0.0670105354249,-0.0670105354248771,-0.0670105354248771,-0.0670105354248771,2.1456111666541906,2.150758613533873,0.0051474468796824,9.960330417200127e+21,9.910006522070016e+21,-5.0323895130111E+19,0.9960330417200128,0.9910006522070016,-0.0050323895130112,0.9360958562156765,0.8798686062881277,-0.0562272499275488,0.06390414378432352,0.12013139371187236,0.05622724992754884,1060,1049,-11,1000,1.0,1.0,0.05622724992754884,0.05622724992754884,True,True,Bootstrap稳健的N/D配置与成本构成改变
T16,adjacent_context,context_increase,C10000000000000000000000_L4096,C10000000000000000000000_L8192,10000000000000000000000,10000000000000000000000,4096,8192,1036,1025,1036,1025,6.86104,6.86104,0,211.812,188.744,-23.068,0,0.0,0.0,0.0,-0.115307489242,-0.11530748924173007,-0.11530748924173007,-0.11530748924173007,2.150758613533873,2.159845165552461,0.009086552018588,9.910006522070016e+21,9.891576253712385e+21,-1.8430268357631E+19,0.9910006522070016,0.9891576253712384,-0.0018430268357632,0.8798686062881277,0.7855048177628823,-0.0943637885252454,0.12013139371187236,0.21449518223711772,0.09436378852524536,1049,1032,-17,1000,1.0,1.0,0.09436378852524537,0.09436378852524537,True,True,Bootstrap稳健的N/D配置与成本构成改变
T17,adjacent_context,context_increase,C10000000000000000000000_L8192,C10000000000000000000000_L32768,10000000000000000000000,10000000000000000000000,8192,32768,1025,917,1025,917,6.86104,2.782831,-4.078209,188.744,285.213,96.469,-0.902390278881,-0.902390278881251,-0.902390278881251,-0.902390278881251,0.412844670005,0.4128446700045846,0.4128446700045846,0.4128446700045846,2.159845165552461,2.194660077531802,0.034814911979341,9.891576253712385e+21,9.96378702241846e+21,7.2210768706075E+19,0.9891576253712384,0.9963787022418461,0.0072210768706077,0.7855048177628823,0.4779505480499618,-0.3075542697129205,0.21449518223711772,0.5220494519500383,0.30755426971292058,1032,969,-63,1000,1.0,1.0,0.3075542697129205,0.3075542697129205,True,True,Bootstrap稳健的N/D配置与成本构成改变
T18,adjacent_context,context_increase,C10000000000000000000000_L32768,C10000000000000000000000_L131072,10000000000000000000000,10000000000000000000000,32768,131072,917,834,917,834,2.782831,2.782831,0,285.213,111.149,-174.064,0,0.0,0.0,0.0,-0.94236462603,-0.9423646260303652,-0.9423646260303652,-0.9423646260303652,2.194660077531802,2.271590563800825,0.076930486269023,9.96378702241846e+21,9.964200074684393e+21,4.13052265933E+17,0.9963787022418461,0.9964200074684394,0.0000413052265933,0.4779505480499618,0.18625211085725638,-0.29169843719270542,0.5220494519500383,0.8137478891427437,0.2916984371927054,969,793,-176,1000,1.0,1.0,0.2916984371927054,0.2916984371927054,True,True,Bootstrap稳健的N/D配置与成本构成改变
T19,adjacent_context,context_increase,C1000000000000000000000000_L2048,C1000000000000000000000000_L4096,1000000000000000000000000,1000000000000000000000000,2048,4096,1232,1232,1232,1232,11.965825,11.965825,0,299.893,299.893,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.093379471491827,2.093379471491827,0,2.300063908774456e+22,2.447047523513912e+22,1.46983614739456E+21,0.02300063908774456,0.02447047523513912,0.00146983614739456,0.9360958562156765,0.8798686062881277,-0.0562272499275488,0.06390414378432352,0.12013139371187236,0.05622724992754884,1176,1176,0,1000,0.0,1.0,0.05622724992754884,0.05622724992754884,False,True,成本构成改变；未达N/D配置稳健切换门槛
T20,adjacent_context,context_increase,C1000000000000000000000000_L4096,C1000000000000000000000000_L8192,1000000000000000000000000,1000000000000000000000000,4096,8192,1232,1232,1232,1232,11.965825,11.965825,0,299.893,299.893,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.093379471491827,2.093379471491827,0,2.447047523513912e+22,2.741014752992824e+22,2.93967229478912E+21,0.02447047523513912,0.02741014752992824,0.00293967229478912,0.8798686062881277,0.7855048177628823,-0.0943637885252454,0.12013139371187236,0.21449518223711772,0.09436378852524536,1176,1176,0,1000,0.0,1.0,0.09436378852524537,0.09436378852524537,False,True,成本构成改变；未达N/D配置稳健切换门槛
T21,adjacent_context,context_increase,C1000000000000000000000000_L8192,C1000000000000000000000000_L32768,1000000000000000000000000,1000000000000000000000000,8192,32768,1232,1232,1232,1232,11.965825,11.965825,0,299.893,299.893,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.093379471491827,2.093379471491827,0,2.741014752992824e+22,4.504818129866296e+22,1.763803376873472E+22,0.02741014752992824,0.04504818129866296,0.01763803376873472,0.7855048177628823,0.4779505480499618,-0.3075542697129205,0.21449518223711772,0.5220494519500383,0.30755426971292058,1176,1176,0,1000,0.0,1.0,0.3075542697129205,0.3075542697129205,False,True,成本构成改变；未达N/D配置稳健切换门槛
T22,adjacent_context,context_increase,C1000000000000000000000000_L32768,C1000000000000000000000000_L131072,1000000000000000000000000,1000000000000000000000000,32768,131072,1232,1232,1232,1232,11.965825,11.965825,0,299.893,299.893,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.093379471491827,2.093379471491827,0,4.504818129866296e+22,1.1560031637360184e+23,7.055213507493888E+22,0.04504818129866296,0.11560031637360184,0.07055213507493888,0.4779505480499618,0.18625211085725638,-0.29169843719270542,0.5220494519500383,0.8137478891427437,0.2916984371927054,1176,1176,0,1000,0.0,1.0,0.2916984371927054,0.2916984371927054,False,True,成本构成改变；未达N/D配置稳健切换门槛
