source,status,budget_flops,context_length_tokens,g_function,kappa_B1_anchored,selected_run_id,selected_N_B,selected_D_B,selected_Q,predicted_loss,C_train_flops,C_Q_flops,C_attn_flops,C_total_flops,budget_utilization,budget_slack_flops,Q_upper_affordable,selected_at_Q_boundary,p_setting,Q_mapping_assumption
B6,feasible,10000000000000000000000,32768,exponential,0.3830006502775433,988,6.86104,111.149,1.0,2.127885451766067,4.57558640976e+21,4.262851250317226e+20,4.997760515833856e+21,9.999632050625578e+21,0.9999632050625578,3.679493744219914e+17,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,1000000000000000000000000,32768,exponential,0.3830006502775433,1232,11.965825,299.893,1.0,2.0345498937356674,2.153080294035e+22,1.1501671180229997e+21,2.351737835831296e+22,4.619834841668596e+22,0.04619834841668596,9.53801651583314e+23,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,infeasible,10000000000000000000,131072,exponential,0.3830006502775433,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,B1 common mixture policy fixed; numeric 17-domain vector unavailable,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,10000000000000000000000,131072,exponential,0.3830006502775433,832,2.782831,106.955,1.0,2.1966738364633325,1.78582613763e+21,4.1020005171227715e+20,7.802393450381313e+21,9.99841963972359e+21,0.9998419639723591,1.5803602764090573e+18,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,1000000000000000000000000,131072,exponential,0.3830006502775433,1232,11.965825,299.893,1.0,2.0345498937356674,2.153080294035e+22,1.1501671180229997e+21,9.406951343325183e+22,1.1675048349162482e+23,0.11675048349162483,8.832495165083751e+23,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,10000000000000000000,2048,power,0.3830006502775433,21,0.070542,20.972,0.5081554243463073,3.087054333835616,8.876440944e+18,5.1759402088960064e+17,6.059650351104e+17,1e+19,1.0,0.0,0.5081554243463073,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,10000000000000000000000,2048,power,0.3830006502775433,1033,6.86104,205.521,0.9994504907256447,2.0877591082234193,8.46052681104e+21,9.61901225326337e+20,5.77571963633664e+20,1e+22,1.0,0.0,0.9994504907256447,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,1000000000000000000000000,2048,power,0.3830006502775433,1232,11.965825,299.893,1.0,2.0345498937356674,2.153080294035e+22,1.4068842528435725e+21,1.46983614739456e+21,2.4407523340588134e+22,0.024407523340588134,9.755924766594119e+23,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,10000000000000000000,4096,power,0.3830006502775433,20,0.070542,18.874,0.5171030671624323,3.0991773748499893,7.988458248e+18,9.208509192063955e+17,1.0906908327936001e+18,9.999999999999996e+18,0.9999999999999996,4096.0,0.5171030671624323,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,10000000000000000000000,4096,power,0.3830006502775433,1027,6.86104,192.938,1.0,2.0915317227178316,7.94253201312e+21,9.051276087642366e+20,1.084420370857984e+21,9.93207999274222e+21,0.9932079992742221,6.792000725777908e+19,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,1000000000000000000000000,4096,power,0.3830006502775433,1232,11.965825,299.893,1.0,2.0345498937356674,2.153080294035e+22,1.4068842528435725e+21,2.93967229478912e+21,2.587735948798269e+22,0.02587735948798269,9.741226405120172e+23,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,10000000000000000000,8192,power,0.3830006502775433,19,0.070542,16.777,0.5201272244844376,3.1159495203756795,7.100898804000001e+18,9.600824292543986e+17,1.9390187667456005e+18,1e+19,1.0,0.0,0.5201272244844376,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,10000000000000000000000,8192,power,0.3830006502775433,1018,6.86104,174.064,1.0,2.097898766326975,7.16556039936e+21,8.165842503391663e+20,1.956675693051904e+21,9.93882034275107e+21,0.993882034275107,6.1179657248930005e+19,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,1000000000000000000000000,8192,power,0.3830006502775433,1232,11.965825,299.893,1.0,2.0345498937356674,2.153080294035e+22,1.4068842528435725e+21,5.87934458957824e+21,2.8817031782771812e+22,0.028817031782771813,9.711829682172282e+23,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,10000000000000000000,32768,power,0.3830006502775433,16,0.070542,10.486,0.5239475646507917,3.1920912060742905,4.438220472e+18,7.140592471168005e+17,4.8477202808832e+18,1e+19,1.0,0.0,0.5239475646507917,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,10000000000000000000000,32768,power,0.3830006502775433,987,6.86104,109.052,1.0,2.1292439905573115,4.48926080448e+21,5.115942737612991e+20,4.903469934706688e+21,9.904325012947986e+21,0.9904325012947987,9.567498705201372e+19,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,1000000000000000000000000,32768,power,0.3830006502775433,1232,11.965825,299.893,1.0,2.0345498937356674,2.153080294035e+22,1.4068842528435725e+21,2.351737835831296e+22,4.645506555150653e+22,0.046455065551506525,9.535449344484935e+23,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,infeasible,10000000000000000000,131072,power,0.3830006502775433,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,B1 common mixture policy fixed; numeric 17-domain vector unavailable,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,10000000000000000000000,131072,power,0.3830006502775433,831,2.782831,104.858,1.0,2.1981016151016934,1.750812557988e+21,4.919190143973728e+20,7.649416786686772e+21,9.892148359072145e+21,0.9892148359072146,1.0785164092785453e+20,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,1000000000000000000000000,131072,power,0.3830006502775433,1232,11.965825,299.893,1.0,2.0345498937356674,2.153080294035e+22,1.4068842528435725e+21,9.406951343325183e+22,1.1700720062644541e+23,0.11700720062644542,8.829927993735545e+23,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,10000000000000000000,2048,logarithmic,0.3830006502775433,21,0.070542,20.972,0.5059091525385317,3.0879464631052915,8.876440944e+18,5.1759402088959194e+17,6.059650351104e+17,9.999999999999992e+18,0.9999999999999992,8192.0,0.5059091525385317,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,10000000000000000000000,2048,logarithmic,0.3830006502775433,1040,6.86104,220.201,1.0,2.0836215028699834,9.06484721424e+21,2.6806191544136198e+20,6.18826903158784e+20,9.951736032840145e+21,0.9951736032840145,4.826396715985456e+19,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,1000000000000000000000000,2048,logarithmic,0.3830006502775433,1232,11.965825,299.893,1.0,2.0345498937356674,2.153080294035e+22,3.650750541889291e+20,1.46983614739456e+21,2.336571414193349e+22,0.02336571414193349,9.766342858580665e+23,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,10000000000000000000,4096,logarithmic,0.3830006502775433,20,0.070542,18.874,0.5132573296071927,3.1007161801834977,7.988458248e+18,9.208509192063922e+17,1.0906908327936001e+18,9.999999999999992e+18,0.9999999999999992,8192.0,0.5132573296071927,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,10000000000000000000000,4096,logarithmic,0.3830006502775433,1034,6.86104,207.618,1.0,2.0871069009629344,8.54685241632e+21,2.5274398735748107e+20,1.166930249908224e+21,9.966526653585705e+21,0.9966526653585706,3.3473346414294598e+19,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,1000000000000000000000000,4096,logarithmic,0.3830006502775433,1232,11.965825,299.893,1.0,2.0345498937356674,2.153080294035e+22,3.650750541889291e+20,2.93967229478912e+21,2.483555028932805e+22,0.02483555028932805,9.751644497106719e+23,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,10000000000000000000,8192,logarithmic,0.3830006502775433,19,0.070542,16.777,0.5158497339157974,3.1177051962106392,7.100898804000001e+18,9.600824292543946e+17,1.9390187667456005e+18,9.999999999999996e+18,0.9999999999999996,4096.0,0.5158497339157974,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,10000000000000000000000,8192,logarithmic,0.3830006502775433,1023,6.86104,184.549,1.0,2.0942586379771635,7.59718842576e+21,2.2466091631186015e+20,2.074538919460864e+21,9.896388261532725e+21,0.9896388261532725,1.0361173846727537e+20,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,1000000000000000000000000,8192,logarithmic,0.3830006502775433,1232,11.965825,299.893,1.0,2.0345498937356674,2.153080294035e+22,3.650750541889291e+20,5.87934458957824e+21,2.7775222584117167e+22,0.027775222584117167,9.722247774158828e+23,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,10000000000000000000,32768,logarithmic,0.3830006502775433,16,0.070542,10.486,0.5192060914168792,3.1942898115800915,4.438220472e+18,7.140592471167949e+17,4.8477202808832e+18,9.999999999999996e+18,0.9999999999999996,4096.0,0.5192060914168792,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,10000000000000000000000,32768,logarithmic,0.3830006502775433,989,6.86104,113.246,1.0,2.126559327704115,4.66191201504e+21,1.3786013540389226e+20,5.092051096961024e+21,9.891823247404917e+21,0.9891823247404917,1.081767525950832e+20,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,1000000000000000000000000,32768,logarithmic,0.3830006502775433,1232,11.965825,299.893,1.0,2.0345498937356674,2.153080294035e+22,3.650750541889291e+20,2.351737835831296e+22,4.541325635285189e+22,0.04541325635285189,9.545867436471481e+23,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,infeasible,10000000000000000000,131072,logarithmic,0.3830006502775433,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,B1 common mixture policy fixed; numeric 17-domain vector unavailable,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,10000000000000000000000,131072,logarithmic,0.3830006502775433,833,2.782831,109.052,1.0,2.195281444051619,1.820839717272e+21,1.3275456515961056e+20,7.955370114075854e+21,9.908964396507465e+21,0.9908964396507465,9.103560349253527e+19,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,1000000000000000000000000,131072,logarithmic,0.3830006502775433,1232,11.965825,299.893,1.0,2.0345498937356674,2.153080294035e+22,3.650750541889291e+20,9.406951343325183e+22,1.1596539142779076e+23,0.11596539142779076,8.840346085722092e+23,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B8_calibrated,feasible,10000000000000000000,2048,exponential,-0.8193728642158753,169,0.162405,8.389,0.4984781048,3.030397627156985,8.174493269999999e+18,0.0,5.5804540723199994e+17,8.732538677231999e+18,0.8732538677231999,1.267461322768001e+18,0.5926131136539214,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B8_calibrated,feasible,10000000000000000000000,2048,exponential,-0.8193728642158753,1043,6.86104,226.492,0.4984781048,2.1456111666541906,9.32382403008e+21,0.0,6.36506387120128e+20,9.96033041720013e+21,0.996033041720013,3.9669582799870886e+19,0.6036908494821499,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B8_calibrated,feasible,1000000000000000000000000,2048,exponential,-0.8193728642158753,1232,11.965825,299.893,0.4984781048,2.093379471491827,2.153080294035e+22,0.0,1.46983614739456e+21,2.300063908774456e+22,0.02300063908774456,9.769993609122555e+23,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B8_calibrated,feasible,10000000000000000000,4096,exponential,-0.8193728642158753,169,0.162405,8.389,0.4984781048,3.030397627156985,8.174493269999999e+18,0.0,1.1160908144639999e+18,9.290584084463999e+18,0.9290584084463999,7.09415915536001e+17,0.5574934718057533,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B8_calibrated,feasible,10000000000000000000000,4096,exponential,-0.8193728642158753,1036,6.86104,211.812,0.4984781048,2.150758613533873,8.71950362688e+21,0.0,1.190502895190016e+21,9.910006522070016e+21,0.9910006522070016,8.999347792998354e+19,0.6889018883287652,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B8_calibrated,feasible,1000000000000000000000000,4096,exponential,-0.8193728642158753,1232,11.965825,299.893,0.4984781048,2.093379471491827,2.153080294035e+22,0.0,2.93967229478912e+21,2.447047523513912e+22,0.02447047523513912,9.755295247648608e+23,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B8_calibrated,feasible,10000000000000000000,8192,exponential,-0.8193728642158753,168,0.162405,6.291,0.4984781048,3.0877660039358146,6.13013913e+18,0.0,1.673936658432e+18,7.804075788432e+18,0.7804075788432,2.195924211568e+18,0.6673083652731607,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B8_calibrated,feasible,10000000000000000000000,8192,exponential,-0.8193728642158753,1025,6.86104,188.744,0.4984781048,2.159845165552461,7.76988080256e+21,0.0,2.121695451152384e+21,9.891576253712383e+21,0.9891576253712383,1.0842374628761718e+20,0.7247187617480658,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B8_calibrated,feasible,1000000000000000000000000,8192,exponential,-0.8193728642158753,1232,11.965825,299.893,0.4984781048,2.093379471491827,2.153080294035e+22,0.0,5.87934458957824e+21,2.741014752992824e+22,0.02741014752992824,9.725898524700717e+23,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B8_calibrated,feasible,10000000000000000000,32768,exponential,-0.8193728642158753,16,0.070542,10.486,0.4984781048,3.204237726070806,4.438220472e+18,0.0,4.8477202808832e+18,9.2859407528832e+18,0.92859407528832,7.140592471168e+17,0.5475226047222692,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B8_calibrated,feasible,10000000000000000000000,32768,exponential,-0.8193728642158753,917,2.782831,285.213,0.4984781048,2.194660077531802,4.762197468018e+21,0.0,5.201589554400462e+21,9.963787022418462e+21,0.9963787022418462,3.6212977581537886e+19,0.5807176001763642,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B8_calibrated,feasible,1000000000000000000000000,32768,exponential,-0.8193728642158753,1232,11.965825,299.893,0.4984781048,2.093379471491827,2.153080294035e+22,0.0,2.351737835831296e+22,4.504818129866296e+22,0.04504818129866296,9.54951818701337e+23,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B8_calibrated,infeasible,10000000000000000000,131072,exponential,-0.8193728642158753,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,B1 common mixture policy fixed; numeric 17-domain vector unavailable,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B8_calibrated,feasible,10000000000000000000000,131072,exponential,-0.8193728642158753,834,2.782831,111.149,0.4984781048,2.271590563800825,1.855853296914e+21,0.0,8.108346777770395e+21,9.964200074684395e+21,0.9964200074684395,3.579992531560458e+19,0.6588989292167858,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B8_calibrated,feasible,1000000000000000000000000,131072,exponential,-0.8193728642158753,1232,11.965825,299.893,0.4984781048,2.093379471491827,2.153080294035e+22,0.0,9.406951343325183e+22,1.1560031637360184e+23,0.11560031637360184,8.843996836263981e+23,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B8_calibrated,feasible,10000000000000000000,2048,power,-0.8193728642158753,169,0.162405,8.389,0.4984781048,3.030397627156985,8.174493269999999e+18,0.0,5.5804540723199994e+17,8.732538677231999e+18,0.8732538677231999,1.267461322768001e+18,0.5506801652271283,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B8_calibrated,feasible,10000000000000000000000,2048,power,-0.8193728642158753,1043,6.86104,226.492,0.4984781048,2.1456111666541906,9.32382403008e+21,0.0,6.36506387120128e+20,9.96033041720013e+21,0.996033041720013,3.9669582799870886e+19,0.5577473630993899,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B8_calibrated,feasible,1000000000000000000000000,2048,power,-0.8193728642158753,1232,11.965825,299.893,0.4984781048,2.093379471491827,2.153080294035e+22,0.0,1.46983614739456e+21,2.300063908774456e+22,0.02300063908774456,9.769993609122555e+23,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B8_calibrated,feasible,10000000000000000000,4096,power,-0.8193728642158753,169,0.162405,8.389,0.4984781048,3.030397627156985,8.174493269999999e+18,0.0,1.1160908144639999e+18,9.290584084463999e+18,0.9290584084463999,7.09415915536001e+17,0.529580890308112,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B8_calibrated,feasible,10000000000000000000000,4096,power,-0.8193728642158753,1036,6.86104,211.812,0.4984781048,2.150758613533873,8.71950362688e+21,0.0,1.190502895190016e+21,9.910006522070016e+21,0.9910006522070016,8.999347792998354e+19,0.618899871242636,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B8_calibrated,feasible,1000000000000000000000000,4096,power,-0.8193728642158753,1232,11.965825,299.893,0.4984781048,2.093379471491827,2.153080294035e+22,0.0,2.93967229478912e+21,2.447047523513912e+22,0.02447047523513912,9.755295247648608e+23,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B8_calibrated,feasible,10000000000000000000,8192,power,-0.8193728642158753,168,0.162405,6.291,0.4984781048,3.0877660039358146,6.13013913e+18,0.0,1.673936658432e+18,7.804075788432e+18,0.7804075788432,2.195924211568e+18,0.6022490476093124,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B8_calibrated,feasible,10000000000000000000000,8192,power,-0.8193728642158753,1025,6.86104,188.744,0.4984781048,2.159845165552461,7.76988080256e+21,0.0,2.121695451152384e+21,9.891576253712383e+21,0.9891576253712383,1.0842374628761718e+20,0.6482872894408213,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
