key,数值,单位,生成脚本/出处,模型或场景,登记时间,备注
Q1_配比CV_MSE_主模型,0.39860,---,results/q1_3/v1/full_training_model_selection.csv,simplex_ridge，选中,2026-09-23,由论文问题一引用
Q1_配比CV_MSE_OLS,0.40032,---,同上,参考分量 OLS 对照,2026-09-23,由论文问题一引用
Q1_配比CV_MSE_均值,1.00448,---,同上,训练均值空模型下界,2026-09-23,由论文问题一引用
Q1_lambda主模型,0.0001,---,results/q1_3/v1/run_summary.json,闭合配比正则强度,2026-09-23,由论文问题一引用
Q1_嵌套CV_R2,0.59923,---,results/q1_3/v1/nested_cv_metrics.csv,宏平均,2026-09-23,由论文问题一引用
Q1_嵌套CV_Spearman,0.82077,---,同上,宏平均,2026-09-23,由论文问题一引用
Q1_检验集1M_R2,0.61889,---,results/q1_3/v1/holdout_metrics.csv,A6/A7 同尺度,2026-09-23,由论文问题一引用
Q1_检验集1M_RMSE,0.45386,---,同上,A6/A7 宏平均,2026-09-23,由论文问题一引用
Q1_检验集60M_R2,-7.93357,---,同上,A8/A9 跨尺度，负值如实报告,2026-09-23,由论文问题一引用
Q1_检验集60M_RMSE,1.55902,---,同上,A8/A9 宏平均,2026-09-23,由论文问题一引用
Q1_检验集1B_R2,-810.12,---,同上,A10/A11 跨尺度,2026-09-23,由论文问题一引用
Q1_检验集1B_RMSE,3.19699,---,同上,A10/A11 宏平均,2026-09-23,由论文问题一引用
Q1_估计表10B_RMSE,3.60155,---,results/q1_3/v1/estimate_consistency_metrics.csv,A12/A13,2026-09-23,由论文问题一引用
Q1_估计表70B_RMSE,3.98477,---,同上,A14/A15,2026-09-23,由论文问题一引用
Q1_替代支持域对数,106,对,results/q1_3/v1/run_summary.json,占 136 对的 77.9%,2026-09-23,由论文问题一引用
Q1_替代区间全正,214,个,同上,占比 15.5%,2026-09-23,由论文问题一引用
Q1_替代区间全负,535,个,同上,占比 38.8%,2026-09-23,由论文问题一引用
Q1_替代区间跨零,629,个,同上,占比 45.7%,2026-09-23,由论文问题一引用
Q1_二次面_RMSE,0.58901,---,results/q1_3/v1/run_summary.json,优于主模型但不作改选,2026-09-23,由论文问题一引用
Q1_污染命中_窄口径,428,条,results/q1_1/text_integrity_summary.json,official_strict,2026-09-23,由论文问题一引用
Q1_污染命中_宽口径,463,条,同上,official_broad,2026-09-23,由论文问题一引用
Q1_配比行和范围下,0.996,---,results/q1_3/v1/data_audit.csv,三位小数舍入,2026-09-23,由论文问题一引用
Q1_配比行和范围上,1.003,---,同上,三位小数舍入,2026-09-23,由论文问题一引用
Q1_零配比单元_训练,3928,个,同上,511/512 行含零,2026-09-23,由论文问题一引用
Q1_权重_最小值,0.0450840,---,results/q1_1/v1/indicator_weights.csv,qurater 与 rps_lines_numerical_chars_fraction,2026-09-24,排序稳定性 0.9821
Q1_人工核查_Kappa,0.765146,---,Q1/03_结果/Q1.1/human_spotcheck_final/received_20260924/human_check_metrics.csv,二次加权 Cohen Kappa（30 条）,2026-09-24,人工核查未区分候选
Q1_人工核查_评审间Spearman,0.805995,---,同上,评审间总体质量 Spearman,2026-09-24,
Q1_人工核查_两候选Spearman,0.566692,---,同上/paired_bootstrap.csv,24 条代表样本上 q_equal 与 q_huber 对共识评分,2026-09-24,两候选相同
Q1_人工核查_相关差区间下,-0.058987,---,同上,配对 bootstrap 95% 下界,2026-09-24,跨零
Q1_人工核查_相关差区间上,0.062315,---,同上,配对 bootstrap 95% 上界,2026-09-24,跨零
Q1_操作主分版本,Q1-q_huber-v1,---,results/q1_final/q1_final_freeze.json,操作主分 q_huber；q_equal 为敏感性对照,2026-09-24,接口一致性选择，非效度胜出
Q1_Qhuber_A1宏平均,0.498478,---,Q1/03_结果/Q1_最终收口/q1_final_domain_quality.csv,A1 七域等权宏平均（操作主分口径）,2026-09-24,交付问题二/三的 Q0
Q2_M0_E,1.689798,---,Q2/03_结果/经典ScalingLaw基线/v1/fit_parameters.json,经典标度律不可约损失,2026-09-24,"95% 区间 [1.689645,1.689962]"
Q2_M0_A,0.353980,---,同上,参数量项系数,2026-09-24,"区间 [0.353843,0.354125]"
Q2_M0_alpha,0.339977,---,同上,参数量项指数,2026-09-24,"区间 [0.339831,0.340115]"
Q2_M0_B,1.240306,---,同上,数据量项系数,2026-09-24,"区间 [1.240160,1.240434]"
Q2_M0_beta,0.279878,---,同上,数据量项指数,2026-09-24,"区间 [0.279823,0.279937]"
Q2_M0_内样本R2,0.99999982,---,同上,B1 1176 行拟合内指标,2026-09-24,非独立验证
Q2_M0_内样本RMSE,0.0001465,---,同上,同上,2026-09-24,
Q2_条件数,56.378,---,同上,缩放雅可比条件数，秩 5/5,2026-09-24,远低于病态阈值
Q2_弹性_N,-0.048225,---,Q2/03_结果/综合收口/v1/q2_m0_effects_distribution_summary.csv,B1 中位点 N=1.2285B、D=146.80B,2026-09-24,"95% 区间 [-0.048231,-0.048218]"
Q2_弹性_D,-0.036924,---,同上,同上,2026-09-24,"95% 区间 [-0.036930,-0.036917]"
Q2_弹性N_极差下,-0.103334,---,同上,70m 轨迹中位数,2026-09-24,逐规模最弱端
Q2_弹性N_极差上,-0.024083,---,同上,12b 轨迹中位数,2026-09-24,逐规模最强端
Q2_B6_kappa,0.085033,---,Q2/03_结果/完整回答补充/v1/b6_b7_q_model_supplement.csv,半合成 B6 质量指数,2026-09-24,半合成，非实测
Q2_B7_kappa,0.098000,---,同上,半合成 B7 质量指数,2026-09-24,半合成，非实测
Q2_等损失兑换_B6,-0.121915,十亿参数,Q2/03_结果/完整回答补充/v1/b6_b7_q_n_equal_loss_demo.csv,Q 提高 0.1 所需 N 变化，锚点 N=1B/D=150B/Q=0.6,2026-09-24,半合成示例，非真实替代率
Q2_等损失兑换_B7,-0.118205,十亿参数,同上,同上,2026-09-24,半合成示例
Q2_p门禁_可连接配比向量,0,个,Q2/03_结果/p配比可行性审计/v1/q2_p_audit_summary.json,已核验并逐行连接 Loss 的 17 维 p,2026-09-24,Gate FAIL_CURRENT_DATA
Q2_B4B5_绝对可比数,0,组,Q2/03_结果/经典ScalingLaw基线/v1/b4_b5_loss_comparability_audit.md,相对 B1 达到绝对可比等级的来源组,2026-09-24,25 组全部 NOT_COMPARABLE
Q3_Lctx临界,30000,token,解析：6/eta，eta=2e-4,注意力开销等于训练开销的上下文长度,2026-09-24,题面公式代数推论
Q3_C7_超临界模型数,12,个,Q3/04_结果/C7_context_audit_summary.json,45 个架构记录中超过 30000 的数量,2026-09-24,占 26.67%
Q3_预算利用率_下,0.0230006,---,Q3/04_结果/M0_ND_reference_frontier.csv,15 情景最低（1e24 档 + 2048）,2026-09-24,
Q3_预算利用率_上,0.9964200,---,同上,15 情景最高（1e22 档 + 131072）,2026-09-24,
Q3_注意力份额_2048,0.0639041,---,Q3/04_结果/M0_budget_context_cost_shares.csv,注意力开销占总成本比例,2026-09-24,与预算无关
Q3_注意力份额_131072,0.8137479,---,同上,同上,2026-09-24,
Q3_CQ至Q1_指数型,1.1501671e21,FLOPs,Q3/04_结果/Q_cost_increment_envelope.csv,Q0→Q=1，D=146.801e9 token,2026-09-24,
Q3_CQ至Q1_幂函数型,1.4068843e21,FLOPs,同上,同上,2026-09-24,
Q3_CQ至Q1_对数渐进型,3.6507505e20,FLOPs,同上,同上,2026-09-24,三种形式最省
Q3_选择稳定性,1.0,---,Q3/04_结果/M0_ND_cluster_bootstrap_selection_frequency.csv,15 情景 1000 次整轨迹重抽样重选比例,2026-09-24,均为 1000/1000
Q3_1e19可负担D上界_指数型,2.607,十亿token,解析：1e19 / Δg，Δg 取自 Q_cost_increment_envelope.csv,指数型下把 Q 提到 1 且总预算 1e19 时的 D 上界,2026-09-24,
Q3_1e19可负担D上界_幂函数型,2.132,十亿token,同上,幂函数型同上,2026-09-24,
Q3_1e19可负担D上界_对数渐进型,8.215,十亿token,同上,对数渐进型同上,2026-09-24,1e19 参考配置 D=4.194~8.389B 故仅部分可行
Q3_CQ倍数_最贵比最省,3.85,倍,解析：6.8869e20 / 1.7871e20,幂函数型 / 对数渐进型,2026-09-24,论文写作 3.9 倍
Q2_残差偏倚,2.6e-14,---,Q2/03_结果/经典ScalingLaw基线/v1/b1_fitted_predictions.csv,B1 残差均值（1176 点）,2026-09-25,即无系统偏倚
Q2_残差标准差,1.466e-4,---,同上,残差标准差,2026-09-25,异方差，随拟合值上升而扩大
Q2_B8冲突_B6负斜率单元,45,个,Q2/03_结果/完整回答补充/v1/b6_b8_q_direction_audit.csv,B6 匹配 N–D 单元中斜率为负的数量,2026-09-25,全为负（45/45）
Q2_B8冲突_B7负斜率单元,45,个,同上,B7 同上,2026-09-25,全为负（45/45）
Q2_B8冲突_B8正斜率单元,150,个,同上,B8 校准 90 + 外推 60,2026-09-25,全为正（150/150）
Q2_B8冲突_B8中位斜率,2.0279,---,同上,B8 校准部分,2026-09-25,B6/B7 为 -0.3409 / -0.3393
Q1_Qhuber区间下,0.496567,---,Q1/03_结果/Q1.1/v1/a1_macro_summary.csv,q_huber A1 七域宏平均 95% 下界,2026-09-25,摘要与 5.6 引用
Q1_Qhuber区间上,0.500427,---,Q1/03_结果/Q1.1/v1/a1_macro_summary.csv,同上,2026-09-25,
Q1_总记录数,272505,条,results/q1_common_preprocess/v1/data_overview.csv,A1+A2+A3 全部记录,2026-09-25,题面要求全量参与评价
Q1_指标对数,231,对,"解析：C(22,2)",22 个指标的两两组合,2026-09-25,
Q1_检验集1M_Spearman,0.8327,---,Q1/03_结果/Q1.3/v1/holdout_metrics.csv,A6/A7 宏平均,2026-09-25,摘要引用
Q1_跨尺度Spearman下,0.73,---,Q1/03_结果/Q1.3/v1/holdout_metrics.csv,60M/1B 宏平均秩相关下界,2026-09-25,摘要引用
Q1_跨尺度Spearman上,0.83,---,Q1/03_结果/Q1.3/v1/holdout_metrics.csv,同上,2026-09-25,
Q1_指标对排序Spearman_a2,0.99963,---,Q1/03_结果/Q1.2/v1/external_validation.csv,A2 与 A1 的 231 对指标分歧排序相关,2026-09-25,
Q1_指标对排序Spearman_a3,0.99949,---,Q1/03_结果/Q1.2/v1/external_validation.csv,A3 与 A1 同上,2026-09-25,
Q2_B1检查点数,1176,个,Q2/03_结果/经典ScalingLaw基线/v1/b1_fitted_predictions.csv,8 条轨迹 x 147 检查点,2026-09-25,点数非独立实验数
Q2_轨迹Bootstrap次数,1000,次,Q2/03_结果/经典ScalingLaw基线/v1/cluster_bootstrap_estimates.csv,整轨迹整簇重抽样,2026-09-25,
Q3_C7长度_2048,2048,token,Q3/02_数据审计/C7_context_by_model.csv,C7 最小可行长度,2026-09-25,
Q3_C7长度_131072,131072,token,Q3/02_数据审计/C7_context_by_model.csv,C7 最大可行长度,2026-09-25,
Q3_利用率_1e22_下,98.92,%,Q3/04_结果/M0_ND_reference_frontier.csv,10^22 档最低利用率,2026-09-25,
Q3_利用率_1e22_上,99.64,%,Q3/04_结果/M0_ND_reference_frontier.csv,10^22 档最高利用率,2026-09-25,
Q3_利用率_1e24_下,2.300,%,Q3/04_结果/M0_ND_reference_frontier.csv,10^24 档最低,2026-09-25,受支持上界约束
Q3_利用率_1e24_上,11.560,%,Q3/04_结果/M0_ND_reference_frontier.csv,10^24 档最高,2026-09-25,
Q3_注意力份额_2048_百分比,6.390,%,Q3/04_结果/M0_budget_context_cost_shares.csv,2048 处注意力开销占比,2026-09-25,
Q3_注意力份额_131072_百分比,81.375,%,Q3/04_结果/M0_budget_context_cost_shares.csv,131072 处注意力开销占比,2026-09-25,
Q1_跨尺度R2_60M_绝对值,7.9336,---,Q1/03_结果/Q1.3/v1/holdout_metrics.csv,A8/A9 宏平均 R² 的绝对值,2026-09-25,负值如实报告
Q1_检验集1M_R2_四位,0.6189,---,Q1/03_结果/Q1.3/v1/holdout_metrics.csv,A6/A7 宏平均 R²（正文与摘要的显示精度，源值 0.61889）,2026-09-25,正文与摘要统一用此精度
