dataset,indicator,n,valid_n,valid_rate,missing_n,missing_rate,invalid_n,invalid_rate,unit_suspect_n,unit_suspect_rate,outlier_n,outlier_rate,norm_valid_n,norm_zero_n,norm_zero_rate,norm_one_n,norm_one_rate,norm_mean,norm_median,norm_min,norm_max,norm_nonfinite_n,norm_out_of_range_n,norm_unexplained_blank_n
A2,rps_lines_ending_with_terminal_punctution_mark,17523,17523,1.0,0,0.0,0,0.0,0,0.0,0,0.0,17523,0,0.0,0,0.0,0.31724786878959527,0.29851139872690646,0.009609256771457773,0.995,0,0,0
A2,rps_lines_numerical_chars_fraction,17523,17523,1.0,0,0.0,0,0.0,0,0.0,2263,0.12914455287336643,17523,0,0.0,0,0.0,0.37156948153582453,0.3153996593997267,5.420435447054333e-23,0.9999836607871818,0,0,0
A2,rps_doc_mean_word_length,17523,17523,1.0,0,0.0,0,0.0,0,0.0,112,0.006391599611938595,17523,0,0.0,0,0.0,0.6049347029538806,0.6217444410599618,8.603810893888625e-16,0.9999740275085319,0,0,0
A3,fineweb_edu,203752,203752,1.0,0,0.0,0,0.0,0,0.0,294,0.0014429306215399114,203752,1171,0.005747182849738898,121,0.0005938592013820723,0.44049110637043704,0.44462757472118064,0.0,1.0,0,0,0
A3,fluency_en,203752,203752,1.0,0,0.0,0,0.0,0,0.0,66151,0.3246642977737642,203752,474,0.0023263575326867955,0,0.0,0.2776212874709239,0.2478171057126665,0.0,0.9803977412772623,0,0,0
A3,modernbert_cleanliness,203752,203752,1.0,0,0.0,0,0.0,0,0.0,0,0.0,203752,5430,0.026650045152931016,0,0.0,0.16175853531685477,0.1095363046060468,0.0,0.994021015249713,0,0,0
A3,modernbert_readability,203752,203752,1.0,0,0.0,0,0.0,0,0.0,2515,0.012343437119635635,203752,5223,0.0256341042051121,113,0.0005545957831088775,0.25721884222714875,0.2008690155662317,0.0,1.0,0,0,0
A3,modernbert_reasoning,203752,203752,1.0,0,0.0,0,0.0,0,0.0,8293,0.040701440967450625,203752,5169,0.02536907613176803,0,0.0,0.33808842366118885,0.2515645740887481,0.0,0.9918089640629556,0,0,0
A3,modernbert_professionalism,203752,203751,0.9999950920727159,1,4.907927284149358e-06,0,0.0,0,0.0,0,0.0,203751,8,3.926361097614245e-05,84,0.00041226791524949573,0.7793591390761208,0.8150761815468158,0.0,1.0,0,0,0
A3,dsir_books,203752,203752,1.0,0,0.0,0,0.0,0,0.0,29363,0.1441114688444776,203752,805,0.0039508814637402336,4739,0.023258667399583807,0.48479314003761126,0.47539656517743856,0.0,1.0,0,0,0
A3,dsir_wiki,203752,203752,1.0,0,0.0,0,0.0,0,0.0,29009,0.14237406258588872,203752,737,0.003617142408418077,4694,0.023037810671797086,0.48763365869624853,0.47959191854187155,0.0,1.0,0,0,0
A3,dsir_math,203752,203752,1.0,0,0.0,0,0.0,0,0.0,26201,0.12859260277199733,203752,923,0.004530016883269858,4799,0.02355314303663277,0.5018600026363818,0.5067608628975507,0.0,1.0,0,0,0
A3,qurater,203752,203752,1.0,0,0.0,0,0.0,0,0.0,1,4.907927284149358e-06,203752,278,0.0013644037849935215,2,9.815854568298715e-06,0.38178200855113187,0.3749370902276953,0.0,1.0,0,0,0
A3,ad_en,203752,203752,1.0,0,0.0,0,0.0,0,0.0,32213,0.15809906160430326,203752,0,0.0,120,0.000588951274097923,0.5145168649094469,0.518315,0.005362922881438899,1.0,0,0,0
A3,rps_doc_word_count,203752,203752,1.0,0,0.0,0,0.0,0,0.0,891,0.004372963210177078,203752,0,0.0,214,0.0010502964388079627,0.4346315228167504,0.3940233902482626,0.007693306613238776,1.0,0,0,0
A3,rps_doc_num_sentences,203752,203752,1.0,0,0.0,0,0.0,0,0.0,1059,0.00519749499391417,203752,0,0.0,2467,0.012107856609996467,0.4447761518018059,0.4008315714099878,0.0017877703804864053,1.0,0,0,0
A3,rps_doc_unigram_entropy,203752,203752,1.0,0,0.0,0,0.0,0,0.0,5943,0.029167811849699635,203752,5193,0.025486866386587616,183,0.0008981506929993325,0.29430380184436405,0.207262301328958,0.0,1.0,0,0,0
A3,rps_doc_frac_unique_words,203752,203752,1.0,0,0.0,0,0.0,0,0.0,7,3.435549098904551e-05,203752,907,0.004451490046723468,0,0.0,0.5541133987658988,0.596525,0.0,0.995,0,0,0
A3,rps_doc_frac_no_alph_words,203752,203752,1.0,0,0.0,0,0.0,0,0.0,32344,0.15874200007852685,203752,0,0.0,1253,0.006149632887039146,0.23139033824450883,0.18320440038711722,0.012495539896965835,1.0,0,0,0
A3,rps_doc_frac_chars_top_2gram,203752,203752,1.0,0,0.0,0,0.0,7,3.435549098904551e-05,19949,0.09790824139149554,203752,2014,0.009884565550276806,0,0.0,0.513945075182026,0.545045,0.0,0.917285,0,0,0
A3,rps_doc_frac_chars_top_3gram,203752,203752,1.0,0,0.0,0,0.0,9,4.417134555734422e-05,14489,0.07111095842004005,203752,1779,0.008731202638501709,0,0.0,0.4863120452559977,0.61385,0.0,0.774725,0,0,0
A3,rps_lines_uppercase_letter_fraction,203752,203752,1.0,0,0.0,0,0.0,0,0.0,28,0.00013742196395618203,203752,2273,0.011155718716871491,1375,0.0067484000157053674,0.4270076226429872,0.44253931327066903,0.0,1.0,0,0,0
A3,rps_lines_ending_with_terminal_punctution_mark,203752,203752,1.0,0,0.0,0,0.0,0,0.0,0,0.0,203752,0,0.0,0,0.0,0.2004620363254718,0.16637,0.00896,0.995,0,0,0
A3,rps_lines_numerical_chars_fraction,203752,203752,1.0,0,0.0,0,0.0,0,0.0,7834,0.03844870234402607,203752,0,0.0,0,0.0,0.5432061340379738,0.5146735372030973,5.097435001039472e-17,0.9999994442905267,0,0,0
A3,rps_doc_mean_word_length,203752,203752,1.0,0,0.0,0,0.0,0,0.0,109094,0.53542541913699,203752,0,0.0,0,0.0,0.12677793242561478,0.023081074806476892,2.8986838966598943e-37,0.9998924247241945,0,0,0
