grid_id,source_run_id,N_params_B,D_tokens_B,m3_N_params_B,m3_D_tokens_B,N_match,D_match,support_feasible_source_column,support_feasible,support_flag_recomputed,alignment_pass
63,63,0.070542,109.052,0.070542,109.052,True,True,m3_search_allowed,True,False,True
64,64,0.070542,111.149,0.070542,111.149,True,True,m3_search_allowed,True,False,True
65,65,0.070542,113.246,0.070542,113.246,True,True,m3_search_allowed,True,False,True
66,66,0.070542,115.343,0.070542,115.343,True,True,m3_search_allowed,True,False,True
67,67,0.070542,117.441,0.070542,117.441,True,True,m3_search_allowed,True,False,True
68,68,0.070542,119.538,0.070542,119.538,True,True,m3_search_allowed,True,False,True
69,69,0.070542,121.635,0.070542,121.635,True,True,m3_search_allowed,True,False,True
70,70,0.070542,123.732,0.070542,123.732,True,True,m3_search_allowed,True,False,True
71,71,0.070542,125.829,0.070542,125.829,True,True,m3_search_allowed,True,False,True
72,72,0.070542,127.926,0.070542,127.926,True,True,m3_search_allowed,True,False,True
73,73,0.070542,130.023,0.070542,130.023,True,True,m3_search_allowed,True,False,True
74,74,0.070542,132.121,0.070542,132.121,True,True,m3_search_allowed,True,False,True
75,75,0.070542,134.218,0.070542,134.218,True,True,m3_search_allowed,True,False,True
76,76,0.070542,136.315,0.070542,136.315,True,True,m3_search_allowed,True,False,True
77,77,0.070542,138.412,0.070542,138.412,True,True,m3_search_allowed,True,False,True
78,78,0.070542,140.509,0.070542,140.509,True,True,m3_search_allowed,True,False,True
79,79,0.070542,142.606,0.070542,142.606,True,True,m3_search_allowed,True,False,True
80,80,0.070542,144.703,0.070542,144.703,True,True,m3_search_allowed,True,False,True
81,81,0.070542,146.801,0.070542,146.801,True,True,m3_search_allowed,True,False,True
82,82,0.070542,148.898,0.070542,148.898,True,True,m3_search_allowed,True,False,True
83,83,0.070542,150.995,0.070542,150.995,True,True,m3_search_allowed,True,False,True
84,84,0.070542,153.092,0.070542,153.092,True,True,m3_search_allowed,True,False,True
85,85,0.070542,155.189,0.070542,155.189,True,True,m3_search_allowed,True,False,True
86,86,0.070542,157.286,0.070542,157.286,True,True,m3_search_allowed,True,False,True
87,87,0.070542,159.384,0.070542,159.384,True,True,m3_search_allowed,True,False,True
88,88,0.070542,161.481,0.070542,161.481,True,True,m3_search_allowed,True,False,True
89,89,0.070542,163.578,0.070542,163.578,True,True,m3_search_allowed,True,False,True
90,90,0.070542,165.675,0.070542,165.675,True,True,m3_search_allowed,True,False,True
91,91,0.070542,167.772,0.070542,167.772,True,True,m3_search_allowed,True,False,True
92,92,0.070542,169.869,0.070542,169.869,True,True,m3_search_allowed,True,False,True
93,93,0.070542,171.966,0.070542,171.966,True,True,m3_search_allowed,True,False,True
94,94,0.070542,174.064,0.070542,174.064,True,True,m3_search_allowed,True,False,True
95,95,0.070542,176.161,0.070542,176.161,True,True,m3_search_allowed,True,False,True
96,96,0.070542,178.258,0.070542,178.258,True,True,m3_search_allowed,True,False,True
97,97,0.070542,180.355,0.070542,180.355,True,True,m3_search_allowed,True,False,True
98,98,0.070542,182.452,0.070542,182.452,True,True,m3_search_allowed,True,False,True
99,99,0.070542,184.549,0.070542,184.549,True,True,m3_search_allowed,True,False,True
100,100,0.070542,186.647,0.070542,186.647,True,True,m3_search_allowed,True,False,True
101,101,0.070542,188.744,0.070542,188.744,True,True,m3_search_allowed,True,False,True
102,102,0.070542,190.841,0.070542,190.841,True,True,m3_search_allowed,True,False,True
103,103,0.070542,192.938,0.070542,192.938,True,True,m3_search_allowed,True,False,True
104,104,0.070542,195.035,0.070542,195.035,True,True,m3_search_allowed,True,False,True
105,105,0.070542,197.132,0.070542,197.132,True,True,m3_search_allowed,True,False,True
106,106,0.070542,199.229,0.070542,199.229,True,True,m3_search_allowed,True,False,True
107,107,0.070542,201.327,0.070542,201.327,True,True,m3_search_allowed,True,False,True
108,108,0.070542,203.424,0.070542,203.424,True,True,m3_search_allowed,True,False,True
109,109,0.070542,205.521,0.070542,205.521,True,True,m3_search_allowed,True,False,True
110,110,0.070542,207.618,0.070542,207.618,True,True,m3_search_allowed,True,False,True
111,111,0.070542,209.715,0.070542,209.715,True,True,m3_search_allowed,True,False,True
112,112,0.070542,211.812,0.070542,211.812,True,True,m3_search_allowed,True,False,True
113,113,0.070542,213.91,0.070542,213.91,True,True,m3_search_allowed,True,False,True
114,114,0.070542,216.007,0.070542,216.007,True,True,m3_search_allowed,True,False,True
115,115,0.070542,218.104,0.070542,218.104,True,True,m3_search_allowed,True,False,True
116,116,0.070542,220.201,0.070542,220.201,True,True,m3_search_allowed,True,False,True
117,117,0.070542,222.298,0.070542,222.298,True,True,m3_search_allowed,True,False,True
118,118,0.070542,224.395,0.070542,224.395,True,True,m3_search_allowed,True,False,True
119,119,0.070542,226.492,0.070542,226.492,True,True,m3_search_allowed,True,False,True
120,120,0.070542,228.59,0.070542,228.59,True,True,m3_search_allowed,True,False,True
121,121,0.070542,230.687,0.070542,230.687,True,True,m3_search_allowed,True,False,True
122,122,0.070542,232.784,0.070542,232.784,True,True,m3_search_allowed,True,False,True
123,123,0.070542,234.881,0.070542,234.881,True,True,m3_search_allowed,True,False,True
124,124,0.070542,236.978,0.070542,236.978,True,True,m3_search_allowed,True,False,True
125,125,0.070542,239.075,0.070542,239.075,True,True,m3_search_allowed,True,False,True
126,126,0.070542,241.172,0.070542,241.172,True,True,m3_search_allowed,True,False,True
127,127,0.070542,243.27,0.070542,243.27,True,True,m3_search_allowed,True,False,True
128,128,0.070542,245.367,0.070542,245.367,True,True,m3_search_allowed,True,False,True
129,129,0.070542,247.464,0.070542,247.464,True,True,m3_search_allowed,True,False,True
130,130,0.070542,249.561,0.070542,249.561,True,True,m3_search_allowed,True,False,True
131,131,0.070542,251.658,0.070542,251.658,True,True,m3_search_allowed,True,False,True
132,132,0.070542,253.755,0.070542,253.755,True,True,m3_search_allowed,True,False,True
133,133,0.070542,255.853,0.070542,255.853,True,True,m3_search_allowed,True,False,True
134,134,0.070542,257.95,0.070542,257.95,True,True,m3_search_allowed,True,False,True
135,135,0.070542,260.047,0.070542,260.047,True,True,m3_search_allowed,True,False,True
136,136,0.070542,262.144,0.070542,262.144,True,True,m3_search_allowed,True,False,True
137,137,0.070542,264.241,0.070542,264.241,True,True,m3_search_allowed,True,False,True
138,138,0.070542,266.338,0.070542,266.338,True,True,m3_search_allowed,True,False,True
139,139,0.070542,268.435,0.070542,268.435,True,True,m3_search_allowed,True,False,True
140,140,0.070542,270.533,0.070542,270.533,True,True,m3_search_allowed,True,False,True
141,141,0.070542,272.63,0.070542,272.63,True,True,m3_search_allowed,True,False,True
142,142,0.070542,274.727,0.070542,274.727,True,True,m3_search_allowed,True,False,True
143,143,0.070542,276.824,0.070542,276.824,True,True,m3_search_allowed,True,False,True
144,144,0.070542,278.921,0.070542,278.921,True,True,m3_search_allowed,True,False,True
145,145,0.070542,281.018,0.070542,281.018,True,True,m3_search_allowed,True,False,True
146,146,0.070542,283.116,0.070542,283.116,True,True,m3_search_allowed,True,False,True
147,147,0.070542,285.213,0.070542,285.213,True,True,m3_search_allowed,True,False,True
148,148,0.070542,287.31,0.070542,287.31,True,True,m3_search_allowed,True,False,True
149,149,0.070542,289.407,0.070542,289.407,True,True,m3_search_allowed,True,False,True
150,150,0.070542,291.504,0.070542,291.504,True,True,m3_search_allowed,True,False,True
151,151,0.070542,293.601,0.070542,293.601,True,True,m3_search_allowed,True,False,True
152,152,0.070542,295.698,0.070542,295.698,True,True,m3_search_allowed,True,False,True
153,153,0.070542,297.796,0.070542,297.796,True,True,m3_search_allowed,True,False,True
154,154,0.070542,299.893,0.070542,299.893,True,True,m3_search_allowed,True,False,True
162,162,0.162405,0.134,0.162405,0.134,True,True,m3_search_allowed,True,False,True
163,163,0.162405,0.268,0.162405,0.268,True,True,m3_search_allowed,True,False,True
164,164,0.162405,0.537,0.162405,0.537,True,True,m3_search_allowed,True,False,True
165,165,0.162405,1.074,0.162405,1.074,True,True,m3_search_allowed,True,False,True
166,166,0.162405,2.097,0.162405,2.097,True,True,m3_search_allowed,True,False,True
167,167,0.162405,4.194,0.162405,4.194,True,True,m3_search_allowed,True,False,True
168,168,0.162405,6.291,0.162405,6.291,True,True,m3_search_allowed,True,False,True
169,169,0.162405,8.389,0.162405,8.389,True,True,m3_search_allowed,True,False,True
170,170,0.162405,10.486,0.162405,10.486,True,True,m3_search_allowed,True,False,True
171,171,0.162405,12.583,0.162405,12.583,True,True,m3_search_allowed,True,False,True
172,172,0.162405,14.68,0.162405,14.68,True,True,m3_search_allowed,True,False,True
173,173,0.162405,16.777,0.162405,16.777,True,True,m3_search_allowed,True,False,True
174,174,0.162405,18.874,0.162405,18.874,True,True,m3_search_allowed,True,False,True
175,175,0.162405,20.972,0.162405,20.972,True,True,m3_search_allowed,True,False,True
176,176,0.162405,23.069,0.162405,23.069,True,True,m3_search_allowed,True,False,True
177,177,0.162405,25.166,0.162405,25.166,True,True,m3_search_allowed,True,False,True
178,178,0.162405,27.263,0.162405,27.263,True,True,m3_search_allowed,True,False,True
179,179,0.162405,29.36,0.162405,29.36,True,True,m3_search_allowed,True,False,True
180,180,0.162405,31.457,0.162405,31.457,True,True,m3_search_allowed,True,False,True
181,181,0.162405,33.554,0.162405,33.554,True,True,m3_search_allowed,True,False,True
182,182,0.162405,35.652,0.162405,35.652,True,True,m3_search_allowed,True,False,True
183,183,0.162405,37.749,0.162405,37.749,True,True,m3_search_allowed,True,False,True
184,184,0.162405,39.846,0.162405,39.846,True,True,m3_search_allowed,True,False,True
185,185,0.162405,41.943,0.162405,41.943,True,True,m3_search_allowed,True,False,True
186,186,0.162405,44.04,0.162405,44.04,True,True,m3_search_allowed,True,False,True
187,187,0.162405,46.137,0.162405,46.137,True,True,m3_search_allowed,True,False,True
188,188,0.162405,48.234,0.162405,48.234,True,True,m3_search_allowed,True,False,True
189,189,0.162405,50.332,0.162405,50.332,True,True,m3_search_allowed,True,False,True
190,190,0.162405,52.429,0.162405,52.429,True,True,m3_search_allowed,True,False,True
191,191,0.162405,54.526,0.162405,54.526,True,True,m3_search_allowed,True,False,True
192,192,0.162405,56.623,0.162405,56.623,True,True,m3_search_allowed,True,False,True
193,193,0.162405,58.72,0.162405,58.72,True,True,m3_search_allowed,True,False,True
194,194,0.162405,60.817,0.162405,60.817,True,True,m3_search_allowed,True,False,True
195,195,0.162405,62.915,0.162405,62.915,True,True,m3_search_allowed,True,False,True
196,196,0.162405,65.012,0.162405,65.012,True,True,m3_search_allowed,True,False,True
197,197,0.162405,67.109,0.162405,67.109,True,True,m3_search_allowed,True,False,True
198,198,0.162405,69.206,0.162405,69.206,True,True,m3_search_allowed,True,False,True
199,199,0.162405,71.303,0.162405,71.303,True,True,m3_search_allowed,True,False,True
200,200,0.162405,73.4,0.162405,73.4,True,True,m3_search_allowed,True,False,True
201,201,0.162405,75.497,0.162405,75.497,True,True,m3_search_allowed,True,False,True
202,202,0.162405,77.595,0.162405,77.595,True,True,m3_search_allowed,True,False,True
203,203,0.162405,79.692,0.162405,79.692,True,True,m3_search_allowed,True,False,True
204,204,0.162405,81.789,0.162405,81.789,True,True,m3_search_allowed,True,False,True
205,205,0.162405,83.886,0.162405,83.886,True,True,m3_search_allowed,True,False,True
206,206,0.162405,85.983,0.162405,85.983,True,True,m3_search_allowed,True,False,True
207,207,0.162405,88.08,0.162405,88.08,True,True,m3_search_allowed,True,False,True
208,208,0.162405,90.178,0.162405,90.178,True,True,m3_search_allowed,True,False,True
209,209,0.162405,92.275,0.162405,92.275,True,True,m3_search_allowed,True,False,True
210,210,0.162405,94.372,0.162405,94.372,True,True,m3_search_allowed,True,False,True
211,211,0.162405,96.469,0.162405,96.469,True,True,m3_search_allowed,True,False,True
212,212,0.162405,98.566,0.162405,98.566,True,True,m3_search_allowed,True,False,True
213,213,0.162405,100.663,0.162405,100.663,True,True,m3_search_allowed,True,False,True
214,214,0.162405,102.76,0.162405,102.76,True,True,m3_search_allowed,True,False,True
215,215,0.162405,104.858,0.162405,104.858,True,True,m3_search_allowed,True,False,True
216,216,0.162405,106.955,0.162405,106.955,True,True,m3_search_allowed,True,False,True
217,217,0.162405,109.052,0.162405,109.052,True,True,m3_search_allowed,True,False,True
218,218,0.162405,111.149,0.162405,111.149,True,True,m3_search_allowed,True,False,True
219,219,0.162405,113.246,0.162405,113.246,True,True,m3_search_allowed,True,False,True
220,220,0.162405,115.343,0.162405,115.343,True,True,m3_search_allowed,True,False,True
221,221,0.162405,117.441,0.162405,117.441,True,True,m3_search_allowed,True,False,True
222,222,0.162405,119.538,0.162405,119.538,True,True,m3_search_allowed,True,False,True
223,223,0.162405,121.635,0.162405,121.635,True,True,m3_search_allowed,True,False,True
224,224,0.162405,123.732,0.162405,123.732,True,True,m3_search_allowed,True,False,True
225,225,0.162405,125.829,0.162405,125.829,True,True,m3_search_allowed,True,False,True
226,226,0.162405,127.926,0.162405,127.926,True,True,m3_search_allowed,True,False,True
227,227,0.162405,130.023,0.162405,130.023,True,True,m3_search_allowed,True,False,True
228,228,0.162405,132.121,0.162405,132.121,True,True,m3_search_allowed,True,False,True
229,229,0.162405,134.218,0.162405,134.218,True,True,m3_search_allowed,True,False,True
230,230,0.162405,136.315,0.162405,136.315,True,True,m3_search_allowed,True,False,True
231,231,0.162405,138.412,0.162405,138.412,True,True,m3_search_allowed,True,False,True
232,232,0.162405,140.509,0.162405,140.509,True,True,m3_search_allowed,True,False,True
233,233,0.162405,142.606,0.162405,142.606,True,True,m3_search_allowed,True,False,True
234,234,0.162405,144.703,0.162405,144.703,True,True,m3_search_allowed,True,False,True
235,235,0.162405,146.801,0.162405,146.801,True,True,m3_search_allowed,True,False,True
236,236,0.162405,148.898,0.162405,148.898,True,True,m3_search_allowed,True,False,True
237,237,0.162405,150.995,0.162405,150.995,True,True,m3_search_allowed,True,False,True
238,238,0.162405,153.092,0.162405,153.092,True,True,m3_search_allowed,True,False,True
239,239,0.162405,155.189,0.162405,155.189,True,True,m3_search_allowed,True,False,True
240,240,0.162405,157.286,0.162405,157.286,True,True,m3_search_allowed,True,False,True
241,241,0.162405,159.384,0.162405,159.384,True,True,m3_search_allowed,True,False,True
242,242,0.162405,161.481,0.162405,161.481,True,True,m3_search_allowed,True,False,True
243,243,0.162405,163.578,0.162405,163.578,True,True,m3_search_allowed,True,False,True
244,244,0.162405,165.675,0.162405,165.675,True,True,m3_search_allowed,True,False,True
245,245,0.162405,167.772,0.162405,167.772,True,True,m3_search_allowed,True,False,True
246,246,0.162405,169.869,0.162405,169.869,True,True,m3_search_allowed,True,False,True
247,247,0.162405,171.966,0.162405,171.966,True,True,m3_search_allowed,True,False,True
248,248,0.162405,174.064,0.162405,174.064,True,True,m3_search_allowed,True,False,True
249,249,0.162405,176.161,0.162405,176.161,True,True,m3_search_allowed,True,False,True
250,250,0.162405,178.258,0.162405,178.258,True,True,m3_search_allowed,True,False,True
251,251,0.162405,180.355,0.162405,180.355,True,True,m3_search_allowed,True,False,True
252,252,0.162405,182.452,0.162405,182.452,True,True,m3_search_allowed,True,False,True
253,253,0.162405,184.549,0.162405,184.549,True,True,m3_search_allowed,True,False,True
254,254,0.162405,186.647,0.162405,186.647,True,True,m3_search_allowed,True,False,True
255,255,0.162405,188.744,0.162405,188.744,True,True,m3_search_allowed,True,False,True
256,256,0.162405,190.841,0.162405,190.841,True,True,m3_search_allowed,True,False,True
257,257,0.162405,192.938,0.162405,192.938,True,True,m3_search_allowed,True,False,True
258,258,0.162405,195.035,0.162405,195.035,True,True,m3_search_allowed,True,False,True
259,259,0.162405,197.132,0.162405,197.132,True,True,m3_search_allowed,True,False,True
260,260,0.162405,199.229,0.162405,199.229,True,True,m3_search_allowed,True,False,True
261,261,0.162405,201.327,0.162405,201.327,True,True,m3_search_allowed,True,False,True
262,262,0.162405,203.424,0.162405,203.424,True,True,m3_search_allowed,True,False,True
263,263,0.162405,205.521,0.162405,205.521,True,True,m3_search_allowed,True,False,True
264,264,0.162405,207.618,0.162405,207.618,True,True,m3_search_allowed,True,False,True
265,265,0.162405,209.715,0.162405,209.715,True,True,m3_search_allowed,True,False,True
266,266,0.162405,211.812,0.162405,211.812,True,True,m3_search_allowed,True,False,True
267,267,0.162405,213.91,0.162405,213.91,True,True,m3_search_allowed,True,False,True
268,268,0.162405,216.007,0.162405,216.007,True,True,m3_search_allowed,True,False,True
269,269,0.162405,218.104,0.162405,218.104,True,True,m3_search_allowed,True,False,True
270,270,0.162405,220.201,0.162405,220.201,True,True,m3_search_allowed,True,False,True
271,271,0.162405,222.298,0.162405,222.298,True,True,m3_search_allowed,True,False,True
272,272,0.162405,224.395,0.162405,224.395,True,True,m3_search_allowed,True,False,True
273,273,0.162405,226.492,0.162405,226.492,True,True,m3_search_allowed,True,False,True
274,274,0.162405,228.59,0.162405,228.59,True,True,m3_search_allowed,True,False,True
275,275,0.162405,230.687,0.162405,230.687,True,True,m3_search_allowed,True,False,True
276,276,0.162405,232.784,0.162405,232.784,True,True,m3_search_allowed,True,False,True
277,277,0.162405,234.881,0.162405,234.881,True,True,m3_search_allowed,True,False,True
278,278,0.162405,236.978,0.162405,236.978,True,True,m3_search_allowed,True,False,True
279,279,0.162405,239.075,0.162405,239.075,True,True,m3_search_allowed,True,False,True
280,280,0.162405,241.172,0.162405,241.172,True,True,m3_search_allowed,True,False,True
281,281,0.162405,243.27,0.162405,243.27,True,True,m3_search_allowed,True,False,True
282,282,0.162405,245.367,0.162405,245.367,True,True,m3_search_allowed,True,False,True
283,283,0.162405,247.464,0.162405,247.464,True,True,m3_search_allowed,True,False,True
284,284,0.162405,249.561,0.162405,249.561,True,True,m3_search_allowed,True,False,True
285,285,0.162405,251.658,0.162405,251.658,True,True,m3_search_allowed,True,False,True
286,286,0.162405,253.755,0.162405,253.755,True,True,m3_search_allowed,True,False,True
287,287,0.162405,255.853,0.162405,255.853,True,True,m3_search_allowed,True,False,True
288,288,0.162405,257.95,0.162405,257.95,True,True,m3_search_allowed,True,False,True
289,289,0.162405,260.047,0.162405,260.047,True,True,m3_search_allowed,True,False,True
290,290,0.162405,262.144,0.162405,262.144,True,True,m3_search_allowed,True,False,True
291,291,0.162405,264.241,0.162405,264.241,True,True,m3_search_allowed,True,False,True
292,292,0.162405,266.338,0.162405,266.338,True,True,m3_search_allowed,True,False,True
293,293,0.162405,268.435,0.162405,268.435,True,True,m3_search_allowed,True,False,True
294,294,0.162405,270.533,0.162405,270.533,True,True,m3_search_allowed,True,False,True
295,295,0.162405,272.63,0.162405,272.63,True,True,m3_search_allowed,True,False,True
296,296,0.162405,274.727,0.162405,274.727,True,True,m3_search_allowed,True,False,True
297,297,0.162405,276.824,0.162405,276.824,True,True,m3_search_allowed,True,False,True
298,298,0.162405,278.921,0.162405,278.921,True,True,m3_search_allowed,True,False,True
299,299,0.162405,281.018,0.162405,281.018,True,True,m3_search_allowed,True,False,True
300,300,0.162405,283.116,0.162405,283.116,True,True,m3_search_allowed,True,False,True
301,301,0.162405,285.213,0.162405,285.213,True,True,m3_search_allowed,True,False,True
302,302,0.162405,287.31,0.162405,287.31,True,True,m3_search_allowed,True,False,True
303,303,0.162405,289.407,0.162405,289.407,True,True,m3_search_allowed,True,False,True
304,304,0.162405,291.504,0.162405,291.504,True,True,m3_search_allowed,True,False,True
305,305,0.162405,293.601,0.162405,293.601,True,True,m3_search_allowed,True,False,True
306,306,0.162405,295.698,0.162405,295.698,True,True,m3_search_allowed,True,False,True
307,307,0.162405,297.796,0.162405,297.796,True,True,m3_search_allowed,True,False,True
308,308,0.162405,299.893,0.162405,299.893,True,True,m3_search_allowed,True,False,True
316,316,0.409009,0.134,0.409009,0.134,True,True,m3_search_allowed,True,False,True
317,317,0.409009,0.268,0.409009,0.268,True,True,m3_search_allowed,True,False,True
318,318,0.409009,0.537,0.409009,0.537,True,True,m3_search_allowed,True,False,True
319,319,0.409009,1.074,0.409009,1.074,True,True,m3_search_allowed,True,False,True
320,320,0.409009,2.097,0.409009,2.097,True,True,m3_search_allowed,True,False,True
321,321,0.409009,4.194,0.409009,4.194,True,True,m3_search_allowed,True,False,True
322,322,0.409009,6.291,0.409009,6.291,True,True,m3_search_allowed,True,False,True
323,323,0.409009,8.389,0.409009,8.389,True,True,m3_search_allowed,True,False,True
324,324,0.409009,10.486,0.409009,10.486,True,True,m3_search_allowed,True,False,True
325,325,0.409009,12.583,0.409009,12.583,True,True,m3_search_allowed,True,False,True
326,326,0.409009,14.68,0.409009,14.68,True,True,m3_search_allowed,True,False,True
327,327,0.409009,16.777,0.409009,16.777,True,True,m3_search_allowed,True,False,True
328,328,0.409009,18.874,0.409009,18.874,True,True,m3_search_allowed,True,False,True
329,329,0.409009,20.972,0.409009,20.972,True,True,m3_search_allowed,True,False,True
330,330,0.409009,23.069,0.409009,23.069,True,True,m3_search_allowed,True,False,True
331,331,0.409009,25.166,0.409009,25.166,True,True,m3_search_allowed,True,False,True
332,332,0.409009,27.263,0.409009,27.263,True,True,m3_search_allowed,True,False,True
333,333,0.409009,29.36,0.409009,29.36,True,True,m3_search_allowed,True,False,True
334,334,0.409009,31.457,0.409009,31.457,True,True,m3_search_allowed,True,False,True
335,335,0.409009,33.554,0.409009,33.554,True,True,m3_search_allowed,True,False,True
336,336,0.409009,35.652,0.409009,35.652,True,True,m3_search_allowed,True,False,True
337,337,0.409009,37.749,0.409009,37.749,True,True,m3_search_allowed,True,False,True
338,338,0.409009,39.846,0.409009,39.846,True,True,m3_search_allowed,True,False,True
339,339,0.409009,41.943,0.409009,41.943,True,True,m3_search_allowed,True,False,True
340,340,0.409009,44.04,0.409009,44.04,True,True,m3_search_allowed,True,False,True
341,341,0.409009,46.137,0.409009,46.137,True,True,m3_search_allowed,True,False,True
342,342,0.409009,48.234,0.409009,48.234,True,True,m3_search_allowed,True,False,True
343,343,0.409009,50.332,0.409009,50.332,True,True,m3_search_allowed,True,False,True
344,344,0.409009,52.429,0.409009,52.429,True,True,m3_search_allowed,True,False,True
345,345,0.409009,54.526,0.409009,54.526,True,True,m3_search_allowed,True,False,True
346,346,0.409009,56.623,0.409009,56.623,True,True,m3_search_allowed,True,False,True
347,347,0.409009,58.72,0.409009,58.72,True,True,m3_search_allowed,True,False,True
348,348,0.409009,60.817,0.409009,60.817,True,True,m3_search_allowed,True,False,True
349,349,0.409009,62.915,0.409009,62.915,True,True,m3_search_allowed,True,False,True
350,350,0.409009,65.012,0.409009,65.012,True,True,m3_search_allowed,True,False,True
351,351,0.409009,67.109,0.409009,67.109,True,True,m3_search_allowed,True,False,True
352,352,0.409009,69.206,0.409009,69.206,True,True,m3_search_allowed,True,False,True
353,353,0.409009,71.303,0.409009,71.303,True,True,m3_search_allowed,True,False,True
354,354,0.409009,73.4,0.409009,73.4,True,True,m3_search_allowed,True,False,True
355,355,0.409009,75.497,0.409009,75.497,True,True,m3_search_allowed,True,False,True
356,356,0.409009,77.595,0.409009,77.595,True,True,m3_search_allowed,True,False,True
357,357,0.409009,79.692,0.409009,79.692,True,True,m3_search_allowed,True,False,True
358,358,0.409009,81.789,0.409009,81.789,True,True,m3_search_allowed,True,False,True
