dimension,level,n_models,denominator,coverage_fraction,source,note
leaf_task,leaderboard_musr_team_allocation,1815,1819,0.9978009895547004,C8 selected metric,family=MuSR; version=1.0; metric=acc_norm; mean_n_effective=249.91735537190084.
source_intersection,C3,1818,1819,0.999450247388675,leaderboard_extended_timeseries.csv,Exact model-name intersection only; no version confirmation.
source_intersection,C4,0,1819,0.0,epoch_all_ai_models.csv,Exact model-name intersection only; no version confirmation.
source_intersection,C5,21,1819,0.01154480483782298,loss_benchmark_bridge.csv,Exact model-name intersection only; no version confirmation.
source_intersection,C6,42,1819,0.02308960967564596,loss_benchmark_bridge_expanded.csv,Exact model-name intersection only; no version confirmation.
source_intersection,C7,17,1819,0.009345794392523364,model_architecture_metadata.csv,Exact model-name intersection only; no version confirmation.
time_month,2024-09,1,1819,0.0005497526113249038,C1 Submission Date + complete Core6,n>=20 decomposition support=false; rows below 20 remain descriptive only.
time_month,2024-10,4,1819,0.0021990104452996153,C1 Submission Date + complete Core6,n>=20 decomposition support=false; rows below 20 remain descriptive only.
time_month,2024-11,106,1819,0.058273776800439804,C1 Submission Date + complete Core6,n>=20 decomposition support=true; rows below 20 remain descriptive only.
time_month,2024-12,164,1819,0.09015942825728422,C1 Submission Date + complete Core6,n>=20 decomposition support=true; rows below 20 remain descriptive only.
time_month,2025-01,219,1819,0.12039582188015394,C1 Submission Date + complete Core6,n>=20 decomposition support=true; rows below 20 remain descriptive only.
time_month,2025-02,176,1819,0.09675645959318306,C1 Submission Date + complete Core6,n>=20 decomposition support=true; rows below 20 remain descriptive only.
time_month,2025-03,118,1819,0.06487080813633865,C1 Submission Date + complete Core6,n>=20 decomposition support=true; rows below 20 remain descriptive only.
