publication_year,Confidence,record_count,training_compute_scalar_n,training_compute_median_FLOP,dataset_size_scalar_n,dataset_size_median_tokens,parameter_count_scalar_n,parameter_count_median
2004,<blank>,3,0,,2,512400.0,1,100000.0
2004,Confident,3,3,52603200000000.0,2,62150.0,3,90575.0
2004,Unknown,2,0,,0,,0,
2005,<blank>,4,0,,3,14658.0,2,60000089.0
2005,Confident,3,2,59665040794152.0,2,2182144.5,2,38855.5
2005,Likely,1,1,24124575958774.88,0,,1,152061.0
2005,Speculative,1,0,,1,2933137.0,1,1472256.0
2006,<blank>,6,0,,4,47040000.0,5,114662.0
2006,Confident,2,2,421588800000000.0,2,437400.0,2,1840457.0
2006,Likely,1,1,9604800000000.0,0,,0,
2006,Unknown,8,0,,4,301515.0,0,
2007,<blank>,4,0,,3,100480507.0,1,100881.0
2007,Likely,3,2,1.11124224e+18,3,31000000000.0,2,160500000000.0
2007,Unknown,3,0,,3,405478.0,0,
2008,<blank>,3,0,,1,1511035000.0,2,2800000.0
2008,Confident,3,1,1614600000.0,3,14000000.0,3,1846400.0
2008,Speculative,1,0,,1,633000000.0,1,1500000.0
2008,Unknown,5,0,,2,319920000.0,0,
2009,<blank>,8,0,,1,100480507.0,2,107040.0
2009,Confident,8,6,1726045030400000.0,6,50000.0,7,13729792.0
2009,Likely,2,1,306000000000000.0,2,3072040000.0,2,40007211.5
2009,Speculative,1,1,1.0000000001e+18,1,1000000000.0,1,1000000.0
2009,Unknown,3,0,,1,60000.0,0,
2010,<blank>,3,0,,2,18645800.0,1,16210006.0
2010,Confident,6,6,1338700677984000.0,6,57150.0,5,7082000.0
2010,Likely,2,2,2.5065394e+16,2,2730000.0,2,44574500.0
2010,Speculative,2,1,5.396e+16,1,6400000.0,2,35133012.5
2010,Unknown,6,0,,4,291640.0,0,
2011,<blank>,4,0,,3,929000.0,3,15260.0
2011,Confident,3,1,3.672864e+16,3,5650000.0,2,70031628.0
2011,Likely,4,4,2.589925e+16,4,236640.0,4,758610.0
2011,Unknown,6,0,,4,425000.0,0,
2012,<blank>,5,0,,3,929000.0,5,9000000.0
2012,Confident,5,5,2.731968e+17,5,2600000.0,3,5594010.0
2012,Likely,4,3,1.57e+16,4,9050000.0,4,501326850.0
2012,Speculative,3,2,1.64e+17,2,563500000.0,3,47185920.0
2012,Unknown,6,0,,2,18525000.0,0,
2013,<blank>,5,0,,3,5040000.0,5,43000000.0
2013,Confident,10,6,3528441920000000.0,9,160000000.0,7,51609600.0
2013,Likely,6,6,8.330688e+16,5,4500000.0,3,101706240.0
2013,Speculative,2,1,1.340928e+18,2,508750000.0,2,10471000000.0
2013,Unknown,6,0,,4,617404.0,0,
2014,<blank>,9,0,,7,50000000.0,8,73250000.0
2014,Confident,16,8,1.5326e+18,13,1280000.0,11,6797700.0
2014,Likely,7,5,6.9e+16,5,929000.0,6,26750000.0
2014,Speculative,2,2,1.490592000005e+20,2,400060000.0,1,62000000000.0
2014,Unknown,10,0,,5,4400000.0,0,
2015,<blank>,8,0,,4,6409500.0,7,2009999.9999999998
2015,Confident,21,10,3.37544415e+17,16,1280000.0,16,19500000.0
2015,Likely,4,3,1e+20,4,775000.0,4,15918356.0
2015,Speculative,1,1,3.4153451e+16,1,929000.0,1,8000000.0
2015,Unknown,10,0,,4,101200000.0,0,
2016,<blank>,9,0,,7,1280000.0,8,44500000.0
2016,Confident,36,17,6.448896e+16,24,929000.0,21,22100000.0
2016,Likely,14,7,8.7892439e+19,9,1280000.0,14,138000000.0
2016,Speculative,6,3,2.9741645e+19,5,8525300.0,4,20350000.0
2016,Unknown,27,0,,13,103000000.0,0,
2017,<blank>,12,0,,8,1280000.0,12,9780000.0
2017,Confident,32,18,3.765e+17,23,1060000.0,25,26000000.0
2017,Likely,13,10,2.988e+19,10,2000000.0,7,35000000.0
2017,Speculative,5,1,1.446336e+19,4,200640000.0,4,41000000.0
2017,Unknown,29,0,,16,1100404.5,0,
2018,<blank>,11,0,,6,1280583.5,11,26000000.0
2018,Confident,39,22,1.723e+18,28,75000000.0,33,35000000.0
2018,Likely,26,20,3.26524e+17,20,57300000.0,22,69106400.0
2018,Speculative,9,9,1.49682e+17,5,720000000.0,6,110000665.0
2018,Unknown,14,0,,3,262144000.0,1,16000000.0
2019,<blank>,23,0,,7,300000000.0,23,67300000.0
2019,Confident,84,42,2.694e+19,52,108500000.0,70,101185000.0
2019,Likely,25,24,2.923773682560662e+18,17,2000000.0,22,31200000.0
2019,Speculative,16,16,2.13163855e+20,14,172000000.0,15,141000000.0
2019,Unknown,20,0,,6,8955200.0,1,7800000.0
2020,<blank>,14,0,,3,10467704832.0,14,81500000.0
2020,Confident,74,54,4.2e+20,54,3888620000.0,65,220000000.0
2020,Likely,17,15,2.6990346e+19,14,287100000.0,16,118850000.0
2020,Speculative,8,8,6.31448805e+19,7,3300000000.0,7,151000000.0
2020,Unknown,13,0,,2,145994240000.0,0,
2021,<blank>,11,0,,4,21616435600.0,10,1550000000.0
2021,Confident,125,89,1.70208e+21,65,33000000000.0,118,778000000.0
2021,Likely,35,32,6.771375e+20,25,24167054120.0,32,233500000.0
2021,Speculative,20,18,3.6130348500355e+21,14,858666666.5,19,345000000.0
2021,Unknown,18,0,,3,3408000.0,0,
2022,<blank>,14,0,,9,103000000.0,14,252000000.0
2022,Confident,137,93,1.03514112e+22,96,91846000000.0,120,1771500000.0
2022,Likely,40,30,1.198e+21,29,12403200000.0,31,1900000000.0
2022,Speculative,15,7,7.936e+20,11,22696572400.0,9,2925000000.0
2022,Unknown,27,0,,6,255248256.0,0,
2023,<blank>,3,0,,0,,3,243000000.00000003
2023,Confident,291,158,4.025e+22,138,299892736000.0,261,8000000000.0
2023,Likely,104,50,1.2e+22,54,185600000000.0,96,10350000000.0
2023,Speculative,35,21,2.8e+21,13,66240000000.0,28,6500000000.0
2023,Unknown,90,0,,4,1570210239.5,1,125000000.0
2024,<blank>,3,0,,1,2000000000000.0,3,72000000000.0
2024,Confident,554,245,5.1741608015e+22,178,233380000000.0,453,7000000000.0
2024,Likely,108,51,2.106e+22,37,34513333333.0,76,7000000000.0
2024,Speculative,32,14,9.494999999999999e+23,4,572113040000.0,15,13000000000.0
2024,Unknown,252,0,,4,229401000000.0,6,11750000000.0
2025,Confident,75,35,1.485e+23,23,4000000000000.0,70,8000000000.0
2025,Likely,16,13,2.8e+24,5,3000000000000.0,13,14000000000.0
2025,Speculative,11,1,3.51e+24,5,24000000000.0,10,11400000000.0
2025,Unknown,45,0,,1,20000000000000.0,1,3000000000.0
