registry_id,model_name_raw,version_match_status,strict_version_confirmed,c2_epoch_open_weights_raw,c2_epoch_open_weights_status,c1_hub_license_raw,c1_license_field_status,license_terms_independently_verified,research_reproduction_permission_status
C8::1TuanPham_T-VisStar-7B-v0.1,1TuanPham/T-VisStar-7B-v0.1,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::1TuanPham_T-VisStar-v0.1,1TuanPham/T-VisStar-v0.1,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::3rd-Degree-Burn_L-3.1-Science-Writer-8B,3rd-Degree-Burn/L-3.1-Science-Writer-8B,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::3rd-Degree-Burn_Llama-3.1-8B-Squareroot,3rd-Degree-Burn/Llama-3.1-8B-Squareroot,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::3rd-Degree-Burn_Llama-3.1-8B-Squareroot-v1,3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::3rd-Degree-Burn_Llama-Squared-8B,3rd-Degree-Burn/Llama-Squared-8B,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::4season_final_model_test_v2,4season/final_model_test_v2,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::AALF_FuseChat-Llama-3.1-8B-Instruct-preview,AALF/FuseChat-Llama-3.1-8B-Instruct-preview,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::AALF_FuseChat-Llama-3.1-8B-SFT-preview,AALF/FuseChat-Llama-3.1-8B-SFT-preview,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::AALF_gemma-2-27b-it-SimPO-37K,AALF/gemma-2-27b-it-SimPO-37K,source_version_missing,False,,unknown,gemma,recorded_unverified,False,not_assessed
C8::AALF_gemma-2-27b-it-SimPO-37K-100steps,AALF/gemma-2-27b-it-SimPO-37K-100steps,source_version_missing,False,,unknown,gemma,recorded_unverified,False,not_assessed
C8::AELLM_gemma-2-aeria-infinity-9b,AELLM/gemma-2-aeria-infinity-9b,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::AELLM_gemma-2-lyco-infinity-9b,AELLM/gemma-2-lyco-infinity-9b,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::AGI-0_Art-v0-3B,AGI-0/Art-v0-3B,source_version_missing,False,,unknown,other,recorded_unverified,False,not_assessed
C8::AGI-0_Artificium-llama3.1-8B-001,AGI-0/Artificium-llama3.1-8B-001,source_version_missing,False,,unknown,unknown,recorded_unverified,False,not_assessed
C8::AGI-0_smartllama3.1-8B-001,AGI-0/smartllama3.1-8B-001,source_version_missing,False,,unknown,unknown,recorded_unverified,False,not_assessed
C8::AI-MO_NuminaMath-7B-CoT,AI-MO/NuminaMath-7B-CoT,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::AI-MO_NuminaMath-7B-TIR,AI-MO/NuminaMath-7B-TIR,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::AI-Sweden-Models_Llama-3-8B-instruct,AI-Sweden-Models/Llama-3-8B-instruct,source_version_missing,False,,unknown,llama3,recorded_unverified,False,not_assessed
C8::AI-Sweden-Models_gpt-sw3-40b,AI-Sweden-Models/gpt-sw3-40b,source_version_missing,False,Yes,Yes,other,recorded_unverified,False,not_assessed
C8::AI4free_Dhanishtha,AI4free/Dhanishtha,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::AI4free_t2,AI4free/t2,source_version_missing,False,No,No,,blank,False,not_assessed
C8::AIDC-AI_Marco-o1,AIDC-AI/Marco-o1,source_version_missing,False,Yes,Yes,apache-2.0,recorded_unverified,False,not_assessed
C8::Aashraf995_Creative-7B-nerd,Aashraf995/Creative-7B-nerd,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::Aashraf995_Gemma-Evo-10B,Aashraf995/Gemma-Evo-10B,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::Aashraf995_Qwen-Evo-7B,Aashraf995/Qwen-Evo-7B,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::Aashraf995_QwenStock-14B,Aashraf995/QwenStock-14B,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::AbacusResearch_Jallabi-34B,AbacusResearch/Jallabi-34B,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::Ahdoot_StructuredThinker-v0.3-MoreStructure,Ahdoot/StructuredThinker-v0.3-MoreStructure,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::Ahdoot_Test_StealthThinker,Ahdoot/Test_StealthThinker,source_version_missing,False,,unknown,mit,recorded_unverified,False,not_assessed
C8::AicoresSecurity_Cybernet-Sec-3B-R1-V0,AicoresSecurity/Cybernet-Sec-3B-R1-V0,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::AicoresSecurity_Cybernet-Sec-3B-R1-V0-Coder,AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::AicoresSecurity_Cybernet-Sec-3B-R1-V1,AicoresSecurity/Cybernet-Sec-3B-R1-V1,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::AicoresSecurity_Cybernet-Sec-3B-R1-V1.1,AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::Alepach_notHumpback-M0,Alepach/notHumpback-M0,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::Alepach_notHumpback-M1,Alepach/notHumpback-M1,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::Alepach_notHumpback-M1-v2,Alepach/notHumpback-M1-v2,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::Alibaba-NLP_gte-Qwen2-7B-instruct,Alibaba-NLP/gte-Qwen2-7B-instruct,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::Alsebay_Qwen2.5-7B-test-novelist,Alsebay/Qwen2.5-7B-test-novelist,source_version_missing,False,Yes,Yes,apache-2.0,recorded_unverified,False,not_assessed
C8::Amaorynho_BBAI2006,Amaorynho/BBAI2006,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::Amaorynho_BBAI270V4,Amaorynho/BBAI270V4,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::Amaorynho_BBAIIFEV1,Amaorynho/BBAIIFEV1,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::Amaorynho_BBAI_375,Amaorynho/BBAI_375,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::Amu_t1-1.5B,Amu/t1-1.5B,source_version_missing,False,,unknown,mit,recorded_unverified,False,not_assessed
C8::Amu_t1-3B,Amu/t1-3B,source_version_missing,False,,unknown,mit,recorded_unverified,False,not_assessed
C8::ArliAI_ArliAI-RPMax-12B-v1.1,ArliAI/ArliAI-RPMax-12B-v1.1,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::ArliAI_Llama-3.1-8B-ArliAI-RPMax-v1.1,ArliAI/Llama-3.1-8B-ArliAI-RPMax-v1.1,source_version_missing,False,,unknown,llama3,recorded_unverified,False,not_assessed
C8::Arthur-LAGACHERIE_Precis-1B-Instruct,Arthur-LAGACHERIE/Precis-1B-Instruct,source_version_missing,False,,unknown,llama3.2,recorded_unverified,False,not_assessed
C8::Artples_L-MChat-7b,Artples/L-MChat-7b,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::Artples_L-MChat-Small,Artples/L-MChat-Small,source_version_missing,False,,unknown,mit,recorded_unverified,False,not_assessed
C8::Aryanne_QwentileSwap,Aryanne/QwentileSwap,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::Aryanne_SHBA,Aryanne/SHBA,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::Aryanne_SuperHeart,Aryanne/SuperHeart,source_version_missing,False,,unknown,llama3.1,recorded_unverified,False,not_assessed
C8::Ateron_Glowing-Forest-12B,Ateron/Glowing-Forest-12B,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::Ateron_Lotus-Magpic,Ateron/Lotus-Magpic,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::Ateron_Way_of_MagPicaro,Ateron/Way_of_MagPicaro,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::AuraIndustries_Aura-4B,AuraIndustries/Aura-4B,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::AuraIndustries_Aura-8B,AuraIndustries/Aura-8B,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::AuraIndustries_Aura-MoE-2x4B,AuraIndustries/Aura-MoE-2x4B,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::AuraIndustries_Aura-MoE-2x4B-v2,AuraIndustries/Aura-MoE-2x4B-v2,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::Aurel9_testmerge-7b,Aurel9/testmerge-7b,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::Ayush-Singh_Llama1B-sft-2,Ayush-Singh/Llama1B-sft-2,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::Azure99_Blossom-V6-14B,Azure99/Blossom-V6-14B,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::Azure99_Blossom-V6-7B,Azure99/Blossom-V6-7B,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::Azure99_blossom-v5-32b,Azure99/blossom-v5-32b,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::Azure99_blossom-v5-llama3-8b,Azure99/blossom-v5-llama3-8b,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::Azure99_blossom-v5.1-34b,Azure99/blossom-v5.1-34b,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::Azure99_blossom-v5.1-9b,Azure99/blossom-v5.1-9b,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BAAI_Gemma2-9B-IT-Simpo-Infinity-Preference,BAAI/Gemma2-9B-IT-Simpo-Infinity-Preference,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::BAAI_Infinity-Instruct-3M-0613-Llama3-70B,BAAI/Infinity-Instruct-3M-0613-Llama3-70B,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BAAI_Infinity-Instruct-3M-0613-Mistral-7B,BAAI/Infinity-Instruct-3M-0613-Mistral-7B,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BAAI_Infinity-Instruct-3M-0625-Llama3-70B,BAAI/Infinity-Instruct-3M-0625-Llama3-70B,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BAAI_Infinity-Instruct-3M-0625-Llama3-8B,BAAI/Infinity-Instruct-3M-0625-Llama3-8B,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BAAI_Infinity-Instruct-3M-0625-Mistral-7B,BAAI/Infinity-Instruct-3M-0625-Mistral-7B,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BAAI_Infinity-Instruct-3M-0625-Qwen2-7B,BAAI/Infinity-Instruct-3M-0625-Qwen2-7B,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BAAI_Infinity-Instruct-3M-0625-Yi-1.5-9B,BAAI/Infinity-Instruct-3M-0625-Yi-1.5-9B,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BAAI_Infinity-Instruct-7M-0729-Llama3_1-8B,BAAI/Infinity-Instruct-7M-0729-Llama3_1-8B,source_version_missing,False,,unknown,llama3.1,recorded_unverified,False,not_assessed
C8::BAAI_Infinity-Instruct-7M-0729-mistral-7B,BAAI/Infinity-Instruct-7M-0729-mistral-7B,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BAAI_Infinity-Instruct-7M-Gen-Llama3_1-70B,BAAI/Infinity-Instruct-7M-Gen-Llama3_1-70B,source_version_missing,False,,unknown,llama3.1,recorded_unverified,False,not_assessed
C8::BAAI_Infinity-Instruct-7M-Gen-Llama3_1-8B,BAAI/Infinity-Instruct-7M-Gen-Llama3_1-8B,source_version_missing,False,,unknown,llama3.1,recorded_unverified,False,not_assessed
C8::BAAI_Infinity-Instruct-7M-Gen-mistral-7B,BAAI/Infinity-Instruct-7M-Gen-mistral-7B,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BAAI_OPI-Llama-3.1-8B-Instruct,BAAI/OPI-Llama-3.1-8B-Instruct,source_version_missing,False,,unknown,llama3.1,recorded_unverified,False,not_assessed
C8::BEE-spoke-data_Meta-Llama-3-8Bee,BEE-spoke-data/Meta-Llama-3-8Bee,source_version_missing,False,,unknown,llama3,recorded_unverified,False,not_assessed
C8::BEE-spoke-data_smol_llama-101M-GQA,BEE-spoke-data/smol_llama-101M-GQA,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BEE-spoke-data_smol_llama-220M-GQA,BEE-spoke-data/smol_llama-220M-GQA,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BEE-spoke-data_smol_llama-220M-GQA-fineweb_edu,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BEE-spoke-data_smol_llama-220M-openhermes,BEE-spoke-data/smol_llama-220M-openhermes,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BEE-spoke-data_tFINE-900m-e16-d32-flan,BEE-spoke-data/tFINE-900m-e16-d32-flan,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BEE-spoke-data_tFINE-900m-e16-d32-flan-infinity-instruct-7m-T2T_en-1024,BEE-spoke-data/tFINE-900m-e16-d32-flan-infinity-instruct-7m-T2T_en-1024,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BEE-spoke-data_tFINE-900m-e16-d32-instruct_2e,BEE-spoke-data/tFINE-900m-e16-d32-instruct_2e,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BEE-spoke-data_tFINE-900m-instruct-orpo,BEE-spoke-data/tFINE-900m-instruct-orpo,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BSC-LT_salamandra-7b,BSC-LT/salamandra-7b,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BSC-LT_salamandra-7b-instruct,BSC-LT/salamandra-7b-instruct,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::Ba2han_Llama-Phi-3_DoRA,Ba2han/Llama-Phi-3_DoRA,source_version_missing,False,,unknown,mit,recorded_unverified,False,not_assessed
C8::Baptiste-HUVELLE-10_LeTriomphant2.2_ECE_iLAB,Baptiste-HUVELLE-10/LeTriomphant2.2_ECE_iLAB,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BenevolenceMessiah_Qwen2.5-72B-2x-Instruct-TIES-v1.0,BenevolenceMessiah/Qwen2.5-72B-2x-Instruct-TIES-v1.0,source_version_missing,False,Yes,Yes,,blank,False,not_assessed
C8::BenevolenceMessiah_Yi-Coder-9B-Chat-Instruct-TIES-MoE-v1.0,BenevolenceMessiah/Yi-Coder-9B-Chat-Instruct-TIES-MoE-v1.0,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BlackBeenie_Bloslain-8B-v0.2,BlackBeenie/Bloslain-8B-v0.2,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::BlackBeenie_Llama-3.1-8B-OpenO1-SFT-v0.1,BlackBeenie/Llama-3.1-8B-OpenO1-SFT-v0.1,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BlackBeenie_Llama-3.1-8B-pythonic-passthrough-merge,BlackBeenie/Llama-3.1-8B-pythonic-passthrough-merge,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::BlackBeenie_Neos-Gemma-2-9b,BlackBeenie/Neos-Gemma-2-9b,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BlackBeenie_Neos-Llama-3.1-8B,BlackBeenie/Neos-Llama-3.1-8B,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BlackBeenie_Neos-Llama-3.1-base,BlackBeenie/Neos-Llama-3.1-base,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::BlackBeenie_Neos-Phi-3-14B-v0.1,BlackBeenie/Neos-Phi-3-14B-v0.1,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BlackBeenie_llama-3-luminous-merged,BlackBeenie/llama-3-luminous-merged,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::BlackBeenie_llama-3.1-8B-Galore-openassistant-guanaco,BlackBeenie/llama-3.1-8B-Galore-openassistant-guanaco,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::Bllossom_llama-3.2-Korean-Bllossom-AICA-5B,Bllossom/llama-3.2-Korean-Bllossom-AICA-5B,source_version_missing,False,,unknown,llama3.2,recorded_unverified,False,not_assessed
C8::BoltMonkey_DreadMix,BoltMonkey/DreadMix,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::BoltMonkey_SuperNeuralDreadDevil-8b,BoltMonkey/SuperNeuralDreadDevil-8b,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::BrainWave-ML_llama3.2-3B-maths-orpo,BrainWave-ML/llama3.2-3B-maths-orpo,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::BramVanroy_GEITje-7B-ultra,BramVanroy/GEITje-7B-ultra,source_version_missing,False,,unknown,cc-by-nc-4.0,recorded_unverified,False,not_assessed
C8::BramVanroy_fietje-2,BramVanroy/fietje-2,source_version_missing,False,,unknown,mit,recorded_unverified,False,not_assessed
C8::BramVanroy_fietje-2-chat,BramVanroy/fietje-2-chat,source_version_missing,False,,unknown,mit,recorded_unverified,False,not_assessed
C8::BramVanroy_fietje-2-instruct,BramVanroy/fietje-2-instruct,source_version_missing,False,,unknown,mit,recorded_unverified,False,not_assessed
C8::CYFRAGOVPL_Llama-PLLuM-8B-base,CYFRAGOVPL/Llama-PLLuM-8B-base,source_version_missing,False,,unknown,llama3.1,recorded_unverified,False,not_assessed
C8::CYFRAGOVPL_Llama-PLLuM-8B-chat,CYFRAGOVPL/Llama-PLLuM-8B-chat,source_version_missing,False,,unknown,llama3.1,recorded_unverified,False,not_assessed
C8::CYFRAGOVPL_PLLuM-12B-base,CYFRAGOVPL/PLLuM-12B-base,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::CYFRAGOVPL_PLLuM-12B-chat,CYFRAGOVPL/PLLuM-12B-chat,source_version_missing,False,,unknown,apache-2.0,recorded_unverified,False,not_assessed
C8::CYFRAGOVPL_PLLuM-12B-nc-base,CYFRAGOVPL/PLLuM-12B-nc-base,source_version_missing,False,,unknown,cc-by-nc-4.0,recorded_unverified,False,not_assessed
C8::CYFRAGOVPL_PLLuM-12B-nc-chat,CYFRAGOVPL/PLLuM-12B-nc-chat,source_version_missing,False,,unknown,cc-by-nc-4.0,recorded_unverified,False,not_assessed
C8::CarrotAI_Llama-3.2-Rabbit-Ko-3B-Instruct,CarrotAI/Llama-3.2-Rabbit-Ko-3B-Instruct,source_version_missing,False,,unknown,llama3.2,recorded_unverified,False,not_assessed
C8::CarrotAI_Llama-3.2-Rabbit-Ko-3B-Instruct-2412,CarrotAI/Llama-3.2-Rabbit-Ko-3B-Instruct-2412,source_version_missing,False,,unknown,llama3.2,recorded_unverified,False,not_assessed
C8::Casual-Autopsy_L3-Umbral-Mind-RP-v2.0-8B,Casual-Autopsy/L3-Umbral-Mind-RP-v2.0-8B,source_version_missing,False,,unknown,llama3,recorded_unverified,False,not_assessed
C8::CausalLM_14B,CausalLM/14B,source_version_missing,False,,unknown,wtfpl,recorded_unverified,False,not_assessed
C8::CausalLM_34b-beta,CausalLM/34b-beta,source_version_missing,False,,unknown,gpl-3.0,recorded_unverified,False,not_assessed
C8::CausalLM_preview-1-hf,CausalLM/preview-1-hf,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::Changgil_K2S3-14b-v0.2,Changgil/K2S3-14b-v0.2,source_version_missing,False,,unknown,cc-by-nc-4.0,recorded_unverified,False,not_assessed
C8::Changgil_K2S3-v0.1,Changgil/K2S3-v0.1,source_version_missing,False,,unknown,cc-by-nc-4.0,recorded_unverified,False,not_assessed
C8::ClaudioItaly_Albacus,ClaudioItaly/Albacus,source_version_missing,False,,unknown,mit,recorded_unverified,False,not_assessed
C8::ClaudioItaly_Book-Gut12B,ClaudioItaly/Book-Gut12B,source_version_missing,False,,unknown,mit,recorded_unverified,False,not_assessed
C8::ClaudioItaly_Evolutionstory-7B-v2.2,ClaudioItaly/Evolutionstory-7B-v2.2,source_version_missing,False,,unknown,mit,recorded_unverified,False,not_assessed
C8::ClaudioItaly_intelligence-cod-rag-7b-v3,ClaudioItaly/intelligence-cod-rag-7b-v3,source_version_missing,False,,unknown,mit,recorded_unverified,False,not_assessed
C8::CohereForAI_aya-23-35B,CohereForAI/aya-23-35B,source_version_missing,False,,unknown,cc-by-nc-4.0,recorded_unverified,False,not_assessed
C8::CohereForAI_aya-23-8B,CohereForAI/aya-23-8B,source_version_missing,False,,unknown,cc-by-nc-4.0,recorded_unverified,False,not_assessed
C8::CohereForAI_aya-expanse-32b,CohereForAI/aya-expanse-32b,source_version_missing,False,,unknown,cc-by-nc-4.0,recorded_unverified,False,not_assessed
C8::CohereForAI_aya-expanse-8b,CohereForAI/aya-expanse-8b,source_version_missing,False,,unknown,cc-by-nc-4.0,recorded_unverified,False,not_assessed
C8::CohereForAI_c4ai-command-r-plus,CohereForAI/c4ai-command-r-plus,source_version_missing,False,,unknown,cc-by-nc-4.0,recorded_unverified,False,not_assessed
C8::CohereForAI_c4ai-command-r-plus-08-2024,CohereForAI/c4ai-command-r-plus-08-2024,source_version_missing,False,,unknown,cc-by-nc-4.0,recorded_unverified,False,not_assessed
C8::CohereForAI_c4ai-command-r-v01,CohereForAI/c4ai-command-r-v01,source_version_missing,False,,unknown,cc-by-nc-4.0,recorded_unverified,False,not_assessed
C8::CohereForAI_c4ai-command-r7b-12-2024,CohereForAI/c4ai-command-r7b-12-2024,source_version_missing,False,,unknown,cc-by-nc-4.0,recorded_unverified,False,not_assessed
C8::Columbia-NLP_LION-Gemma-2b-odpo-v1.0,Columbia-NLP/LION-Gemma-2b-odpo-v1.0,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::Columbia-NLP_LION-Gemma-2b-sft-v1.0,Columbia-NLP/LION-Gemma-2b-sft-v1.0,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::Columbia-NLP_LION-LLaMA-3-8b-dpo-v1.0,Columbia-NLP/LION-LLaMA-3-8b-dpo-v1.0,source_version_missing,False,,unknown,,blank,False,not_assessed
C8::Columbia-NLP_LION-LLaMA-3-8b-odpo-v1.0,Columbia-NLP/LION-LLaMA-3-8b-odpo-v1.0,source_version_missing,False,,unknown,,blank,False,not_assessed
